ae069a40a85836655932e55fe3cb2a05dfdda1e7e57d9b1140a209733359731e,af6b0596e1ff66c0abdd7c1c0552b6b11603fa5c5b1805e59b7415e3854cf759,f0ba7deda90459fc735e4e14dcdfa1ead1d874c090d94356b3ea0bf49a42bd47,0664e7890c7cf83b5112504cf449856210d1ab0feb43e7393e520ad9f6681a13,cd2f479423a7c94d277f9daa8ac1de79b0919118fe78789808fb34ff7075e81d
"1001","12","1","8000000","94002"
"1001","2","2","40","90005"
"1002","12","3","8000000","94002"
"1002","2","4","50","90005"
"1003","12","5","8000000","94002"
"1003","2","6","60","90005"
"1004","12","7","8000000","94002"
"1004","2","8","70","90005"
"1005","8","9","150","91002"
"1005","12","10","8000000","94002"
"1005","2","11","80","90005"
"1006","12","12","8000000","94002"
"1006","2","13","90","90005"
"1007","8","14","300","91002"
"1007","12","15","8000000","94002"
"1007","2","16","100","90005"
"2001","12","17","8000000","94002"
"2002","12","18","8000000","94002"
"2003","12","19","8000000","94002"
"2004","12","20","8000000","94002"
"2005","12","21","8000000","94002"
"2006","12","22","8000000","94002"
"2007","12","23","8000000","94002"
"2008","12","24","8000000","94002"
"2009","12","25","8000000","94002"
"2010","12","26","8000000","94002"
"2011","12","27","8000000","94002"
"2012","12","28","8000000","94002"
"2013","12","29","8000000","94002"
"2014","12","30","8000000","94002"
"2015","12","31","8000000","94002"
"7001","12","32","8000000","94002"
"7001","2","33","5","90005"
"7002","12","34","8000000","94002"
"7002","2","35","5","90005"
"7003","12","36","8000000","94002"
"7003","2","37","5","90005"
"7004","12","38","8000000","94002"
"7004","2","39","10","90005"
"7005","12","40","8000000","94002"
"7005","2","41","10","90005"
"7006","12","42","8000000","94002"
"7006","2","43","10","90005"
"7007","12","44","8000000","94002"
"7007","2","45","15","90005"
"7008","12","46","8000000","94002"
"7008","2","47","15","90005"
"7009","12","48","8000000","94002"
"7009","2","49","15","90005"
"7010","12","50","8000000","94002"
"7010","2","51","20","90005"
"7011","12","52","8000000","94002"
"7011","2","53","20","90005"
"7012","12","54","8000000","94002"
"7012","2","55","20","90005"
"7013","12","56","8000000","94002"
"7013","2","57","25","90005"
"7014","12","58","8000000","94002"
"7014","2","59","25","90005"
"7015","12","60","8000000","94002"
"7015","2","61","25","90005"
"7016","12","62","8000000","94002"
"7016","2","63","30","90005"
"7017","12","64","8000000","94002"
"7017","2","65","30","90005"
"7018","12","66","8000000","94002"
"7018","2","67","30","90005"
"7019","12","68","8000000","94002"
"7019","2","69","35","90005"
"7020","12","70","8000000","94002"
"7020","2","71","35","90005"
"7021","12","72","8000000","94002"
"7021","2","73","35","90005"
"7022","12","74","8000000","94002"
"7022","2","75","40","90005"
"8001","12","76","8000000","94002"
"8001","2","77","1000","90008"
"8002","12","78","8000000","94002"
"8002","2","79","1250","90008"
"8003","12","80","8000000","94002"
"8003","2","81","1500","90008"
"8004","12","82","8000000","94002"
"8004","2","83","1750","90008"
"8005","12","84","8000000","94002"
"8005","2","85","2000","90008"
"8006","12","86","8000000","94002"
"8006","2","87","2250","90008"
"8007","12","88","8000000","94002"
"8007","2","89","2500","90008"
"9001","2","90","50","80001"
"9002","2","91","50","80002"
"9003","2","92","50","80003"
"9004","2","93","50","80004"
"9005","2","94","50","80005"
