c4b9ec86d05ea8cfdadcbd71fc2cc25688989720bb784a76db79e1e8a04d7dab,89b402f3c23490b6adf4c577c007f5fb7f9ffc29445a5999103f2174e96189fe,74a112a1ebaa32b1c65d650c75a2e18f5af863de11982933f4c95ba024ddb180,e9f2b51a083288e1120d997eff0feba1b059811f14d332c7631ba11af226de18,11f5e24b5d230388209d585a47ce85e4e0dc5e733c99b8dc6bbdb21f1f6408aa,eccbacb903659df3f65004aadad59a496febdeb1692140fdc0197e5bf0fd3867,10e1713ac400ace662a8a9186fac37cad7eb2923b365933fcb7a0cb50c0e0705,17f4fd7435db757ebc5a45541625d283425475a295dae3c95d1ca7f6abbce6ab,ff40823b71dc83f6399fd0e5486a09d5d94f5d47e2452eb275d9456ce5e4d13a,5276cae8378706620d97f1c82372571c7039f870219aab98e1df90b9f998652f,1bad775287c58e5faa212ed8f140d6fe8006a5ef4d3cf7cf5c392934d3afc52e,023d67c2c80f16aa54434fcd2d2b01b8c20a467f7a9a1956bb7dd3626e743121,0450f781d3a585f97c9af369624b91e2f487c495376ea5b1129131478652f229,981a5b8db8955d26c04b48c4bd9c031d91ee6afd372c8670cfc35c52986e5471,c979471f55923cd1ddb7d13c550a29ee1321b34a405b2162537c76f2db1b60eb,2f6688ca9540d41c749ca21c9e8cd4ea7bd93ce730cddcbca10b880fa6f00b38,f160c19ac8d834b9598127634f94fbff461fcffa9b36aa01fd480e81fc96f399,a7c38c8973d63a61669b8d53274e379913a150efd2a23362c7e7c6af3582157f,1dfca992972aa79a4e07e313423f2e2c89e00095ad9ea8f488e5875f502ae447,d2b31dac271deb21249b6f233caa7eabf3dbcfe219a57e686d5c324d1fa8e365,72c8c637ebc721b70958455f783b49b0105dfc542447d7f1b2bbff82f376e3d0
"0","0","0","0","0","0","2","1","130011","-1","0","0","0","1300110","4.7","0","0","0","0","0","0"
"0.25","0","0","0.25","2.3","0","2","0","130021","-1","0","0.25","0","1300210","0","0","0","0","0","0","0"
"0","0","0","0","0","5.5","2","0","130031","-1","0","0","0","1300310","4.75","0","0","0","0","0","0"
"0.1","0","0","0.3","0","0","2","0","130041","-1","0","0","0","1300410","3.35","0","0","0","0","0","0"
"0.4","0","0","0.45","0","6.5","2","0","130051","-1","0","0","0","1300510","0","0","0","0","0","0","0"
"0.15","0","0","0.15","3.6","0","2","0","130061","-1","0","0","0","1300610","0","0","0","0","0","0","0"
"0.15","0","0","0.45","0","11.5","2","0","130071","300","0","0","0","1300710","0","0","0","0","0.15","0","0"
"0.15","0","0","0.65","0","11.5","301","0","130071","-1","0","0","0","1300711","0","0","0","0","0","0","0"
"0.2","0","0","0.2","3.15","0","2","0","130081","-1","0","0","0","1300810","0","0","0","0","0","0","0"
"0","0","0.5","0","4.5","0","2","0","130091","-1","0","0","0","1300910","0","0","0","0","0","0","0"
"0.25","0","0","0.3","2.1","0","2","0","130101","-1","0","0.25","0","1301010","0","0","0","0","0","0","0"
"0","0","0","0","0","0","2","1","130111","-1","0","0","0","1301110","4.6","0","0","0","0","0","0"
"0","0","0","25","0","0","1","90","130112","-1","0","0","0","1301120","500","0","0","0","0","0","0"
"0","0","0.5","0.05","4.4","0","2","0","130121","-1","0","0","0","1301210","0","0","0","0","0","0","0"
"0","0","0.75","0","4.5","0","2","0","130131","-1","0","0","0","1301310","0","0","0","0","0","0","0"
"50","0","0","50","0","830","1","0","130132","-1","0","0","0","1301320","0","0","0","0","0","0","0"
"0.2","0","0","0.15","3.5","0","2","0","130141","-1","0","0","0","1301410","0","0","0","0","0","0","0"
