b1140b4c73236bfcb81aabf8517c62ebf86c2c88da6356cf0becf89876a56279,0dc44d30da47e3590dd70b85cba256ce2c1caa34bdaf77739a27b5bbeb81c495,38a899fa20241ed8f3fd2515d86c4607540ed09d1fc0fd935917e203f5350fe4,aefe6b7936722f34a25128dacd29d2d3cb36e67697ae129d08d7c5f3880c5390,5fe1a305a74be1fbe3b32d63b53fb528fa4cecae75bb43ed9936adfa37177cf4,036718b259a788c67f0dc13567fab9d771992239dca35d18b0d5dd3f262e17d5,ff9660a9d618196c282f56312aa0159315bbb8e810e4fcdb18fd33eaadb5f8c8
"91002","2500","1","10","8","101","獲得累積分數2500分"
"91002","5000","1","10","8","102","獲得累積分數5000分"
"91002","10000","1","10","8","103","獲得累積分數10000分"
"91002","12500","1","10","8","104","獲得累積分數12500分"
"91002","15000","1","10","8","105","獲得累積分數15000分"
"91002","20000","1","10","8","106","獲得累積分數20000分"
"91002","25000","1","10","8","107","獲得累積分數25000分"
"91002","30000","1","10","8","108","獲得累積分數30000分"
"91002","35000","1","10","8","109","取得累積分數35000分"
"91002","40000","1","10","8","110","取得累積分數40000分"
"91002","45000","1","10","8","111","取得累積分數45000分"
"11001302","50000","1","1","15","112","取得累積分數50000分"
"91002","2500","2","10","8","201","獲得累積分數2500分"
"91002","5000","2","10","8","202","獲得累積分數5000分"
"91002","10000","2","10","8","203","獲得累積分數10000分"
"91002","12500","2","10","8","204","獲得累積分數12500分"
"91002","15000","2","10","8","205","獲得累積分數15000分"
"91002","20000","2","10","8","206","獲得累積分數20000分"
"91002","25000","2","10","8","207","獲得累積分數25000分"
"91002","30000","2","10","8","208","獲得累積分數30000分"
"91002","35000","2","10","8","209","取得累積分數35000分"
"91002","40000","2","10","8","210","取得累積分數40000分"
"91002","45000","2","10","8","211","取得累積分數45000分"
"11001303","50000","2","1","15","212","取得累積分數50000分"
