aefe6b7936722f34a25128dacd29d2d3cb36e67697ae129d08d7c5f3880c5390,0dc44d30da47e3590dd70b85cba256ce2c1caa34bdaf77739a27b5bbeb81c495,ff9660a9d618196c282f56312aa0159315bbb8e810e4fcdb18fd33eaadb5f8c8,b1140b4c73236bfcb81aabf8517c62ebf86c2c88da6356cf0becf89876a56279,5fe1a305a74be1fbe3b32d63b53fb528fa4cecae75bb43ed9936adfa37177cf4,38a899fa20241ed8f3fd2515d86c4607540ed09d1fc0fd935917e203f5350fe4,036718b259a788c67f0dc13567fab9d771992239dca35d18b0d5dd3f262e17d5
"10","2500","獲得累積分數2500分","91002","8","1","101"
"10","5000","獲得累積分數5000分","91002","8","1","102"
"10","10000","獲得累積分數10000分","91002","8","1","103"
"10","12500","獲得累積分數12500分","91002","8","1","104"
"10","15000","獲得累積分數15000分","91002","8","1","105"
"10","20000","獲得累積分數20000分","91002","8","1","106"
"10","25000","獲得累積分數25000分","91002","8","1","107"
"10","30000","獲得累積分數30000分","91002","8","1","108"
"10","35000","取得累積分數35000分","91002","8","1","109"
"10","40000","取得累積分數40000分","91002","8","1","110"
"10","45000","取得累積分數45000分","91002","8","1","111"
"1","50000","取得累積分數50000分","11001302","15","1","112"
"10","2500","獲得累積分數2500分","91002","8","2","201"
"10","5000","獲得累積分數5000分","91002","8","2","202"
"10","10000","獲得累積分數10000分","91002","8","2","203"
"10","12500","獲得累積分數12500分","91002","8","2","204"
"10","15000","獲得累積分數15000分","91002","8","2","205"
"10","20000","獲得累積分數20000分","91002","8","2","206"
"10","25000","獲得累積分數25000分","91002","8","2","207"
"10","30000","獲得累積分數30000分","91002","8","2","208"
"10","35000","取得累積分數35000分","91002","8","2","209"
"10","40000","取得累積分數40000分","91002","8","2","210"
"10","45000","取得累積分數45000分","91002","8","2","211"
"1","50000","取得累積分數50000分","11001303","15","2","212"
