5c2625e1bcb4f83333b6a51d44c745297a83d8967647afbe4808ae475bc1c43c,3fd90cedd8a69c7afd416ae594fd0b903f87ec300e29701e04fdfd6a1ef2c44e,b2ec24f1f6530225de328a2fbe94dda957003049c8d6bcc6f790a7ab66a18670,a28a78c26989ecea0afc7be1469635b7d430c3e4045b70784694fc9c432b4c22,4c8cafdcefcefa69a9f4885cfeabac749b9be910f2ba0481e5ea253140cde71c
"1","12","81001001","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升"
"2","11","81001001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物"
"3","17","81001001","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限"
"4","boss_def_lower_limit","81001001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）"
"5","boss_magic_def_lower_limit","81001001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）"
"6","9","81001001","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收"
"7","12","81001002","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升"
"8","11","81001002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物"
"9","17","81001002","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限"
"10","boss_def_lower_limit","81001002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）"
"11","boss_magic_def_lower_limit","81001002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）"
"12","9","81001002","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收"
"13","12","81001003","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","火屬性獎勵特大幅度提升"
"14","11","81001003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物"
"15","17","81001003","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限"
