b2ec24f1f6530225de328a2fbe94dda957003049c8d6bcc6f790a7ab66a18670,3fd90cedd8a69c7afd416ae594fd0b903f87ec300e29701e04fdfd6a1ef2c44e,4c8cafdcefcefa69a9f4885cfeabac749b9be910f2ba0481e5ea253140cde71c,5c2625e1bcb4f83333b6a51d44c745297a83d8967647afbe4808ae475bc1c43c,a28a78c26989ecea0afc7be1469635b7d430c3e4045b70784694fc9c432b4c22
"81001001","12","火屬性獎勵特大幅度提升","1","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001001","11","深域怪物","2","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001001","17","賦予TP上升上限","3","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001001","boss_def_lower_limit","提升物理防禦力（不可降低）","4","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001001","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","5","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001001","9","降低HP吸收","6","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001002","12","火屬性獎勵特大幅度提升","7","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001002","11","深域怪物","8","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001002","17","賦予TP上升上限","9","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001002","boss_def_lower_limit","提升物理防禦力（不可降低）","10","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001002","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","11","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001002","9","降低HP吸收","12","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001003","12","火屬性獎勵特大幅度提升","13","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001003","11","深域怪物","14","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"81001003","17","賦予TP上升上限","15","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"81001003","boss_def_lower_limit","提升物理防禦力（不可降低）","16","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"81001003","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","17","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"81001003","9","降低HP吸收","18","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"81001004","12","火屬性獎勵特大幅度提升","19","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。"
"81001004","11","深域怪物","20","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
