99a74f3f8045de2c1687da2c374ba1b2159770d8eef345dbd217b84f5482022e,d89879be2393a42cf94e9ab8a6d2e131617e6b777e70f839269e6e2e688fda3b,aa07491b489b566f9e7c01cbbae6f923e078be0882bbbd51315d04d7fa1a99a8,ce0ec4c9ed59083584f5cd78958358fa35df0effe9dbcf2979ff78105e129645,e19da6910935a0f794a381f0bb29ab23a9437ef5e03f24c66060958e905388c6,6467ef7f3eb4ba5c29f1881f206f9ccda10925fcc6968d30763d54c126d63a97,d52a5d77f4cbb43e8d74a9d3e9bf169723bae16fc9cf63f704fab989a952087b,154af6d66869fc8e53122b3fb6f68f554233a6e297cbd65e7d687ade694d0e4a,543930046645c7d7339a7867515443aa1a3a8785dcfcba1aa4487f2a0ca802a1,045af46b6b142f04850e974e211fdcf4e683194a4b859ab435293a68e78c336c,cd8c5e285dd1f090814589636bb87c07c85b651d2967a70b69a36aa8ed4f811d,fb31d5daa8d7617053329b4db0970fb7de27ed4f5e8c5eed10ec5be38d16bc83,c61eaed45cd6a2fe69fd8e8abe1af8fbbde2a27952a34051dfea7c9766dfd0f4,a82216d53f75ba69699779d6c764e648a752692d3f46d1544d094f5016691442,a41d33deeaa4bfda27176a76a4f64f96b5880aa711123736d7c16b066bab00cd,c7eb11b45bc0be8b28b0e2760eaf0e9c45e137c88867f7b3dabb49cf28f1424b,e0be20b135c906e4b40b1bd4e79d34efb82033dfae10d1f1d6c2ad1e710cab8f,1a32650f37bf790e9e28c95cefdb9ba15693465b3de86f5a32bcd7d14191fb63,fe69ba532194a49abf6de76d837aaf04b7afe9f7272fb252bfaa734fc6b3db0a,4d82f972c83d016390cd03828be0b42aa9b36b392c243767265861b534d776e0,f4e0440be79135e3b0bd067464739948e5d44d057560bea87318c639fa27b9f9,d472adfe1e5717b18c55ec65bdd3db25c29695dbbe6f5b18f45b6bd2776ccfd9,9c1c564723ec7d27e3a02fe87a370d9a26a5017d4ecdb473c32e55a26df1c77a,2df93d83ab3edd7b7ef5d61eaa7a6ed217b2bf4e4636ef0b29d8bab099c2a8ff,d339e9e103180e4a40555d2d79d9520f198a81fe301fe162fa58175c52c1b3e7,4c7530a554d968a7b0c7cccf37a82b805fd4e84660a22bb2a711f9836b6afce3,e560be91365105b5eae26eb53614cd768bfdd61470f9617d7ed65f43930762ab,7742f07a28f0ff572fd84f44512c6895ed937bafc328a0fba426ca409d6ea9de,8037557a2b99469b0fd5969b5ca1d047b8c97b35d1f2639119d235d5c57f9b5e
"90","31001001","94002","100091","0","0","0","0","0","100091","1.2","99002","0","1","1","0","0","0","40001","0","0","3100101","0","bgm_M06","0","0","31001","bgm_M06","0.4"
"90","31001002","94002","100092","0","0","0","0","0","100092","1.2","99002","0","2","1","0","0","0","40001","0","0","3100101","0","bgm_M06","0","0","31001","bgm_M06","0.4"
"90","31001003","94002","100101","0","99002","0","0","0","100101","1.2","90002","100","3","1","0","0","0","40004","0","0","3100102","0","bgm_M06","0","0","31001","bgm_M06","0.6"
"90","31001004","94002","100102","0","0","0","0","0","100102","1.2","99002","0","4","1","0","0","0","40001","0","0","3100103","0","bgm_M06","0","0","31001","bgm_M06","0.65"
"90","31001005","94002","100102","0","0","0","0","0","100102","1.2","99002","0","5","1","0","0","0","40001","0","0","3100103","0","bgm_M06","0","0","31001","bgm_M06","0.7"
"90","31001006","94002","100102","0","99002","90005","0","0","100102","1.2","90002","100","6","1","0","0","0","40004","0","0","3100104","0","bgm_M06","0","0","31001","bgm_M06","0.75"
"90","31001007","94002","100722","0","99002","0","0","0","100722","1.2","90002","100","7","3","0","0","0","40004","0","0","3100105","501010011","bgm_M63","0","0","31001","bgm_M63","1"
"90","31002001","94002","100251","0","0","0","0","0","100251","1.2","99002","0","1","1","0","0","0","40001","0","0","3100201","0","bgm_M06","0","0","31002","bgm_M06","0.4"
"90","31002002","94002","100252","0","0","0","0","0","100252","1.2","99002","0","2","1","0","0","0","40001","0","0","3100201","0","bgm_M06","0","0","31002","bgm_M06","0.4"
"90","31002003","94002","100253","0","99002","0","0","0","100253","1.2","90002","200","3","1","0","0","0","40004","0","0","3100202","0","bgm_M06","0","0","31002","bgm_M06","0.6"
"90","31002004","94002","100254","0","0","0","0","0","100254","1.2","99002","0","4","1","0","0","0","40001","0","0","3100203","0","bgm_M06","0","0","31002","bgm_M06","0.65"
"90","31002005","94002","100255","0","0","0","0","0","100255","1.2","99002","0","5","1","0","0","0","40001","0","0","3100203","0","bgm_M06","0","0","31002","bgm_M06","0.7"
"90","31002006","94002","100256","0","99002","0","0","0","100256","1.2","90002","200","6","1","0","0","0","40004","0","0","3100204","0","bgm_M06","0","0","31002","bgm_M06","0.75"
"90","31002007","94002","100257","0","0","0","0","0","100257","1.2","99002","0","7","1","0","0","0","40001","0","0","3100205","0","bgm_M06","0","0","31002","bgm_M06","0.8"
