c9f34261046b9fa8f10d3f415679d48eb03b074ccc3509bdbf1d84857e8df6e6,856107173c924182ac0cf3ca075c32266045a757f124ef1a098e246de8ec1573,7669c1898376f1394786f148756d2f1a3837ecfd1d508666d68aaba919fce825,b9018b3d393e9e196ad9bf7bf7050ffc1c485bd7c1479d6d20887e8c2d3ba58f,475b9b157a9122dbfc26314a901bea078efa4eea5badbf5c64b9704cc3836127,9ad7cf05212c94b641ad9bd0b953fced953aef0bf9f7e27b1a53fc6f756f1da6,43f7864f39e491f7bb5cf51040b6d198128b4b98a720c3e914fe2ea459ee39c6,edb44cfbcfae6975a0ab136bcd81d97bf3020735341843cfee7ad131ad03fada,8fa54da7fb528b59cba42e3e734c396d5b732f8be43a06514e8a89c3d4ecbf3c,df9b8fc3aef222b6da9978174ef014d65a2df0936518cd523e697b8e21cfbacc,36ea22d41bb12699be2ce44132495e23cc57fd9317a7d8f2852bbd72fc525872
"0","10001","0","0","0","0","10003","0","50061","10004","10002"
"0","10001","0","0","0","0","10003","0","50067","10005","10002"
"0","10001","0","0","0","10006","10003","0","50079","10005","10002"
"0","10001","10007","0","0","10006","10003","0","50084","10005","10002"
"0","10001","10007","0","10008","10006","10003","0","50094","10005","10002"
"0","10001","10007","0","10008","10006","10003","10009","50108","10005","10002"
"0","10001","10007","0","10008","10006","10003","10009","50116","10005","10002"
"0","10001","10007","10010","10008","10006","10003","10009","50119","10005","10002"
"0","10001","10007","10010","10008","10006","10003","10009","50129","10005","10002"
"10011","10001","10007","10010","10008","10006","10003","10009","50140","10005","10002"
"10012","10002","10008","10011","10009","10007","10005","10010","50151","10006","10003"
"0","10009","0","0","0","10013","10011","0","50162","10012","10010"
"0","10010","0","0","0","10014","10012","0","50172","10013","10011"
"0","10011","0","0","0","10015","10013","0","50183","10014","10012"
"0","10013","0","0","0","10005","10015","0","50190","10007","10014"
"0","10012","0","0","0","10016","10014","0","50195","10015","10013"
"0","10014","0","0","0","10002","10016","0","50200","10003","10015"
"0","10013","0","0","0","10017","10015","0","50217","10016","10014"
"0","10015","0","0","0","10009","10017","0","50231","10010","10016"
"0","10014","0","0","0","10018","10016","0","50237","10017","10015"
"0","10019","0","0","0","0","0","0","50248","0","0"
"0","10011","0","0","0","0","0","0","50261","0","0"
"0","10020","0","0","0","0","0","0","50267","0","0"
"0","10021","0","0","0","0","0","0","50278","0","0"
"0","10006","0","0","0","0","0","0","50291","0","0"
"0","10022","0","0","0","0","0","0","50298","0","0"
"0","10023","0","0","0","0","0","0","50309","0","0"
"0","10024","0","0","0","0","0","0","50321","0","0"
"0","10025","0","0","0","0","0","0","50331","0","0"
"0","10026","0","0","0","0","0","0","50341","0","0"
"0","10027","0","0","0","0","0","0","50354","0","0"
"0","10028","0","0","0","0","0","0","50365","0","0"
"0","10029","0","0","0","0","0","0","50375","0","0"
"0","10030","0","0","0","0","0","0","50383","0","0"
"0","10019","0","0","0","0","0","0","50393","0","0"
