7af32bce69885f702e87ac8ed9952675343afb20a3254aa839f58f2b5134ca42,42e4dc7b8067ba4c3cf57da11d91780912cc67f2356db891ddc08974400b8572,e8b24522f8cb23349360bbc4f38b7dc93e624392ae0a8f75afed246a6a052480,1e8ca3a646394c77c2924e31938df067f3315a7161803dd2098de93d269a1f6d,9c6fcdc9509ae52c22803a5b954bda2a1825df0c9b789e1cdac1877a6eab76d9,a8314e903a712eb8a391eab5a3d7379760c58e896fcb09a47653e6efe403b61f,bdfe40a38f67d7190d6ec3cd6aa872ac05759a88f1a170f1e67e30c4dc2d69ef,c1a1607418fb23e77c277e0e57619a39764acdc69675b8ed7ecac6af48b2b263,c51ff0e4a9ded568cea1e95c7582a47227da40ad74fa5d6af0a1ba3edcf15c75,5ad622ae064fc1d351bcfded080c4aaf975b47414b0a1a36fc927c099ef0fec9,fc3d36554b4cfeb03ad780effbd1f462fe78d9f1777312a0c5311e876194934c,3c1e57aeabb17ccf4c7df67677b17498487e7f5ece84e648d4c607a0e261dd8e,e1b5a1f56617da1c3b6023887bb4bfbe73262b1aabdb02aa3133e39308760a40,d69638161b2ef137b0c2063a5b130a11d3e46f39d2d44b5ef2ca7e8b76065f1c,6eb847b2523cf8561a11928baba5b226bfffbb5c8768cc84c3a01cd49dd6c1d3,d239eeb9a413e30c75c6ca88dbb62b7cda17d8f3ff7f33ac8b11139b13ef7bb3,a149cedc54a04b156a5f8000a201f4948f6740ddc84f090bbde36c0e0616cf5f,c459f8a802d520685c21d2b047d88263c538546073f8ae8c29429370876470ec,177e4ca1be0bf3715ab9c6b4d0dbe5bcd5d8eac205b75e676e17e3c8a2fc020c,0e6619260c474cf5ee89823e71b6134c3d23a8b8ba74af03dffb6e84e3d3c5e3,c6ae868eaeceab8df3f51510bf05aa409538a9976a761d87d241a53f1c6607d2,2703f40f5d3cb08cc83281c25aa9b2eb4a466ee8a2c200bcf69e5baf95ac0fbc,298bc0e2542a5f018d4d2895f16e04d02299236485906dbe03c1ff4896059e25,9839d7b3914c87cc1bfc2fe48f919e352a579e1194ff638265860d675405972a,1cf987bb865605e41f2eb761b9fe4833e424970b8ade86c9ca8d8edc7686216d,66628f653bb315ef2d96665ac38f8ed024f92e1534f5f8db4304bdfe88190dd8,13ffc2b3457ba4c2c8b33a04df69570382fbcd1ba9cbc8c4a7b5d33676d88328,f7e30a6aa30d144f0633c66da06382e7c88f4143ecdfc97c7d7914a635f7ba54,fd6df5a6e361f38b5922e92152bfaa8c0c51ed636117ac3ff0bf123c90c48f4f,cf8003f38bc81e1a8c851e7240d052fca24b69e5a209e0c19b8d49d6c4c5a823,1f7e8637cddacef31041ba27abe9556f0194601d6719dc5d25f0622cbc02cc92,46008659acbc6a005b0630af24d9aa2c5dce68a2d434e2eb89cb8f409143f9ab,090f53f996e5d23979e5b6741a11277b691650ec60e6027611c83b773fb9f2d3,6e9f4cfc02b75da8584e7eece0f81859a5276ce61a8813a7e610499d70646177,e0df6fadbaccae635c09da7232354c9dca69ff10b00ab18d785ba52ed5690385,c611a3f6c131ae3e00ee80baea12ca8aa12bc752ed363a82a5dd3741e0db5fe7,8fb15a4ccbef079b7b9ccfa92bca24b853e04b88cf0104df576b58bf4c45fab5,567495a40fdeb3e4f465d55d8964dccc196460d72cb891c1ad95ad3bda81050e,aca1d5471d05125f6a1d839bdf1d9db82c80184b93705cfbe5fa7ba1d4cad180
"1001203","710011","1","1","10010101","10010105","1001","0","1001201","0","1","401010031","1.1","1","401010041","1","1.1","10010103","1","401010021","1001105","401010051","1001103","1","1001102","1001205","1001301","0.03","10010102","1","1.2","100000","401010011","1001202","1001101","1001104","1001204","10010104","1"
"1001208","710011","1.2","1.2","10010101","10010105","1001","0","1001206","0","1","401010031","1.5","2","401010041","2","1.7","10010103","1","401010021","1001110","401010051","1001108","1","1001107","1001210","1001303","0.06","10010102","2","2","100000","401010011","1001207","1001106","1001109","1001209","10010104","-1"
"1002203","710021","1","1","10020101","10020105","1002","0","1002201","0","1","401020031","1.1","1","401020041","1","1.1","10020103","1","401020021","1002105","401020051","1002103","1","1002102","1002205","1001301","0.03","10020102","3","1.2","100000","401020011","1002202","1002101","1002104","1002204","10020104","1"
"1002208","710021","1.2","1.2","10020101","10020105","1002","0","1002206","0","1","401020081","1.5","2","401020091","2","1.7","10020103","1","401020071","1002110","401020101","1002108","1","1002107","1002210","1001303","0.06","10020102","4","2","100000","401020061","1002207","1002106","1002109","1002209","10020104","-1"
"1003203","710031","1","1","10030101","10030105","1003","0","1003201","0","1","401030031","1.1","1","401030041","1","1.1","10030103","1","401030021","1003105","401030051","1003103","1","1003102","1003205","1001301","0.03","10030102","5","1.2","100000","401030011","1003202","1003101","1003104","1003204","10030104","1"
"1003208","710031","1.2","1.2","10030101","10030105","1003","0","1003206","0","1","401030081","1.5","2","401030091","2","1.7","10030103","1","401030071","1003110","401030101","1003108","1","1003107","1003210","1001303","0.06","10030102","6","2","100000","401030061","1003207","1003106","1003109","1003209","10030104","-1"
"1004203","710041","1","1","10040101","10040105","1004","0","1004201","0","1","401040031","1.1","1","401040041","1","1.1","10040103","1","401040021","1004105","401040051","1004103","1","1004102","1004205","1001301","0.03","10040102","7","1.2","100000","401040011","1004202","1004101","1004104","1004204","10040104","1"
"1004208","710041","1.2","1.2","10040101","10040105","1004","0","1004206","0","1","401040081","1.5","2","401040091","2","1.7","10040103","1","401040071","1004110","401040101","1004108","1","1004107","1004210","1001303","0.06","10040102","8","2","100000","401040061","1004207","1004106","1004109","1004209","10040104","-1"
"1004203","710051","1","1","10050101","10050105","1005","0","1004201","0","1","401040131","1.1","1","401040141","1","1.1","10050103","1","401040121","1004105","401040151","1004103","1","1004102","1004205","1001301","0.03","10050102","9","1.2","100000","401040111","1004202","1004101","1004104","1004204","10050104","1"
"1004208","710051","1.2","1.2","10050101","10050105","1005","0","1004206","0","1","401040181","1.5","2","401040191","2","1.7","10050103","1","401040171","1004110","401040201","1004108","1","1004107","1004210","1001303","0.06","10050102","10","2","100000","401040161","1004207","1004106","1004109","1004209","10050104","-1"
"1004203","710061","1","1","10060101","10060105","1006","0","1004201","0","1","401040231","1.3","1","401040241","1","1.3","10060103","1","401040221","1004105","401040251","1004103","1","1004102","1004205","1001301","0.03","10060102","11","1.5","100000","401040211","1004202","1004101","1004104","1004204","10060104","1"
"1004208","710061","1.3","1.3","10060101","10060105","1006","0","1004206","0","1","401040281","1.8","2","401040291","2","1.8","10060103","1","401040271","1004110","401040301","1004108","1","1004107","1004210","1001303","0.06","10060102","12","2","100000","401040261","1004207","1004106","1004109","1004209","10060104","-1"
