9c3920036ed1ae6440f833f4f9f95c98cf63745edf818d3b6ccd7a89367817dd,b113fafbe2fa1ce43c21ac333323b7dd54767118bfa6cb1646cd31fedf60f2dd,a7fa7739c09e4cad7ad670b75ad34eb841ff713797606bdc56645b1ad50725ed,20cfad63fd803670761b1adcb7efa87c4192f0c21781af4f44c9a558b9d26361,863a8448bb6cdaaee7b325e46254df270813acc19ca3390a76b0c47888ad44f8,627c1320b6e8c55779a4ac7b428736083f445ca73c6cac8c7c02e3535ec55fa7,89d9e97c272419510410c35d56c8323cd36bc25fe2064d1cf12b3a9274175122,5adebcd589e0b983dd77a053337391337b8c00442aeb19fae662a6eb3bf887f9,63be25e26da5f68cc791c17b1d513dd010587c25279f10b742a77c1a0d27f78a,5e0eddf28e5ca6e5bf26db0c7b20a74578fd7c7c422b666871435ac7d8648e79,a93bebb95af9dceb4dec38f5778226b0ebe2d0f4f937ce5a7d5fd5cd537b3db7,a15fac3be5ca6c7805f64cf4dc5916fd7a4df9c2c962fb63e4aa5b6d3420c230,dbd4658d252d5a76b055a916579e0806126ceac0ebf7d2440fdc2d30cd1d7bfe,3d951bf9e27f6f42c3b8423f911f2414ba6091956be68338df2e35a421c99114,f9d36f37835ec8321df8f272a4ce202c72a7325e008650125f0be7c8d7a6844e,6190e1e680d8f65eb683fb177811face5c5ada3e82f17364fc6bd597e47726ae,b975b626ec6f7d4cc494b9cc80e8ca8480c6b3def9166a52f85e76a6c96415ce,78fe5280ab49eac4fe0845999da157970d42b682c428bb34f289304a184c9144,216b0bc25fedcc2c59248eb91b52ea8c03883075d37f7c9df5c278a526d2ef20
"2","50","50","20004","2","12","1","0","80","0","0","1","94002","0","0","1002200","23001","0","2000000"
"2","40","100","20004","2","12","51","0","80","0","0","2","94002","0","0","1002200","23001","0","1600000"
"2","40","200","20004","2","12","101","0","60","0","0","3","94002","0","0","1002200","23001","0","1400000"
"2","35","500","20004","2","12","201","0","60","0","0","4","94002","0","0","1002200","23001","0","1200000"
"2","35","1000","20004","2","12","501","0","40","0","0","5","94002","0","0","1002200","23001","0","1000000"
"2","30","1500","20004","2","12","1001","0","40","0","0","6","94002","0","0","1002200","23001","0","800000"
"2","25","2000","20004","2","12","1501","0","40","0","0","7","94002","0","0","1002200","23001","0","600000"
"2","25","3000","20003","2","12","2001","0","80","0","0","8","94002","0","0","1002200","23001","0","600000"
"2","20","5000","20003","2","12","3001","0","60","0","0","9","94002","0","0","1002200","23001","0","400000"
"2","15","10000","20003","2","12","5001","0","40","0","0","10","94002","0","0","1002200","23001","0","300000"
"2","10","100000","20003","2","12","10001","0","20","0","0","11","94002","0","0","1002200","23001","0","200000"
"2","5","200000","20003","2","12","100001","0","12","0","0","12","94002","0","0","1002200","23001","0","100000"
"2","5","300000","20003","2","12","200001","0","8","0","0","13","94002","0","0","1002200","23001","0","80000"
"2","5","400000","20003","2","12","300001","0","5","0","0","14","94002","0","0","1002200","23001","0","60000"
"2","5","-1","20003","2","12","400001","0","3","0","0","15","94002","0","0","1002200","23001","0","50000"
