0bc7d1551a0b0418546b5fd05921ad2d45d52f8bdd1f96a814426cdd0eb72ed4,2787592718e271e1949a1868decb62eb4449caacaf016fcdb983742cf6e6e560,0b7e474c17636bd70c9c397518f1371b9a38b0d7cd344fbc528d6d7a57c686c8,30200a4c1d5fe917b0a6771a90f33327d790860ab0d818bb97229cb884b62ec7,a50c42be65122982e1a274ac0cc01509b5880bc809cdc33d1b68876aa608f31e,981f6ccfddc8a4662872415ba536b777c8e2c57df25a9a0f6ba1fd246817dd8e,dd98e506855fe6a71ab28feed2f7ee15a4a00211796418d2f6d2383c053fda94,e637a66a95fc59a24130ed4186272cfdb48a9550018e217070110e1ee0414c57
"2030/01/01 01:00:00","1","0","2020/12/18 05:00:00","0","5023000","1","為什麼會發\n生這種事？"
"2030/01/01 01:00:00","2","0","2020/12/18 05:00:00","0","5023001","2","竟然說不出\n日安這句話"
"2030/01/01 01:00:00","3","0","2020/12/18 05:00:00","0","5023002","3","搞砸了！"
"2030/01/01 01:00:00","4","0","2020/12/19 05:00:00","0","5023002","4","優妮是\n這樣的人"
"2030/01/01 01:00:00","5","0","2020/12/19 05:00:00","0","5023002","5","克蘿依是\n這樣的人"
"2030/01/01 01:00:00","6","0","2020/12/19 05:00:00","0","5023002","6","琪愛兒是\n這樣的人"
"2030/01/01 01:00:00","7","0","2020/12/20 05:00:00","0","5023003","7","知性的\n優妮"
"2030/01/01 01:00:00","8","0","2020/12/20 05:00:00","0","5023003","8","溫柔的\n克蘿依"
"2030/01/01 01:00:00","9","0","2020/12/20 05:00:00","0","5023003","9","令人崇拜的\n琪愛兒"
"2030/01/01 01:00:00","10","0","2020/12/21 05:00:00","0","5023003","10","特別講座的\n練習"
"2030/01/01 01:00:00","11","0","2020/12/21 05:00:00","0","5023004","11","終於來了\n特別講座"
"2030/01/01 01:00:00","12","0","2020/12/21 05:00:00","0","5023005","12","真不愧是BB團的團長！"
"2030/01/01 01:00:00","13","0","2020/12/21 05:00:00","0","5023006","13","曼德拉草\n造成大混亂"
"2030/01/01 01:00:00","14","0","2020/12/25 16:00:00","0","5023007","14","最終日"
"2030/01/01 01:00:00","15","1","2020/12/25 16:00:00","0","5023000","0",""
"2030/01/01 01:00:00","16","1","2020/12/25 16:00:00","0","5023000","0",""
"2030/01/01 01:00:00","17","1","2020/12/25 16:00:00","0","5023000","0",""
