195bef515f8e7db7fbdff454160f3d9a1d61a6bb6381d8be72bbefa1bd41a36b,761d6d95f4063528b739d41029f6427633367e037d253491a15baa01a9f1b2b7,da77ee199a163a3e6001d961c98e2761b807eadb33302a29206a3100745ef02c,fd13d2b60ef884b1594a128e9405325436b14af523f742c635b0eeb55bb1c7fe,725134185f3063c7ab50de232199dbfa9914954c64bf74d622c52f5f14509f33,29c5f667f2ff6e8b210175dfb91c897798ed038177d1df579d811fa8ffe26bcd
"50000","50000","26202","1","2","1"
"10","10","90013","1","2","2"
"1","0","26203","1","2","3"
"55000","55000","26202","2","2","4"
"10","10","90013","2","2","5"
"1","0","26203","2","2","6"
"60000","60000","26202","3","2","7"
"10","10","90013","3","2","8"
"1","0","26203","3","2","9"
"65000","65000","26202","4","2","10"
"10","10","90013","4","2","11"
"1","0","26203","4","2","12"
"70000","70000","26202","5","2","13"
"10","10","90013","5","2","14"
"1","0","26203","5","2","15"
"75000","75000","26202","6","2","16"
"10","10","90013","6","2","17"
"1","0","26203","6","2","18"
"80000","80000","26202","7","2","19"
"10","10","90013","7","2","20"
"1","0","26203","7","2","21"
"85000","85000","26202","8","2","22"
"10","10","90013","8","2","23"
"1","0","26203","8","2","24"
"90000","90000","26202","9","2","25"
"20","20","90013","9","2","26"
"1","0","26203","9","2","27"
"95000","95000","26202","10","2","28"
"20","20","90013","10","2","29"
"1","0","26203","10","2","30"
"100000","100000","26202","11","2","31"
"20","20","90013","11","2","32"
"1","0","26203","11","2","33"
"105000","105000","26202","12","2","34"
"20","20","90013","12","2","35"
"1","0","26203","12","2","36"
