9178f092451688baaceb12a01c41d5c4b06ccbaba04f0e2f9972399e4182c37e,f73e7dcb2e6e2efef0b110229f6ac00384ea7d4b65f74eefef6565692bf6200b,ae1ccc85bda05b608532bbbd0f236873ff467bf0bedaf5cf1f3eb9ea4bdfd5fa,c9f52f43a2af59edb68814986d4b5ab056c7abf0639c8651b4b1d138f35fcd6f,c823eab7646031c113940a15f37dbb94413c08141b3ba51d8581049bc1782df3,1adada0e98fac5329ebbbd7be74328a9d746e943a6067908e12a2fc16331383d,d0c53ec238f2aeec31f76157f84567bd95d8cf2cd1f31a5b6cd241c4bb3b2348,2c6711833b608194b3654cda332d19e04e58927f031e726a75fbcee499cdfa74,22a00d23c30e3247b5d7a0e0f5a33b318efcbbfd671eb76b6994f0576c08b1b8,54f66c8d640f4244def6046379108146fc451b73c92f9af7776f4446c741c87e,40313044f09e64ab01cc8f4dfb925ed5c5a3921c70eae09bda16d793fa6ac63c,a83e994cafed0892ed660d4bf92c0afbdb9779ea0d541b8952efa26cf2577302,db32628681bfce688517a216426b494b6620e0c6209f55f006e1664430dc4b90,c770036a732c3248b9d76aebc46b2b281edafa3dafe35ace534fd95d58875956,36c4602fdcac5e9595f41c2a45431ad71ffeb80d27b5c9f25bba3d1cc1cb69ad,0a70427e08094f1aaf680f852ab54ea5cb32d9bdbea21a88a4cd06549b6ef93f,31a2270a09e87a843b19d67a032917681b3f1bcf4888117efbb748c93f62c8ac,1b554c74631101697e0fc9e68a465a528590fae9e34056839bf6a5ddd6232342,ff4be146da04611bb27a552afe526eea87bd9666383417e4287ecafc9cfdcb82,7a4fca4ed3b95115e648875d23edad10fc9c3dd10d5bbbc7aeeecd06f57aa502,8ec8bc4eab8784f9a9ae3bf21604dcf314abefec1fa3f2399d0232a1e20c3527,6d00ccce31217b53ab57e753b93b413d5982ea77d363f398fc62993950273474,70685f52c7e00ad104e01654c49605816395d5482b121c573572682e0f202947,bb664b092dbfc88c2a1eace367a4388f949bac2ab3d5fcad4d687ae32ed4c084,9c96eb285a33962a919636830a0b3515e26a697da386cf5aac466b1b0a261095
"0","100000","1","0","0","0","0","0","50","0","0","1","0","0","32001","5","18","0","0","1","0","0","0","160","100101"
"0","100000","1","0","0","0","0","0","50","0","0","2","0","0","31001","3","11","0","0","1","0","0","0","80","100101"
"0","100000","0","0","0","0","0","0","10","0","0","3","0","0","25001","0","15","0","0","1","0","0","0","100","100101"
"0","200000","0","0","0","0","0","10","15","0","0","3","0","0","25001","0","15","0","0","2","0","0","0","200","100101"
"0","400000","0","0","0","0","0","20","20","0","0","3","0","0","25001","0","15","0","0","3","0","0","0","300","100101"
"0","500000","0","0","0","0","0","30","25","0","0","3","0","0","25001","0","15","0","0","4","0","0","0","400","100101"
"0","600000","1","0","0","0","0","40","30","0","0","3","0","0","25001","2","15","0","2","5","0","0","0","500","100101"
"0","100000","1","0","0","0","0","0","50","0","0","1","0","0","32002","0","18","0","0","1","10","100","0","0","100201"
"0","100000","1","0","0","0","0","0","50","0","0","2","0","0","31002","0","11","0","0","1","10","60","0","0","100201"
"0","100000","0","0","0","0","0","0","10","0","0","3","2","0","25001","0","15","0","0","1","0","20","0","0","100201"
"0","200000","0","0","0","0","0","0","15","0","0","3","4","0","25001","0","15","0","0","2","0","40","0","0","100201"
"0","400000","0","0","0","0","0","0","20","0","0","3","6","0","25001","0","15","0","0","3","0","60","0","0","100201"
"0","500000","0","0","0","0","0","0","25","0","0","3","8","0","25001","0","15","0","0","4","0","80","0","0","100201"
"0","600000","1","0","0","0","0","0","30","0","0","3","10","0","25001","0","15","0","0","5","10","100","0","0","100201"
"0","100000","1","0","0","0","0","0","50","0","0","1","0","0","32003","5","18","0","0","1","0","0","0","160","100301"
"0","100000","1","0","0","0","0","0","50","0","0","2","0","0","31003","3","11","0","0","1","0","0","0","80","100301"
"0","100000","0","0","0","0","0","0","10","0","0","3","0","0","25001","0","15","0","0","1","0","0","0","100","100301"
"0","200000","0","0","0","0","0","10","15","0","0","3","0","0","25001","0","15","0","0","2","0","0","0","200","100301"
"0","400000","0","0","0","0","0","20","20","0","0","3","0","0","25001","0","15","0","0","3","0","0","0","300","100301"
"0","500000","0","0","0","0","0","30","25","0","0","3","0","0","25001","0","15","0","0","4","0","0","0","400","100301"
"0","600000","1","0","0","0","0","40","30","0","0","3","0","0","25001","2","15","0","2","5","0","0","0","500","100301"
"0","100000","1","0","0","0","0","0","50","0","0","1","0","0","32004","3","18","14","0","1","0","0","0","60","100401"
"0","100000","1","0","0","0","0","0","50","0","0","2","0","0","31004","2","11","7","0","1","0","0","0","30","100401"
"0","100000","0","0","0","0","0","0","10","0","0","3","0","0","25001","0","15","3","0","1","0","0","0","50","100401"
"0","200000","0","0","0","0","0","0","15","0","0","3","0","0","25001","0","15","6","0","2","0","0","0","150","100401"
"0","400000","0","0","0","0","0","0","20","0","0","3","0","0","25001","0","15","9","0","3","0","0","0","225","100401"
"0","500000","0","0","0","0","0","0","25","0","0","3","0","0","25001","0","15","12","0","4","0","0","0","270","100401"
"0","600000","1","0","0","0","0","0","30","10","0","3","0","0","25001","5","15","15","0","5","0","0","0","320","100401"
"0","100000","1","0","0","0","0","0","50","0","1500","1","0","0","32005","3","18","0","0","1","0","0","0","0","100501"
"0","100000","1","0","0","0","0","0","50","0","1000","2","0","0","31005","2","11","0","0","1","0","0","0","0","100501"
"0","100000","0","0","0","0","0","0","10","0","0","3","2","0","25001","0","15","2","0","1","0","0","0","40","100501"
"0","200000","0","0","0","0","0","0","15","0","0","3","4","0","25001","0","15","4","0","2","0","0","0","80","100501"
"0","400000","0","0","0","0","0","0","20","0","0","3","6","0","25001","0","15","6","0","3","0","0","0","120","100501"
"0","500000","0","0","0","0","0","0","25","0","0","3","8","0","25001","0","15","8","0","4","0","0","0","160","100501"
"0","600000","1","0","0","0","0","0","30","0","0","3","10","0","25001","5","15","10","0","5","0","0","0","200","100501"
"0","100000","1","0","10","0","0","0","50","0","0","1","0","0","32006","3","18","0","0","1","0","160","0","0","100601"
"0","100000","1","0","5","0","0","0","50","0","0","2","0","0","31006","2","11","0","0","1","0","80","0","0","100601"
"0","100000","0","0","0","0","0","0","10","0","0","3","0","0","25001","0","15","0","0","1","0","90","0","0","100601"
"0","200000","0","0","5","0","0","0","15","0","0","3","0","0","25001","0","15","0","0","2","0","180","0","0","100601"
"0","400000","0","0","10","0","0","0","20","0","0","3","0","0","25001","0","15","0","0","3","0","270","0","0","100601"
"0","500000","0","0","15","0","0","0","25","0","0","3","0","0","25001","0","15","0","0","4","0","360","0","0","100601"
"0","600000","1","0","20","0","0","0","30","0","0","3","0","0","25001","5","15","0","0","5","0","450","0","0","100601"
"0","100000","1","0","0","0","0","0","50","4","1500","1","0","0","32007","0","18","10","0","1","0","0","0","0","100701"
"0","100000","1","0","0","0","0","0","50","5","1000","2","0","0","31007","0","11","15","0","1","0","0","0","0","100701"
"0","100000","0","0","0","0","0","0","10","2","0","3","0","0","25001","0","15","6","0","1","0","0","0","0","100701"
"0","200000","0","0","0","0","0","0","15","4","0","3","0","0","25001","0","15","12","0","2","0","0","0","0","100701"
"0","400000","0","0","0","0","0","0","20","6","0","3","0","0","25001","0","15","18","0","3","0","0","0","0","100701"
"0","500000","0","0","0","0","0","0","25","8","0","3","0","0","25001","0","15","24","0","4","0","0","0","0","100701"
"0","600000","1","0","0","0","0","0","30","10","0","3","0","0","25001","0","15","30","0","5","0","0","0","0","100701"
"0","100000","1","0","0","0","0","0","50","0","0","1","0","0","32008","5","18","0","0","1","0","240","0","0","100801"
"0","100000","1","0","0","0","0","0","50","0","0","2","0","0","31008","3","11","0","0","1","0","120","0","0","100801"
"0","100000","0","0","5","0","0","0","10","0","0","3","0","0","25001","0","15","0","0","1","0","130","0","0","100801"
"0","200000","0","0","10","0","0","0","15","0","0","3","0","0","25001","0","15","0","0","2","0","260","0","0","100801"
"0","400000","0","0","15","0","0","0","20","0","0","3","0","0","25001","0","15","0","0","3","0","390","0","0","100801"
"0","500000","0","0","20","0","0","0","25","0","0","3","0","0","25001","0","15","0","0","4","0","520","0","0","100801"
"0","600000","1","0","25","0","0","0","30","0","0","3","0","1","25001","2","15","0","0","5","0","650","0","0","100801"
"0","100000","1","0","10","0","0","0","50","0","0","1","0","0","32009","5","18","0","0","1","0","360","0","0","100901"
"0","100000","1","0","10","0","0","0","50","0","0","2","0","0","31009","3","11","0","0","1","0","180","0","0","100901"
"0","100000","0","0","10","0","0","0","10","0","0","3","0","0","25001","0","15","0","0","1","0","180","0","0","100901"
"0","200000","0","0","20","0","0","0","15","0","0","3","0","0","25001","0","15","0","0","2","0","360","0","0","100901"
"0","400000","0","0","20","0","0","0","20","0","0","3","0","0","25001","0","15","0","0","3","0","540","0","0","100901"
"0","500000","0","0","30","0","0","0","25","0","0","3","0","0","25001","0","15","0","0","4","0","720","0","0","100901"
"0","600000","1","0","50","0","0","0","30","0","0","3","0","0","25001","2","15","0","0","5","0","900","0","0","100901"
"0","100000","1","0","0","0","0","0","50","0","0","1","0","0","32010","0","18","0","0","1","10","100","0","0","101001"
"0","100000","1","0","0","0","0","0","50","0","0","2","0","0","31010","0","11","0","0","1","10","60","0","0","101001"
"0","100000","0","0","0","0","0","0","10","0","0","3","0","0","25001","0","15","2","0","1","0","20","0","0","101001"
"0","200000","0","0","0","0","0","0","15","0","0","3","0","0","25001","0","15","4","0","2","0","40","0","0","101001"
