30ea67622c6c79cb5e38a830b152b988f803f733f35c8848260afe06853ca10f,b4453e80490f07741e4b184d4262edb0c37c1ef4382382e52784cbc637f8d683,9c24d2d9b26654490751e396605d4120e7b7cb71b5ce2a0eeb5ae907ee54d8fd,5ee8dda5ee6897a6fca774e4d0460a610f38871c0014cb5bf924156311b0a770,3c54150d175141159ee38ca4e3b81e87d197331dcc8ea701ccbc11200ef67033
"1","12","94002","1001","8000000"
"2","2","90005","1001","40"
"3","12","94002","1002","8000000"
"4","2","90005","1002","50"
"5","12","94002","1003","8000000"
"6","2","90005","1003","60"
"7","12","94002","1004","8000000"
"8","2","90005","1004","70"
"9","8","91002","1005","150"
"10","12","94002","1005","8000000"
"11","2","90005","1005","80"
"12","12","94002","1006","8000000"
"13","2","90005","1006","90"
"14","8","91002","1007","300"
"15","12","94002","1007","8000000"
"16","2","90005","1007","100"
"17","12","94002","2001","8000000"
"18","12","94002","2002","8000000"
"19","12","94002","2003","8000000"
"20","12","94002","2004","8000000"
"21","12","94002","2005","8000000"
"22","12","94002","2006","8000000"
"23","12","94002","2007","8000000"
"24","12","94002","2008","8000000"
"25","12","94002","2009","8000000"
"26","12","94002","2010","8000000"
"27","12","94002","2011","8000000"
"28","12","94002","2012","8000000"
"29","12","94002","2013","8000000"
"30","12","94002","2014","8000000"
"31","12","94002","2015","8000000"
"32","12","94002","7001","8000000"
"33","2","90005","7001","5"
"34","12","94002","7002","8000000"
"35","2","90005","7002","5"
"36","12","94002","7003","8000000"
"37","2","90005","7003","5"
"38","12","94002","7004","8000000"
"39","2","90005","7004","10"
"40","12","94002","7005","8000000"
"41","2","90005","7005","10"
"42","12","94002","7006","8000000"
"43","2","90005","7006","10"
"44","12","94002","7007","8000000"
"45","2","90005","7007","15"
"46","12","94002","7008","8000000"
"47","2","90005","7008","15"
"48","12","94002","7009","8000000"
"49","2","90005","7009","15"
"50","12","94002","7010","8000000"
"51","2","90005","7010","20"
"52","12","94002","7011","8000000"
"53","2","90005","7011","20"
"54","12","94002","7012","8000000"
"55","2","90005","7012","20"
"56","12","94002","7013","8000000"
"57","2","90005","7013","25"
"58","12","94002","7014","8000000"
"59","2","90005","7014","25"
"60","12","94002","7015","8000000"
"61","2","90005","7015","25"
"62","12","94002","7016","8000000"
"63","2","90005","7016","30"
"64","12","94002","7017","8000000"
"65","2","90005","7017","30"
"66","12","94002","7018","8000000"
"67","2","90005","7018","30"
"68","12","94002","7019","8000000"
"69","2","90005","7019","35"
"70","12","94002","7020","8000000"
"71","2","90005","7020","35"
"72","12","94002","7021","8000000"
"73","2","90005","7021","35"
"74","12","94002","7022","8000000"
"75","2","90005","7022","40"
"76","12","94002","8001","8000000"
"77","2","90008","8001","1000"
"78","12","94002","8002","8000000"
"79","2","90008","8002","1250"
"80","12","94002","8003","8000000"
"81","2","90008","8003","1500"
"82","12","94002","8004","8000000"
"83","2","90008","8004","1750"
"84","12","94002","8005","8000000"
"85","2","90008","8005","2000"
"86","12","94002","8006","8000000"
"87","2","90008","8006","2250"
"88","12","94002","8007","8000000"
"89","2","90008","8007","2500"
