800ffb3408a251c8320785f801b5bdfd21e1f4d5fb3815b68b53b92f67477f5f,851ca2a8d905e407bab1b7a58251793980d84c778a5382861ad150841a69c588,767e09c16620ce98848098e81fe09bb821f84112858939f14d1610f2f51c0fde,cf55bec955e38dd6079e2ff3f55fc6271fc8ed533b6302c27bb61cc7ff87d50e,11cf828aca3e5503a1838ef97e04fa22f0219839d07688807f49016d03b41bdf,abc3bb3550c66cbd3c6a163d5e36a0eaf69f5c2ddd0ac77e636c004254b0bbf5,3a2a5863103c41b89a2f6176e70cabe9bfbec315a1250a7b6ac3cb381c112680,58185e9e7f7076b210240018824c539daa4ca1443522798a6b0e189f94050227,90d7e8220bb9dcbb34a8fe946200bbe15d7621618b4940e20fe2edb48de25d1b,ea435e0838604e15e31571eafcb2c17ab80101bac7a155df9c0911401ee74f5b,70eacbabfb110ae2f5bc19e5c06d96d68123e8a76cb70e28d6399193554c28ef,6729fededbac7efe7d335e246328dd7fa4c02005c6fb6188e2ae991c14849629,b6d98471393e8cc826f3f289060e396f3d15cdc7531195f81a1d439b1e317755,5c3803dec8959309998a63b1a9b5bf752e484cb85fdf2e2d35ae4069f2ccb858,84f7971d02ecbbbab2f33b6656737b90c0766c354fa11e26629ac3bce0ed3c64,48a5f628eb26b8c3e5570864eaaea04043d3d94b1623d40872ffa0a75dfd89f4,16e8eec15e334731d4a45ed410853c3018a86ea6cb9600c1a3d9329c406cae58,867eaa3906cbb6a85d4ef409de0c29c09219a2fc938baec6d0d351276e1ee254,c08e2a4200ca045795cbff0c816f7c9efca14767dc617404901c180dfa4136ce,c32e94f3f934ed0feed26c498f9e9362092f6c42b18c3287be773908d08eefd8,6c11b3b4bba2d20ef22a1803423323a47b6f154c9e8c6791a27118cf4ceac864,c9adc799a5d64cffdc9e9ecc3c7907f384cd673cb42ca9b8d10b3602be257369,5e511bfd2e72bbfb51c96287bb6b1613e3fc8e649f011f1d5e79f37667121bc0,76deeed58241b536780bfcab915585b8718048f19523d9011a6bc3e93a854d7e,93ad9f46145b27411c138d4306fadd7a586b99f7a877c05f51d02b22624cbd35,9db0be72155c3752b9275bbfdaa2b8ba4119415af809e67ef45660fcfa775390,c1dbe3b9ca326a2c8066006971f9166406e379ba3683d5d7d89fa4e081882d05,33429234c0a1e43594a5a6a07e9b0888062009c16d8429c0a5185c59fd922f76,9b81a76f36a3d570c765fb6a1d3ac3e9ce6b3042d7cde0822eb076b93a7484b6,98715bd1c071b2ac191332cfeec88b9d5d86b2c67a445a270951474b47a45e7c,7dae51b628de25d2a432c8b0ae06668d003131ce0b888461a6a05f2e4e6f05a5,e09da73b8747ced19c4749b3ec802519fab5bb6d8e1205b959c606d7c94c3980,3bdf299114081e78c65f4973ff9535f16a64bcb3c0ef673362ad865954a8fa58,61cb4d38aa263265ca7f094dffb2fea954a175f9f2196bf95eb9fc5699c91b33,8320ae21773934fa0190ba2770c8d16fa28efc6b68c2165c318b0578f7826d9f,05777afbc88dff6aac3c07363e7a2b3e73ec607ddbc94ff1483c64d260278c12,7a76dc53ef75f49cc0674a9a8076efed99739a1048df4a3fb7f81e58dcf08071,97f43a3738f5205d55e5c942ab8dca4bdb6bcf887d52d5cd8c2f8785275aebad,7899db0650347c6c490e2a3f4496bbb30c8ae67a5ed2563a406ab3605d1f6bc2,9986f79ed526a7379aead63ea02cd7de4279eb376fc9a87cf4761ceb4e6b6299
"1","1","0","0","1","1","200100","1","1","10","200000006","1","1","1","3","1","24","30","0","1","10","0","1","4","1","0","0","1","1","0","1","1","0","1","670010001","0","1","329","1","0"
"2","2","0","0","2","2","200100","2","2","10","200000006","2","2","2","3","1","28","30","0","2","10","0","2","9","2","0","0","1","2","0","2","2","0","2","670010002","0","2","338","1","0"
"3","3","0","0","3","3","200100","3","3","10","200000006","3","3","3","4","1","32","30","0","3","10","0","3","5","3","0","0","1","3","0","3","3","0","3","670010003","0","3","347","1","0"
"4","4","0","0","4","4","200100","4","4","10","200000006","4","4","4","4","1","32","30","0","4","10","0","4","5","4","0","0","1","4","0","4","4","0","4","670010004","0","4","347","1","0"
"5","5","0","0","5","5","200100","5","5","10","200000006","5","5","5","4","1","35","30","0","5","10","0","5","5","5","0","0","1","5","0","5","5","0","5","670010005","0","5","349","1","0"
"6","6","0","0","6","6","200100","6","6","10","200000006","6","6","6","6","1","48","30","0","6","10","0","6","7","6","0","0","1","6","0","6","6","0","6","670010006","0","6","367","1","0"
"7","7","0","0","7","7","200100","7","7","10","200000006","7","7","7","7","1","55","30","0","7","10","0","7","8","7","0","0","1","7","0","7","7","0","7","670010007","0","7","413","1","0"
"8","8","0","0","8","8","200100","8","8","10","200000006","8","8","8","7","1","62","30","0","8","10","0","8","9","8","0","0","1","8","0","8","8","0","8","670010008","0","8","459","1","0"
"9","9","0","0","9","9","200100","9","9","10","200000006","9","9","9","8","1","68","30","0","9","10","0","9","9","9","0","0","1","9","0","9","9","0","9","670010009","0","9","505","1","0"
"10","10","0","0","10","10","200100","10","10","10","200000006","10","10","10","9","1","75","30","0","10","10","0","10","10","10","0","0","1","10","0","10","10","0","10","670010010","0","10","551","1","0"
"11","11","0","0","11","11","200100","11","11","10","200000006","11","11","11","9","1","82","30","0","11","10","0","11","11","11","0","0","1","11","0","11","11","0","11","670010011","0","11","598","1","0"
"12","12","0","0","12","12","200100","12","12","10","200000006","12","12","12","10","1","89","30","0","12","10","0","12","12","12","0","0","1","12","0","12","12","0","12","670010012","0","12","644","1","0"
"13","13","0","0","13","13","200100","13","13","10","200000006","13","13","13","11","1","95","30","0","13","10","0","13","12","13","0","0","1","13","0","13","13","0","13","670010013","0","13","690","1","0"
"14","14","0","0","14","14","200100","14","14","10","200000006","14","14","14","11","1","102","30","0","14","10","0","14","13","14","0","0","1","14","0","14","14","0","14","670010014","0","14","736","1","0"
"15","15","0","0","15","15","200100","15","15","10","200000006","15","15","15","12","1","109","30","0","15","10","0","15","14","15","0","0","1","15","0","15","15","0","15","670010015","0","15","782","1","0"
"16","16","0","0","16","16","200100","16","16","10","200000006","16","16","16","12","1","123","30","0","16","10","0","16","15","16","0","0","1","16","0","16","16","0","16","670010016","0","16","851","1","0"
"17","17","0","0","17","17","200100","17","17","10","200000006","17","17","17","12","1","136","30","0","17","10","0","17","15","17","0","0","1","17","0","17","17","0","17","670010017","0","17","919","1","0"
"18","18","0","0","18","18","200100","18","18","10","200000006","18","18","18","13","1","164","30","0","18","10","0","18","15","18","0","0","1","18","0","18","18","0","18","670010018","0","18","1296","1","0"
"19","19","0","0","19","19","200100","19","19","10","200000006","19","19","19","13","1","177","30","0","19","10","0","19","15","19","0","0","1","19","0","19","19","0","19","670010019","0","19","1482","1","0"
