efd2bcdea312cf66859e15637094acf1252355b48297fba688e1c9b950473fc0,8be375f5dc5ad8f30153053dba28f80127138fd8f3171c10becbcb4587d8dfe4,73a275df65c539cd481c433a4d955ba42f01a2e330439e294f186c6f694ad984,86314ac2c13ce40487319b5befd4ea9c409ce1c3b2b2580d29d8faf332f32c2d,a2b99bfda5ed5cfd95d2e9e0bfe4a1b3247dae8999d2df10a8f0382d9fa721b2,b08661a842b52702cc28c9a86301b218b4f0b5c3231306e6b7a9a2ef1561b9e8,d2c0b24f58d6d259da6cc78f5af8868e09ac06f2a9fff1b016e79dfbe26d9137
"取得累積分數2500分","1","5126700","50000","12","2500","94002"
"取得累積分數5000分","1","0","50000","12","5000","94002"
"取得累積分數7500分","1","0","50000","12","7500","94002"
"取得累積分數10000分","1","5126701","1","7","10000","2839"
"取得累積分數12500分","1","0","80000","12","12500","94002"
"取得累積分數15000分","1","0","80000","12","15000","94002"
"取得累積分數17500分","1","0","80000","12","17500","94002"
"取得累積分數20000分","1","5126702","25","8","20000","91002"
"取得累積分數22500分","1","0","100000","12","22500","94002"
"取得累積分數25000分","1","0","100000","12","25000","94002"
"取得累積分數27500分","1","0","100","8","27500","91002"
"取得累積分數30000分","1","5126703","1","15","30000","11001262"
"取得累積分數2500分","2","5126710","50000","12","2500","94002"
"取得累積分數5000分","2","0","50000","12","5000","94002"
"取得累積分數7500分","2","0","50000","12","7500","94002"
"取得累積分數10000分","2","5126711","1","7","10000","2840"
"取得累積分數12500分","2","0","80000","12","12500","94002"
"取得累積分數15000分","2","0","80000","12","15000","94002"
"取得累積分數17500分","2","0","80000","12","17500","94002"
"取得累積分數20000分","2","5126712","25","8","20000","91002"
"取得累積分數22500分","2","0","100000","12","22500","94002"
"取得累積分數25000分","2","0","100000","12","25000","94002"
"取得累積分數27500分","2","0","100","8","27500","91002"
"取得累積分數30000分","2","5126713","1","15","30000","11001263"
