a2b99bfda5ed5cfd95d2e9e0bfe4a1b3247dae8999d2df10a8f0382d9fa721b2,efd2bcdea312cf66859e15637094acf1252355b48297fba688e1c9b950473fc0,8be375f5dc5ad8f30153053dba28f80127138fd8f3171c10becbcb4587d8dfe4,d2c0b24f58d6d259da6cc78f5af8868e09ac06f2a9fff1b016e79dfbe26d9137,b08661a842b52702cc28c9a86301b218b4f0b5c3231306e6b7a9a2ef1561b9e8,73a275df65c539cd481c433a4d955ba42f01a2e330439e294f186c6f694ad984,86314ac2c13ce40487319b5befd4ea9c409ce1c3b2b2580d29d8faf332f32c2d
"12","取得累積分數2500分","1","94002","2500","5126700","50000"
"12","取得累積分數5000分","1","94002","5000","0","50000"
"12","取得累積分數7500分","1","94002","7500","0","50000"
"7","取得累積分數10000分","1","2839","10000","5126701","1"
"12","取得累積分數12500分","1","94002","12500","0","80000"
"12","取得累積分數15000分","1","94002","15000","0","80000"
"12","取得累積分數17500分","1","94002","17500","0","80000"
"8","取得累積分數20000分","1","91002","20000","5126702","25"
"12","取得累積分數22500分","1","94002","22500","0","100000"
"12","取得累積分數25000分","1","94002","25000","0","100000"
"8","取得累積分數27500分","1","91002","27500","0","100"
"15","取得累積分數30000分","1","11001262","30000","5126703","1"
"12","取得累積分數2500分","2","94002","2500","5126710","50000"
"12","取得累積分數5000分","2","94002","5000","0","50000"
"12","取得累積分數7500分","2","94002","7500","0","50000"
"7","取得累積分數10000分","2","2840","10000","5126711","1"
"12","取得累積分數12500分","2","94002","12500","0","80000"
"12","取得累積分數15000分","2","94002","15000","0","80000"
"12","取得累積分數17500分","2","94002","17500","0","80000"
"8","取得累積分數20000分","2","91002","20000","5126712","25"
"12","取得累積分數22500分","2","94002","22500","0","100000"
"12","取得累積分數25000分","2","94002","25000","0","100000"
"8","取得累積分數27500分","2","91002","27500","0","100"
"15","取得累積分數30000分","2","11001263","30000","5126713","1"
