c7ce38b632e9261c10f90d8c76e7874627070b19819e0aed0a5be3a0faf6f01a,14630febeab33fe071dd497c685e2e73015888a6f4cf6daf4f7d15f4efbf17df,5944710503a36cc3ae22ac7e7d660e48a4a7491aef09b8f3428e7699294ad759,3b88bf5094872314bb35ecb38cb54fb5a724325f2c8463caf7d41d7ab4a21079,68e615b8dcd0b50862478e739c5b82930bb4b72f7eb3688d1b3cd0d5cfcb071e,adc110d78494b424bdd9d263e0ee38cc2c0ef0ef69696e8d12dc89b6cf625190,9337c18f7c00b749b30fe9fe1675229f5e838ad6af79f468b76eb3adf5d5dc48,2b803377417a585b2ef3326acabed11baa3f663b61b8a83548358af816ab066c,71f82cc731f5a99da96fa9bd2a2f506a2c8e80f79a35a51a6a2980ff1b3e0faa,bf23f33f7a3b2939bc5471fb4782810e4d01a030a968055b3b9ee3f374b6e96a,338c65258ccec00e59b05ef514e2d221accc01a2d23f30c2945be3929ca8ebd9,a3369a689080f2be0665cb74224bd1a9438db24982dfc10e2b57261c2c504bd4,e6b02a10eebd8449af9ee756d5224856e799e90bc857cad1ea64156481cb0152,a721449662bc2979abfe7c73e1bdc8de4f64f32125d21d4f38e4cd864717f2f6,2d79cf71fdf7685578547ab304a0fbd1c1580c90d8229fb0f5f3dcf0cc1d3d44,ec2942a472483c60903145cf48a6b1f5d7e9c4d6d3b5dcf5c95cb136b83ac3bf
"2","111001","75","0","0","0","0","0","0","62001","0","0","0","0","0","0"
"8","111011","30","0","0","0","0","0","0","91002","0","0","0","0","0","0"
"8","111012","30","0","5","0","2","0","90005","91002","0","0","0","0","0","0"
"2","112001","150","0","0","0","0","0","0","62001","0","0","0","0","0","0"
"8","112011","60","0","10","0","2","0","90005","91002","0","0","0","0","0","0"
"8","113001","200","23001","400","2","2","90005","62001","91002","0","2","0","10","0","50"
"8","113002","100","23001","400","2","2","90005","62001","91002","0","2","0","10","0","50"
"8","114001","200","25021","500","2","2","90005","62001","91002","0","2","0","10","0","500"
"8","114002","100","25021","500","2","2","90005","62001","91002","0","2","0","10","0","500"
"8","115001","500","0","0","0","0","0","0","91002","0","0","0","0","0","0"
