9337c18f7c00b749b30fe9fe1675229f5e838ad6af79f468b76eb3adf5d5dc48,2d79cf71fdf7685578547ab304a0fbd1c1580c90d8229fb0f5f3dcf0cc1d3d44,71f82cc731f5a99da96fa9bd2a2f506a2c8e80f79a35a51a6a2980ff1b3e0faa,ec2942a472483c60903145cf48a6b1f5d7e9c4d6d3b5dcf5c95cb136b83ac3bf,a721449662bc2979abfe7c73e1bdc8de4f64f32125d21d4f38e4cd864717f2f6,338c65258ccec00e59b05ef514e2d221accc01a2d23f30c2945be3929ca8ebd9,c7ce38b632e9261c10f90d8c76e7874627070b19819e0aed0a5be3a0faf6f01a,a3369a689080f2be0665cb74224bd1a9438db24982dfc10e2b57261c2c504bd4,bf23f33f7a3b2939bc5471fb4782810e4d01a030a968055b3b9ee3f374b6e96a,5944710503a36cc3ae22ac7e7d660e48a4a7491aef09b8f3428e7699294ad759,14630febeab33fe071dd497c685e2e73015888a6f4cf6daf4f7d15f4efbf17df,2b803377417a585b2ef3326acabed11baa3f663b61b8a83548358af816ab066c,adc110d78494b424bdd9d263e0ee38cc2c0ef0ef69696e8d12dc89b6cf625190,68e615b8dcd0b50862478e739c5b82930bb4b72f7eb3688d1b3cd0d5cfcb071e,e6b02a10eebd8449af9ee756d5224856e799e90bc857cad1ea64156481cb0152,3b88bf5094872314bb35ecb38cb54fb5a724325f2c8463caf7d41d7ab4a21079
"0","0","0","0","0","0","2","0","62001","75","111001","0","0","0","0","0"
"0","0","0","0","0","0","8","0","91002","30","111011","0","0","0","0","0"
"2","0","90005","0","0","0","8","0","91002","30","111012","0","0","5","0","0"
"0","0","0","0","0","0","2","0","62001","150","112001","0","0","0","0","0"
"2","0","90005","0","0","0","8","0","91002","60","112011","0","0","10","0","0"
"2","0","62001","50","10","0","8","2","91002","200","113001","90005","2","400","0","23001"
"2","0","62001","50","10","0","8","2","91002","100","113002","90005","2","400","0","23001"
"2","0","62001","500","10","0","8","2","91002","200","114001","90005","2","500","0","25021"
"2","0","62001","500","10","0","8","2","91002","100","114002","90005","2","500","0","25021"
"0","0","0","0","0","0","8","0","91002","500","115001","0","0","0","0","0"
