4e65bc0c6f942e6f34744fc8ccee66c3e4eddc77798a93a873a7b7d10740d484,bd1363ac260400a09e3e27a3fce9525383403a3f4d942cc1a1e4608e583cdbe8,170c08a16070554a2c563e806f5f37b769b8df3d183f5ecc7826ca8e172d3b28,f03923d44b88fe6d1fce4a72b8d436a50522944609358dd3eaf70673d178daec
"1","1004601","5046601","1004601"
"1","1004801","5048007","1004801"
"2","1004802","1004801","1004802"
"1","1005601","5056601","1005601"
"1","1006101","5061601","1006101"
"3","1006102","5061602","1006102"
"1","1006103","5061601","1006103"
"4","1006601","5027704","1006601"
"5","1007001","0","1007001"
"1","1007301","5046601","1007301"
"1","1007501","5048007","1007501"
"2","1007502","1004801","1007502"
"6","1008201","0","1008201"
"1","1008301","5056601","1008301"
"1","1008901","5061601","1008901"
"3","1008902","5061602","1008902"
"1","1008903","5061601","1008903"
"3","1009201","5092601","1009201"
"3","1010001","5100601","1010001"
"3","1010201","5100601","1010201"
"6","1010901","0","1010901"
"3","1011901","5092601","1011901"
"3","1012701","5100601","1012701"
"1","2003201","5056601","2003201"
