b10b660c6865337e9626278a79fc76ef0e39007b1aa6f7d2e09b3e2ea3edcff4,2575a05c4399b47179e1ed343e3a15f1446d66888eab613e2947408a5e2f0f96,272d023e4dc92128d7fba865034b6ff3d7f08ab797bc81558d18afd35fb1d6ec,5912aa05714488618775e8d2a5ff0affdd3f01216d9fb5a68fb42113c91ebabc,155ebd6ddce7ee6b1cdc5c40b820de6d5a7e6f23a1c3ea29957eb3fc93cdcc04,6066a5bdd5328413be1435c8ee0aec0295f6813897536900b64ef7bbd29045d1,ba25f7dbc6774ce49e7bb7ee07c96c7043591877d9e0ad447dc6458ae2c49ffa,f1863770c64170f79138c78638e2aca653a34ae8dc2e96d7cf9b89523058a806,d332f124e5a4df05444d0542761b4c2a63bdc5e3e5df26976753153d3d614ae5,1c741169e04cff23fd67d2d293b9459430d8e532c66da66a7d738d3fbc1a1ecf,20c11e6379211502cf93e8231e24140f13c53fab81b644e4271a673569550071,2213803c0caa921326a0a9ba12b5a2e81966b557505fc463d24bd511473c57bb,dfa2bb074b4465e1bc99003c4075d0515780943413d0565191c9bc0115f6e7ff,cd26a7b85da0d466b4e36b5d9d41e01afa91695320fd31825fa6cfe42f15fc02,f945109d717c9192393f694be233c53c7bb8736fd645f6208cbc1376bb1218aa,6115681096d7b670cb38d6ad36d8b74c96ed275d89756370a1d8fab4537d2796,b456ec1d08fc16c54caa734cdbb23e5c01949fae99e47aecf6d2d7f603f28fc4,7ba5d86fde7c8346621420574c2a1c7357597c85c6e78c8f76365c25e641fd2f,1341360091b3d178ef24a094e0c6f87168df370cec72c846f21a8b064b0cafc1,e380d97bea7495142687eabb53447517f6c096107cc3fb9b69b1db95afaeb4d3,a362e0044855741ca7e50ff6608e0b0ecb33cb0541ff1a1fe15f3ab6014b38fc,0f4c91ba1644d2d09e12abd28b3c806f6f23a0f177c1adbef58ab1d9d2b8dbe3,dcb88b037377cbcab762b4ac5bdaaf843f2b8920b81e6798498460065e8e768c,06295b4b1fe55349503b5e99d6d84117dec14da94c0fed5ee4cd23066b05b4b0,0be295de67b1c414917d1dc2e9a04da59d152a9b1f993fecbfe53659502daed3,58681c7e2285e6a9971ce8712dea92863d2e84f3fcc3120455608f48544c3416,0cc7f171d62cab7a2dd316c2dea56902ce442254acf99f96c0ccacc549ae1870,303741490f37554f89afb1136f3a9718daf5d8183ed211dba0b07b43824bd69e,1911f8d11fd2f3f5ba3b4d9da314afc5318ba097170a21c289ec31a8ea008503,32c107c7cc795939a18ba35a742ac10a77b01758a5bb136399ced19a38dcb777,f921db48650c3c0e1e332c2595cde379def3d6e830ed0c08f84e5d67c0ffe2ee,4aad06b28573ecede330806cda7b96055733d617ecda2c08d4eb8aff20391acb,f86e4487ad809ef572e633bedba91665162d025027c2c859fa34f2ea7764076c,d299702637769b8448f38ee895d4ee668064444fadaad80e60760fde77b45eb1,ff7472f527de30142e22111b2cd36dcad86304fdc2c94bda333d185364079cd1,77d9b17914e2de1094b0fc0bda421c6b4b67dedd2a3676d56e6953b35041443d,84a0e391d94262c33e0a1c41801597f0e0aee6644eb1afa337b62f89c506d8dd,77161b2dda0fb5394d6ce9f72a986d11efa37ad81cdc856968654d6214ea8e13,73cda6485e8343663979c86d0dc1d1175d56d76e84b72842b2ed479aa2eb1f09,38c4d0cf3fc7698f931a371724063c906ddce665f9177f7b848c2564b50c1a05,a7422a61b31ad1f315ddcf332b6cbb0019033316655061a0449339e11240af32
"0","0","61001005","61001007","258","0","0","0","0","3001","1","61001004","0","0","620090001","30","1","0","0","0","0","0","1","620060001","36","0","3001","0","1","1","0","0","0","600110031","600000003","18","620130001","0","0","0","0"
"0","0","61001005","61001007","258","0","0","0","0","4001","1","61001004","0","0","620090001","30","1","0","0","0","0","0","1","620060001","36","0","4001","0","1","1","0","0","0","600110041","600000004","18","620130001","0","0","0","0"
"0","0","61001005","61001007","268","0","0","0","0","5001","1","61001004","0","0","620090002","30","1","0","0","0","0","0","1","620060002","36","0","5001","0","1","1","0","0","0","600110051","600000005","18","620130002","0","0","0","0"
"0","0","61001005","61001007","273","0","0","0","0","6001","1","61001004","0","0","620090003","30","1","0","0","0","0","0","1","620060003","36","0","6001","0","1","1","0","0","0","600110061","600000006","18","620130003","0","0","0","0"
"0","0","61001005","61001007","281","0","0","0","0","7001","1","61001004","0","0","620090004","30","1","0","0","0","0","0","1","620060004","36","0","7001","0","1","1","0","0","0","600110071","600000007","18","620130004","0","0","0","0"
"0","0","61001005","61001007","288","0","0","0","0","8001","1","61001004","0","0","620090005","30","1","0","0","0","0","0","1","620060005","36","0","8001","0","1","1","0","0","0","600110081","600000008","18","620130005","0","0","0","0"
"0","0","61001005","61001007","298","0","0","0","0","9001","1","61001004","0","0","620090006","30","1","0","0","0","0","0","1","620060006","36","0","9001","0","1","1","0","0","0","600110091","600000009","18","620130006","0","0","0","0"
"0","0","61001005","61001007","309","0","0","0","0","10001","1","61001004","0","0","620090007","30","1","0","0","0","0","0","1","620060007","36","0","10001","0","1","1","0","0","0","600110101","600000010","18","620130007","0","0","0","0"
"0","0","61001005","61001007","313","0","0","0","0","11001","1","61001004","0","0","620090008","30","1","0","0","0","0","0","1","620060008","36","0","11001","0","1","1","0","0","0","600110111","600000011","18","620130008","0","0","0","0"
"0","0","61001005","61001007","321","0","0","0","0","12001","1","61001004","0","0","620090009","30","1","0","0","0","0","0","1","620060009","36","0","12001","0","1","1","0","0","0","600110121","600000012","18","620130009","0","0","0","0"
"0","0","61001005","61001007","326","0","0","0","0","13001","1","61001004","0","0","620090010","30","1","0","0","0","0","0","1","620060010","36","0","13001","0","1","1","0","0","0","600110131","600000013","18","620130010","0","0","0","0"
"0","0","61001005","61001007","336","0","0","0","0","14001","1","61001004","0","0","620090011","30","1","0","0","0","0","0","1","620060011","36","0","14001","0","1","1","0","0","0","600110141","600000014","18","620130011","0","0","0","0"
"0","0","61001005","61001007","341","0","0","0","0","15001","1","61001004","0","0","620090012","30","1","0","0","0","0","0","1","620060012","36","0","15001","0","1","1","0","0","0","600110151","600000015","18","620130012","0","0","0","0"
"0","0","61001005","61001007","351","0","0","0","0","16001","1","61001004","0","0","620090013","30","1","0","0","0","0","0","1","620060013","36","0","16001","0","1","1","0","0","0","600110161","600000016","18","620130013","0","0","0","0"
"0","0","61001005","61001007","356","0","0","0","0","17001","1","61001004","0","0","620090014","30","1","0","0","0","0","0","1","620060014","36","0","17001","0","1","1","0","0","0","600110171","600000017","18","620130014","0","0","0","0"
"0","0","61001005","61001007","366","0","0","0","0","18001","1","61001004","0","0","620090015","30","1","0","0","0","0","0","1","620060015","36","0","18001","0","1","1","0","0","0","600110181","600000018","18","620130015","0","0","0","0"
"0","0","61001005","61001007","371","0","0","0","0","19001","1","61001004","0","0","620090016","30","1","0","0","0","0","0","1","620060016","36","0","19001","0","1","1","0","0","0","600110191","600000019","18","620130016","0","0","0","0"
