07ec9847cac2bbaec57019fd7057e9e6efc6ca280978b2213f606ebfb5adb4ac,6517c52f4305cac688826b7df13def8c1b2313e89b88c5fe77d52d7144ed89db,beeea9f349fa22664c545a6fc398d4b580ee2b086d8421d00e37e3f7f25ef41e,8af0fd3ad0e5764cb9ed3a6b651ee539f621a88b053c996c1d343d21be1ca91b,20d03c000866b054c5be211b92342229ddc04dac8d7e9978f21dc32d98749199,d89d42f64568f83a1ac044cb79a2e497e783b37eb32d78d233a520810b2129db,179237557bb053ca5418c666a0582f4a13397d245b2a2cc55c138ed119024908,c34e65bbac4d9de3f4a770dcf8f093f863aa39238ff173b5de8b1dd66b7fc2f1,ccb881ac63e889479e8e2f35f7a3a9d786762284b3bd38ce14f057f0a1e69055,62f1ed46dd3ae252919164950bcb003f7ffad4e6f79c958c0c26649e8f11ee66,556e35e4dfad1a3e14a0a27fa93a391e6b42a3afa03f10f26a9ccb302a818540,c678b592378c95348036a53e86800ff41b66d9bf75707f1ab821e4b3ca0cc434,86b7ff39732ea803b248bca960b660e3fc89a034da7e470671bca07a81c7b38e,973464006d0e0a0ba92cc81124e48e8cfe8a25fd36a5970f98167cb39e77de41,94942b4e30113ce4eb56aabf0297106a8b0253e413ebcfe3cfe0a8ddd9dba638,b76f98414d4572f3474e241fc30846a6410312330fff15beaedec3f53097a4a5,66a2f24bd1d5fc1b05c41d9ba2ed4fe6d5c9900f0b850890e65b0dbdfa1fd635
"2","25202","50","4","6","1","0","25204","0","50","0","0","150001","2","0","5","0"
"2","25202","50","4","9","1","0","25204","100","40","0","2","150001","2","0","20","25011"
"2","25202","50","4","12","1","0","25204","0","30","0","0","150002","2","0","25","0"
"2","25202","20","2","15","1","2","25204","50","20","25011","4","25206","2","500","30","150002"
"2","25202","50","4","6","2","0","25204","0","50","0","0","150001","2","0","5","0"
"2","25202","50","4","9","2","0","25204","100","40","0","2","150001","2","0","20","25012"
"2","25202","50","4","12","2","0","25204","0","30","0","0","150002","2","0","25","0"
"2","25202","20","2","15","2","2","25204","50","20","25012","4","25206","2","500","30","150002"
"2","25202","50","4","6","3","0","25204","0","50","0","0","150001","2","0","5","0"
"2","25202","50","4","9","3","0","25204","100","40","0","2","150001","2","0","20","25013"
"2","25202","50","4","12","3","0","25204","0","30","0","0","150002","2","0","25","0"
"2","25202","20","2","15","3","2","25204","50","20","25013","4","25206","2","500","30","150002"
"2","25202","50","4","6","4","0","25204","0","50","0","0","150001","2","0","5","0"
"2","25202","50","4","9","4","0","25204","100","40","0","2","150001","2","0","20","25014"
"2","25202","50","4","12","4","0","25204","0","30","0","0","150002","2","0","25","0"
"2","25202","20","2","15","4","2","25204","50","20","25014","4","25206","2","500","30","150002"
"2","25202","50","4","6","5","0","25204","0","50","0","0","150001","2","0","5","0"
"2","25202","50","4","9","5","0","25204","100","40","0","2","150001","2","0","20","25015"
"2","25202","50","4","12","5","0","25204","0","30","0","0","150002","2","0","25","0"
"2","25202","20","2","15","5","2","25204","50","20","25015","4","25206","2","500","30","150002"
