4627479d3d35555a3d9e5166b49202c9001e9ee178f5b6466302e13a5996c935,bb644399ff64096d86521daa1c5d485078c69a9c8aed31d862eb84cd36018c28,2f5e829fae5ec80c3e54481a4b0fbe76b42c6748e9583015e4587d46246081b3,194039dbfa63f0a3bcc1cc30b1f4cbd2e96c749a20d384f49464e324ce3b8a9f,d3f8171e92056b35b2c64b3b7a589d2fc5692ea6393028fa57c95377411c9692,b6045beaef065419da75a6f1ceb395147af638ad2dbf71f7643314f0bc87875c,3028ce9e4fae73b59a2e98777f48b802196b07cf2a054ee9f20eb1e77552a4a9,506934f730726e965e1c5466c7543c125169d3c8c54e48e9c38416ae8051497e,c974cda466f58ddeeadb5aae082fec5e42659e589efeee4d0ebe7d37698d1122,ce4e5d9cca776fbbaca7cf7021afac06cd099d0bb6f35a85cdb9ac867b910647,7e8e27e9d9829d363c6c64cf93ca1e4afe94ff7caad213b7f91d681e22f016f1,fd236605fcceaac6146288fa90dcf5d9516a943955e6cd9c1ceb0ce943fe9137,532b4fcfb344d48c8b0a8d2c87f40b4f3c7ecadadad27ef77138e3ce4adaf715,4333e77fb07180cb4ed2d38e20f2dc4ed195d7966083b842961479f793a0569a,4165a0040de815526f10dd577cd141aa1210bf8d7af9cbfa814b88502917d4ff,05a92bc5fb8852d09f3171f331a07a9683694277b3ef8f44580a05e7fd7cb9f7,7078e7e76c50016b70352a83d2f8c8119363fd8de5279139e950e371c733c0cd
"101","0","1008","11001001","0","200","1","11001001","0","0","2099/04/01 14:59:59","0","完成 10 次主線或活動冒險","2015/04/01 15:00:00","0","10","1"
"101","0","1008","11001002","0","200","1","11001002","0","0","2030/04/01 14:59:59","0","完成 20 次主線或活動冒險","2019/03/06 16:00:00","0","20","1"
"102","0","1003","11003001","0","200","2","11003001","0","0","2099/04/01 14:59:59","0","完成 3 次主線(HARD、VERY HARD)或活動冒險(HARD)","2015/04/01 15:00:00","0","3","1"
"103","0","1004","11004001","0","202","7","11004001","0","0","2099/04/01 14:59:59","0","完成４次探索冒險","2015/04/01 15:00:00","0","4","1"
"104","0","1005","11005001","0","204","9","11005001","0","0","2099/04/01 14:59:59","0","完成 1 次地下城的戰鬥","2015/04/01 15:00:00","0","1","1"
"122","0","80000","11005002","0","603","15","11005002","0","0","2025/10/10 04:59:59","0","挑戰1次地下城","2025/10/05 05:00:00","0","1","1"
"122","0","80003","11005003","0","603","16","11005003","0","0","2025/10/10 04:59:59","0","通關1次地下城的戰鬥","2025/10/05 05:00:00","0","1","1"
"105","0","1006","11006001","0","203","8","11006001","0","0","2019/03/06 15:59:00","0","完成 1 次共鬥","2018/08/14 16:00:00","0","1","1"
"108","0","1101","11101001","0","208","14","11101001","0","0","2025/12/10 15:59:59","0","挑戰1次露娜之塔的冒險","2025/12/05 16:00:00","0","1","1"
"132","0","1701","11701001","0","1007","17","11701001","0","0","2030/04/01 14:59:59","0","完成1次深淵討伐戰前哨冒險","2024/11/15 16:00:00","0","1","1"
