c36cd684a193aa534605490f7c793f5a0e8252f9b68d77d4ae2616d44f7f9320,ceec08576d6d55db68abc724707e2617fea36f6b09ef3da993518d08fe914b8f,1a9ef7dfde6bb43c4cf3b1e02d6a5b4aabd96c5b5331192f0b15acccecac255f,8bfad275fd5ef0501f9e0994143dfc7186f965f0072c905f49938a5668d6b49d
"22","53001","1","1"
"21","99007","500","2"
"21","99008","1","3"
"21","99007","800","4"
"21","99007","2000","5"
"21","99007","1000","6"
"22","53001","2","7"
"21","99008","2","8"
"21","99008","3","9"
"22","53002","1","10"
"22","53001","3","11"
