0f48516da505a78c35195f940e1c6ba8d54922612c1a6364e26088031b7d2aa8,1cb47b44b82abde44e9c8e28de25957be2ab50a45fa70ff1c644fab59b9f1413,d8529aa07e5d3104f6a95852b3d87eca0c0d98915f692f45f83eab4826114b64,b7bfb62a9be3ece9e01dd70638e1c87ad50cf89da7591e6b3fedf286f3bd80e4,c143eef5724d7c9ed319b69c1e94094115d114e1a297ba39faff4482437787d0,c7d6441953e65ff343f88328c16dbc0113ba20cf9d2199fb55f5a1700888e140,03918c3cf1eb13ba3172d66c52d9082250fb96542ad15582f56290dd156a1c7d,7f75f2702125b954718d85a7acb6ee1e346f7671657747ab1b981ab73f178654,15e33f9139e83f8522ad6bc2c873b67863529c1cef2175faaff25c05ba242a32,148030c4448dd70ff82823fc02da18125522712b663905217ef283b7e96eaaca,303046b9e0fc3fa0e951e827a23a61b5dbf22537e5caffc9b223270c3c9fa453,8b002b54a18d952acf6aac2ee3d5bd7f708d41e11583561e1e722463e5dfdc63,2e36ab626bd147aa54237887af1cace4b4791a9c271266871bd36e9cf9582c01,7fa9e9de0b98b39f9a23bb0fa583e6fb11e97d1e36c26f649e264e89f2dc6e64,a77e357b8fa7899e85d670f7c15c6610e20f945a52af194f70ec1033a6975f49,02eef307d1035d2b75e082cec59723ca60fe341db21495e25adf02074289c1fd,287fff0b7c9aa467a467bc99f6f7871627ca6bb864e1d94e280e1bbc8818d77f,b951d9013d63b64884808250cff6766d3dadc3ed772b7d2787b59484f37de1b8,0d23affe3c5948d79517ffec4ebb47606079d5c36fb3bd2c726b61969598ab8f,f6e767e35e0158a74a6ed72b466d5891abcfaf32e98c67db7e0cba79842d03e4,24ca5b34a60337339891645dbefdea89a439b402c93709280beb144bfea5658c,14841b918b0c7a67c3994e8185b7bee36b6f4b76315a3f59976de2537ff6a13f
"0.6","1","250","-30","10","101001","1001","1","0.8","1","0","1","-480","101001","-30","0","bgm_M64","210","-120","0.7","1","10010101"
"0.75","2","0","0","10","101001","1001","1","1.2","2","0","1","-260","101001","-30","0","bgm_M64","200","-120","1","1","10010102"
"0.75","3","100","-10","0","101001","1001","1","1.1","3","0","1","-40","101001","-30","-50","bgm_M64","200","0","1","1","10010103"
"0.7","4","0","0","0","101001","1001","1","1","4","0","1","240","101001","-30","0","bgm_M64","200","-50","1","1","10010104"
"1.2","5","200","0","0","101011","1001","1","1.3","5","0","1","480","101011","-30","0","bgm_M55","250","-40","1","1","10010105"
"0.6","1","250","-30","10","101021","1002","1","0.8","1","0","1","-480","101001","-30","0","bgm_M64","210","-155","0.7","1","10020101"
"0.75","2","250","0","10","101021","1002","1","1.2","2","0","1","-265","101001","-30","0","bgm_M64","200","-120","1","1","10020102"
"0.9","3","100","-10","0","101021","1002","1","1.4","3","-15","1","-30","101001","-30","-30","bgm_M64","200","30","1","1","10020103"
"1","4","100","0","0","101021","1002","1","1.5","4","0","1","220","101001","-30","-30","bgm_M64","200","-90","1.25","1","10020104"
"1.4","5","200","0","0","101031","1002","1","1.8","5","0","1","440","101011","-30","0","bgm_M55","250","0","1.6","1","10020105"
"0.6","1","250","-30","10","101041","1003","1","0.8","1","0","1","-470","101041","-30","0","bgm_M64","210","-155","0.7","1","10030101"
"0.75","2","250","0","10","101041","1003","1","1.2","2","0","1","-210","101041","-30","0","bgm_M64","200","-95","1","1","10030102"
"0.75","3","100","-10","0","101041","1003","1","1.1","3","0","1","50","101041","-30","-50","bgm_M64","200","-120","1","1","10030103"
"0.8","4","100","0","0","101041","1003","1","1.5","4","0","1","195","101041","-30","-30","bgm_M64","200","35","1.2","1","10030104"
