88371863d408f9afa728f85fc74b11d74e5100a37e0a62ccfd6ceb2d5a7c5fa3,22deff3f427b318f54503f78f4cc2ebbe66e6c3c7480672371710d7fdc565e28,719de2ffc7a8f5e6d05e6f3b819ef6a5f4041950a00a643ce4933769695f5833,22bc2801a1a079bb15c8b2222cec539659ecdb9e5b8b2d270c238236a4a5bd14
"1","170","1","1000"
"2","175","1","3000"
"3","180","1","5000"
"4","185","1","7000"
"5","190","1","9000"
"6","195","1","11000"
"7","200","1","13000"
"8","205","1","15000"
"9","210","1","17000"
"10","215","1","19000"
"11","220","1","21000"
"12","225","1","23000"
"13","230","1","25000"
"14","232","1","27000"
"15","234","1","29000"
"16","236","1","31000"
"17","238","1","33000"
"18","240","1","35000"
"19","242","1","37000"
"20","244","1","39000"
"21","246","1","41000"
"22","248","1","43000"
"23","250","1","9999999"
"24","170","2","1000"
"25","175","2","3000"
"26","180","2","5000"
"27","185","2","7000"
"28","190","2","9000"
"29","195","2","11000"
"30","200","2","13000"
"31","205","2","15000"
"32","210","2","17000"
"33","215","2","19000"
"34","220","2","21000"
"35","225","2","23000"
"36","230","2","25000"
"37","232","2","27000"
"38","234","2","29000"
"39","236","2","31000"
"40","238","2","33000"
"41","240","2","35000"
"42","242","2","37000"
"43","244","2","39000"
"44","246","2","41000"
"45","248","2","43000"
"46","250","2","9999999"
"47","170","3","1000"
"48","175","3","3000"
"49","180","3","5000"
"50","185","3","7000"
"51","190","3","9000"
"52","195","3","11000"
"53","200","3","13000"
"54","205","3","15000"
"55","210","3","17000"
"56","215","3","19000"
"57","220","3","21000"
"58","225","3","23000"
"59","230","3","25000"
"60","232","3","27000"
"61","234","3","29000"
"62","236","3","31000"
"63","238","3","33000"
"64","240","3","35000"
"65","242","3","37000"
"66","244","3","39000"
"67","246","3","41000"
"68","248","3","43000"
"69","250","3","9999999"
