bf913006507a7a292c786091f5d69814ed80a3b6097a06616f1b4e665b02472b,cfdc5e3cfdd0d9aaf536944ef7884c50b6619f73f360db9688d2661e284258e9,5241e5d26d138276f58f3e777f78f02b05d882c0e7d61bb54dc75b573fa42570,f74b45e5918abd70d3fe2617665b56129c4d00b72c2b1e515db89367a90e2de4,7214008ac1cca0400666d7170547e5a76a2c88b171ad14a8f9efd1b59ced55c8,0f740758b2abbe8ec0ba788df9e310b0ac65d0b7d41b59447152f263dfbecadb,80faeb3715238fba916d788b72172618d11f9d91c489aea8bfd17a809758ccaa,04b06c74c40d3222a857966938bc02d7bc0178036df2a1b48afc080eb91297c8,58e19c2e2fe3077096b5d1fdbc989065f8a5aba9ae677b47028b7f412d6d8f96,2d81bc86cf9d494130bbb61049838f1c5d46660c2ff00a91a947c03c4194f220,97373b3f1ae7eb251cefce445655e5a4031bb3d3fb25acb1d8c83856d514ee57,21168f9c643ff6d2e1b212af146f3c790c5ebf7ab8dd40613028514359eb91d8,fdc320000dbe3d1a7164fe6080450b171a9389915923a2bdcdd32230d6b806f0,178709b2195f034cd9547d1ac94403c8a78de4df1b7fe48747e81633731aef3a,c2c3d44327f7005220750dc992370bce225866c4c9b57ba552302f3a4d7b4c83,6cc848613173f9b9a47ca09787b8f6b74344ea1f39dc3c517f29ad4f480e9c18,22d54e2192f63469b76001aa68d5b8659e1ec34d8c0bc3146498132a6e0fd186,7fa3bd5726f97310a79ecb407432cbbba29c4cf92f29005728020b283bc5a527,e27a00efd8dcbfc3f611954debaacfd8109da902d024c10de330cface39dc101,f23fcfbc94fe697c39b9b46576b23e2d54ea98d35696a431a2b1a5f6c081d4fb,96acc5eda4c68748c15ce922295001a209a362c027eb1b695531335f47c1a77e,6cfc12fc83e8c20d8f37582e378f3d3dca46fc5df743582ec8df7870f91cfe91,288edde74eb1858552a796d0f8db0ad0644521c6cfff3665eaa87f7ea1b17008,d93d49379642e1b474222ed400575a8d126a032789958b5790ac62ef6529afe7,8ffc0d6c66cc6ec22f26092da846ebf5382ad6048dc320a47d048fe514b37c0a,551e602c5370b6a1b6417493d77a599c24cd0ce72c28c56274c7a2e5e17544ba
"0.8","0","1","0","bgm_MC131","81001001","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001002","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001003","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001004","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001005","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001006","0","0.8","1","-379","0","2","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001007","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001008","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001009","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.9","-10","1","0","bgm_MC131","81001010","0","0","1","0","60","3","-20","0","0","100198","0","0","0","0","0","0","0","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001011","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001012","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001013","0","0.8","1","-379","0","2","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001014","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
"0.8","0","1","0","bgm_MC131","81001015","0","0.8","1","-379","0","1","0","-190","0.8","100198","0","0","-1","377","188","0.8","0.8","0","100198","bgm_MC131"
