4357c6f8235bb81be89249acf88836cfd3bb02714c888191d2ad1477d156da8c,60e6028d55de39eec8eaf9138c9fa28e2c22152e82f4379a33f22b71a741646f,cf7edd8243b270d42394cad1afc664277b187cc58930734a0571300055a667b4,ae310c941c7648aed866cea63f6228da8bb59263f5b17c73514d82091ed789cc,236bad9026bd685d25a384a07fec8e5b24d0eea9e1c69bc40b7d6b470c8220cf,299e0ff291b72eecceeba3c0ba2cd1392ed0efd98d4887cae71c19c736f7fc4d,378ce8f2dc12a6e692125519f190c469e49c9835fb0fcf35994030fbec501aad,29722a4cbce79f88b0a0f030000ab53961da0a0ad5868dae9d0795afc46593c0,92081e818a3e86ace8c24b1abbc9fb27a3b7d712ebb86285f6bb4c6a2e571655,d8b7b5d5b13575f4857ba2aa4c5445fdc183d6eb7b77f08076b3f00688fab262,f9d1e580fbb61109fdd793090012fb1d25a87acc9a38efe9b643dc0c9e0b6b26
"","","1015","","","","","","","星",""
"","","1019","","","","衣","","白","愛",""
"","","1020","","","綠","","","","",""
"","","1021","","","","","","","普",""
"","K","1070","","","","","","","",""
"","","1071","","","","","","","短",""
"","","1079","","","","","","","順",""
"","","1080","","","","","","","七八九",""
"","","1131","","","","","","","H",""
"","","1196","","","U","","","U","",""
"","","1229","","","","跆","","","",""
"","","1242","","","","","","","三五七",""
"一","","1244","","","","","","","二",""
"","","2002","磚塊","","","","紅","","","房"
"蓑","","2011","","","笠","","","","",""
"","","2012","","","五","","","","南",""
"三五八九","","2024","","","","","","","",""
"","","2031","","","E","","","","S",""
"AE","","2032","","","","","","","",""
"","","2033","","","A","","","R","",""
"","","2034","","","E","","","I","",""
"","","2036","","","UA","","","R","",""
"Y","E","2037","","","E","","","L","",""
"I","V","2038","","","E","","","L","",""
"","","2040","","","L","","","I","",""
"","","2041","","","","","","A","",""
"","","2042","","","","","","","Y",""
"","","2043","","","","","","A","K",""
"","","2045","","","","","","A","",""
"","","2046","","","","","","R","Q",""
"","","2047","","","A","","","R","",""
"","","2048","","","","","","A","KQ",""
"","","2049","","","B","","","","",""
"T","","2050","","","U","","","A","",""
"P","","2052","","","EI","","","C","",""
"T","","2053","","","I","","","A","",""
"S","","2054","E","O","","P","W","","","R"
"","","2055","","","","","","R","",""
"","","2056","","","V","","","","",""
"","","2058","","","","","","WU","",""
"","","2059","","","","","","","R",""
"","","2060","","","","","","","R",""
"","","2062","","","","","","S","",""
"S","S","2063","","","A","","","E","",""
"A","","2064","C","O","","F","R","A","","E"
"S","","2065","","","A","","","","",""
"","","2066","","","","","","","C",""
"","","2067","","","B","","","","",""
"","","2068","","","I","","","","L",""
"","","2069","","","","","","E","C",""
"","D","2070","","","E","","","","",""
"I","N","2071","","","A","","","","",""
"A","","2074","","","","","","C","",""
"A","","2077","","","","","","A","",""
"","","2078","","","L","","","R","",""
"G","E","2080","","","E","","","MF","O",""
"","","2081","","","","","","","F",""
"","","2084","","","","","無","","",""
"H","E","2085","","","P","","","L","A",""
"EO","","2086","","","","","","","AI",""
"","","2092","","","","","","","P",""
"","","2093","","","","","","C","",""
"","","2096","","","","","","","萬",""
"華麗","","2101","","","華","","","","",""
"","","2102","","","","","","e","",""
"l","e","2149","","","","","","","",""
"","","2167","","","","","","誕","聖",""
"","","2194","","萊","","布","","","佛",""
"","","2200","","","多","","加","耳","",""
"","游","2237","","莉","","艾","思","","",""
"","","2244","","","","","","a","",""
"","","2278","","","","","","誕","聖",""
"","","2279","美","鏡","","","華","","契","美"
"","","2280","栞","","","","","","","智"
"","","2281","伊","空","","","花","","","緒"
"","","2282","嘉","祈","","","梨","","希","夜"
"","","2284","音","桃","","胡","綾","","",""
"A","","2294","","","","","","","E",""
"B","","2297","","","","","","A","",""
"Y","S","2301","","","A","","","W","",""
"S","T","2302","","","O","","","M","",""
"","","2305","","","","","","A","",""
"I","L","2309","","","","","","P","A",""
"","","3003","","","","","","二","",""
"","","3005","","","","","","一三","",""
"","","3006","","參","","","","一二","",""
"","","3008","","","","","","","三十",""
"","","3012","","","","","衣","得","",""
"","","3093","","","","","","夜","冬",""
"","","3106","","","","","","","亞",""
"","","3180","","","i","","","h","",""
"婆","","3187","夫","妻","多","","","公","",""
"","","3195","","","","","","","b",""
"","","3274","","","","","","再","座",""
"","","3302","","","","","","","二三",""
"鋰鈉銣","鋰鈉鉀","4003","","","鋰鉀銣","","","鈉鉀","氧氰",""
"鍶鐳","鍶鋇","4004","","","鋇鐳","","","鍶鐳","鍶鋇",""
"","","4010","","","","愛衣","","","",""
"","","4013","","","","愛衣","","","",""
"氖氬氙","氦氖氬氪","4034","","","氦氖","","","氬氪氙","氧氬氪",""
"","","4035","","","","加","","","裴",""
"","","4040","","","","","","","熱寒",""
"","","4041","","","","","","","熱溫",""
"E","","4042","","","N","","","","",""
"","","4062","","","","","","O","",""
"乙","","4069","","","","","","銷","乙四",""
"","","4072","","","","","","版","網",""
"大","西","4110","","","","","","西","大",""
"","","4143","","","二","","","","",""
"","","4144","","","一三","","","","",""
"","","4145","","","一二","","","","",""
"","","4153","","","","","","氧","氫",""
"","","4154","","","","","","","","帶"
"","","4157","","","異","","","","",""
"","","4158","","昇","","","","","",""
"","二三","4159","","","","","","","",""
"","一三","4161","","","","","","","",""
"","","4167","","","同","","","","",""
"倍","","4194","","","","","","小","",""
"約","","4195","","","","","","大","",""
"","","4196","","","","高","底","","",""
"","","4197","","","","","","","半",""
"a","","5010","","","","","","o","",""
"","","5013","","","","","","比","伊",""
"鹽","","5027","司","","","愛","","","印",""
"e","","5031","","","","","","e","",""
"e","","5056","","","","","","a","",""
"e","","5070","","","s","","","","",""
"","餅","5076","","","","","","餅","",""
"","","5079","","","","","","","上前",""
"","","5082","","","","","","","肩",""
"","","5098","","","","","","","微",""
"BC","AC","5102","","","AB","","","","大喊",""
"","","5103","","","","","","布","",""
"","","5162","","","","","醜","","西",""
"","","5164","","","","","","定","固",""
"","","5183","","","","","","左","",""
"","","5185","","","","","","右","",""
"戌酉子","卯戌子","5193","","牛","戌卯辰","","虎","戌酉卯","卯辰戌",""
"藍","雀","6008","","底","","","","","",""
"","","6010","","e","u","","e","u","",""
"線","","6012","","","","","","","",""
"","","6013","","","","","","面","",""
"k","","6015","","","m","","","o","G",""
"","","6022","","","m","","","o","",""
"","","6049","","","","","","","單二",""
"","火","6073","","","","","","","",""
"","","6075","","","巨","","","","",""
"a","","6076","","","","","","","",""
"e","","6082","","","","","","","",""
"","","6084","","","a","","","","C",""
"n","w","6097","","","u","","","","",""
"","","6098","","","出","湖","","","",""
"","莉","6135","依","","","茜","與或","莉","",""
"","喵","6136","","","","","","","",""
"霖","","6139","","","呼","","","嚕","鈴",""
"","","6179","","","","","得","","",""
