f612ffd8bb891915c646acde93718609fa4329a283e5e48018435e30a62e73de,686c74160a2ce81b9ef747d655d2ed14c660e53367d8a02d8021bc5ea65e878d,a80518be564eae9b6cbee24eb47b4d5e3dcc41337c47056d9b5f5b7112338eb7,fa5128e04d18ef7f438e91d41587166726dbf323b7b0a8430aaf534cc0ac29b9,43573ea043fca37aa0d4151ad63740918ee5b232698bfb14bdf424525bd3d74e,aa87ef3747f3c6c376c81110d18a2493bca57554e1b3e34cb9a7495c01cb72fc,e642f83204e9184a1edcacc9141cb1754bcb1badaf30616f83c7b5b36bbdc116
"20004","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","107601","10","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72004021"
"20005","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108001","12","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72005021"
"20007","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108201","15","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72007021"
"20009","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108501","17","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72009021"
"20010","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","108901","19","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72010021"
"20011","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109001","21","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72011021"
"20013","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","109301","22","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72013021"
"20015","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","110101","23","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72015021"
"20016","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","110501","24","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72016021"
"20018","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","111201","25","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72018021"
"20020","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","111601","26","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72020021"
"20021","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","112101","27","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72021021"
"20022","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","112301","28","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72022021"
"20025","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","113001","29","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72025021"
"20026","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","113201","30","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72026021"
"20027","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","113501","31","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72027021"
"20029","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","114101","32","討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","72029021"
