8faf1b5de1a8e2f5cf476bfd73caca0cb763f32d9664eb4761f1c49ec106ed18,14cc9c8da387ff568203ac3f141cd165ea68eb305055c006f305bbf91802df8a,ef6e862aba5f550947d98324d96f21e577506ef243b41ad327b8ab6d91ed43cb,607de7e3b48d6cfc6cabe57a0d1a330bcb09f0e935dc6d7b0f61a84af584f64d,3d3da56fe501a70c31939464a493c684651e3c3168183cc63e1e3581cbe64cb4,112f1dcb0aa8858b495dadc745dea993ac0fe99b4db13fa7727c3fbb46e6d850,84dce9beaf5b7a397ed2e5e587def0d918f273df620a4d149f4834193b2d1669,a3c26955614e687686941012ccc7a4d84e9fbde27a17e6848d98e1aff02b26d8,d43a426ad8fa2a4bb69e911ecec9e54bedae8c49c6a3d14ac65b3bd6f65ed6b8,f63212154c2960b8142e03f3e1ef51feaa45b675fd63567602efd6e50e0b154f,5aec5a4a105f041c2e0380a5f92788cce4e52216a44bf5c2b85c4d1d3b5abde8,184c450737bb572eaa34ea40f48714892b9120cf7fff75c947bb7f31964f6083,af61a1c70b3558f897c384c5e3619986f9ecfe341b1ada6627379c0fd7818a06,cb0c1ae806535eb00a670e009a4ce85783d9a234d47b3b272cae8df84f344b26,efcba34ea4a4ee76a813c0dcca61f5e44e660150a4f9534adb543e40c77fc968,d4c2f7c386403c84ed4507740ab4e33f386a1ccd06886160ffc076a8355ac95b,b8bab72724f95026dfc9b1e6333542a507c0f2bda269e6ca4c4bf83b6b118bff,dcd5970e9ca01d72594e8fb584424e133484b836aaaac75680c1e8e88b8f4dc7,72b65ae4d740192e152524f2b5e49bb6bfa4392af9e4a432e67ece780cad43c7,41c28e420a557e7b2f3c45e7fefae969efd2f4b340c242ef64c9f4f83accb3a3,3ddfeb1a242df0037f6eeb525f0e4e4975db7d7b8df00711027ef467c60b65b6,374b7a4e4fd930fd0cac7bc63065a53d570a24ce1b3a9231769d5cca88ee575e,42d64450b76bf6bd5616e1055647f5f77c277bac2527a87005077cd73ab660ca,7b1737f8d4962733cf607de291faccddd3d7a446927a87f9fe9652f7c06a333f,be95d3a7b2633d8a17bc7972df87c531c2c45560194b49db547283540f678f63,eaa65831f088da572f25369e699cf4f9b5e9cfd74a2f6ba5e1bf1053f5297431,afd9e215481a04e4b72e5a691acdc48921e07249ad382130551eaf95a74396ea,1ff524fe32d61aafc252e61d16320f87ee4b2b01ce4a4f4b1780ed4ae56b0988,92312d5cc0a8a3bbbba17b613f4585433a22397eca23d592b87ecdb6df739bcb,1d8718741495607379ae98d6e528ed1a75cf0b06be927753d952981702d25ae0,bcc6f90dfeedb5df3dfd827d7bc5555553fb1ffb328f9709c70d80da7b4e9543,c460890f91e7fe91111697c690ae7049785baf89fadc19adee5d6137f774ddcc,0773e09b0f140e3c1ccc75a3a56e8e6b17ad8dc13dcfad7c8ef7cac52d57dd6c,c37299840803daea43d714b5d69194a2eb06cf14b6f021bba8268021542f653a,8706fe3978cfe774430d4726e338c5a58fc3af29f756f386423dc4de5042ddae,a26549cb17fb2acafb42166798ebffe8c115faed81aece2297998ac5aee7705f,6fad37545b52b65c8daabee2938ec9ba0bf406596311ecc03ef6534dfa75472e,f7e04f3351abf32608ec5ef807975cf36fc3d088b77a8989b65b2513b56abfe7,99a276a08cb62052276224e618c7f7b0cc04d68aba2809d4cd2504a00b948dff
"1","1001102","10010103","10010104","1","1","1","10010102","401010021","0","1.1","1.2","401010041","0.03","1001","1001202","10010101","1","1","1","401010011","100000","401010051","1001103","1001105","1","1","1001203","1001204","0","1001205","1001201","1001301","401010031","10010105","1.1","1001104","710011","1001101"
"1","1001107","10010103","10010104","2","2","-1","10010102","401010021","0","1.5","2","401010041","0.06","1001","1001207","10010101","1.2","1","1","401010011","100000","401010051","1001108","1001110","1.2","2","1001208","1001209","0","1001210","1001206","1001303","401010031","10010105","1.7","1001109","710011","1001106"
"1","1002102","10020103","10020104","1","3","1","10020102","401020021","0","1.1","1.2","401020041","0.03","1002","1002202","10020101","1","1","1","401020011","100000","401020051","1002103","1002105","1","1","1002203","1002204","0","1002205","1002201","1001301","401020031","10020105","1.1","1002104","710021","1002101"
"1","1002107","10020103","10020104","2","4","-1","10020102","401020071","0","1.5","2","401020091","0.06","1002","1002207","10020101","1.2","1","1","401020061","100000","401020101","1002108","1002110","1.2","2","1002208","1002209","0","1002210","1002206","1001303","401020081","10020105","1.7","1002109","710021","1002106"
"1","1003102","10030103","10030104","1","5","1","10030102","401030021","0","1.1","1.2","401030041","0.03","1003","1003202","10030101","1","1","1","401030011","100000","401030051","1003103","1003105","1","1","1003203","1003204","0","1003205","1003201","1001301","401030031","10030105","1.1","1003104","710031","1003101"
"1","1003107","10030103","10030104","2","6","-1","10030102","401030071","0","1.5","2","401030091","0.06","1003","1003207","10030101","1.2","1","1","401030061","100000","401030101","1003108","1003110","1.2","2","1003208","1003209","0","1003210","1003206","1001303","401030081","10030105","1.7","1003109","710031","1003106"
"1","1004102","10040103","10040104","1","7","1","10040102","401040021","0","1.1","1.2","401040041","0.03","1004","1004202","10040101","1","1","1","401040011","100000","401040051","1004103","1004105","1","1","1004203","1004204","0","1004205","1004201","1001301","401040031","10040105","1.1","1004104","710041","1004101"
"1","1004107","10040103","10040104","2","8","-1","10040102","401040071","0","1.5","2","401040091","0.06","1004","1004207","10040101","1.2","1","1","401040061","100000","401040101","1004108","1004110","1.2","2","1004208","1004209","0","1004210","1004206","1001303","401040081","10040105","1.7","1004109","710041","1004106"
"1","1004102","10050103","10050104","1","9","1","10050102","401040121","0","1.1","1.2","401040141","0.03","1005","1004202","10050101","1","1","1","401040111","100000","401040151","1004103","1004105","1","1","1004203","1004204","0","1004205","1004201","1001301","401040131","10050105","1.1","1004104","710051","1004101"
"1","1004107","10050103","10050104","2","10","-1","10050102","401040171","0","1.5","2","401040191","0.06","1005","1004207","10050101","1.2","1","1","401040161","100000","401040201","1004108","1004110","1.2","2","1004208","1004209","0","1004210","1004206","1001303","401040181","10050105","1.7","1004109","710051","1004106"
"1","1004102","10060103","10060104","1","11","1","10060102","401040221","0","1.3","1.5","401040241","0.03","1006","1004202","10060101","1","1","1","401040211","100000","401040251","1004103","1004105","1","1","1004203","1004204","0","1004205","1004201","1001301","401040231","10060105","1.3","1004104","710061","1004101"
"1","1004107","10060103","10060104","2","12","-1","10060102","401040271","0","1.8","2","401040291","0.06","1006","1004207","10060101","1.3","1","1","401040261","100000","401040301","1004108","1004110","1.3","2","1004208","1004209","0","1004210","1004206","1001303","401040281","10060105","1.8","1004109","710061","1004106"
