4b30ff57cd35b8d8feff091b7d7b3438868d653321e6c74a628afc44a2b22be9,e36637789ed219ed0071076a29943f62b430e5f9dd4009ccdef56bf056715ff0,820dfbfcc3042dcb477f4904adf7fbf643af056e8595626f54bde1bba02d68f4,a55d2104b16cdd5c69a0d3e9fc9c5ec2ac6bd6952aed9d030ecb668174813ade,f806026a07a3de64c8c7fa3092d7a43279e2b5ca9a51b28767c3c500b8ed8eac,1f00ecc66994a52c380600ee72c523428bcf68c4ed2b042250f47c7d3d5cb1fa,39320f10221f4585add9d8c0486724011caaf03e6187cabe84c92c9c2e4b91b8,1ebf675358b078101b84b064d250f499cdac90f24adb48e4a0a1792543be1331,82f5a0e647b50e429c1add7367b9d80621ecb381dac7c16040728e0269970fe2,5e9d0d13e72c4187e2cebd515a12b8e6f84fb0fb356f8bded6c27c8c1a952542,e172b1929a6a9b7dafa08ef0fea029fa8e86accd4e4543b890dc858bc9bf1ac9,600d1e70bffae6bbbbb384b874b815e2c50480a2585a54c6285255dd54b086dc,11cc47e35205c1f8287bc9d0e324f545d4a45e6e3025f8cf5526c499ecc9dcd0,f84ecf0f8743019cb495caa3c143629f3f5787c24cc4018a3edba1e1c1e3a5c0
"0","1","1","1","2","62","190801","1000001","-416.5","2025/06/01 16:00:00","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","3.414","2030/01/01 14:59:59","花凜"
"0","1","2","1","2","62","190801","1000002","-416.5","2025/06/01 16:00:00","將任務完成，\n並獲得獎勵吧！","3.099","2030/01/01 14:59:59","花凜"
"0","1","3","1","2","63","190801","1000003","-416.5","2025/06/01 16:00:00","似乎有能夠\n領取的獎勵了，\n請確認看看","2.801","2030/01/01 14:59:59","花凜"
"0","1","4","2","2","63","190801","1000004","-416.5","2025/06/01 16:00:00","能夠領取獎勵了！\n請檢查看看","0","2030/01/01 14:59:59","花凜"
"0","1","5","2","1","64","190801","1000005","-363","2025/06/01 16:00:00","這裡是公會管理協會！\n如果您持有活動獎勵券，就能夠交換各種道具哦","2.12","2030/01/01 14:59:59","花凜"
"0","1","6","1","2","64","190801","1000006","-363","2025/06/01 16:00:00","辛苦了！\n在這裡，能夠以活動獎勵券來換取道具哦","1.68","2030/01/01 14:59:59","花凜"
"0","1","7","2","1","64","190801","1000007","-363","2025/06/01 16:00:00","一直以來都很謝謝你！\n要交換獎勵嗎？\n那就以活動獎勵券來進行交換吧","2.33","2030/01/01 14:59:59","花凜"
"-6","10201","101","3","7","61","133701","1020101","-285","2025/06/01 16:00:00","這次的敵人對我來說\n也是無法置之不理的存在\n少年，我也會全力以赴\n一起保護這個世界吧","5.18","2030/01/01 14:59:59","拉比林斯達"
"-2","10201","201","1","2","61","133901","1020102","-285","2025/06/01 16:00:00","感覺到能消除無聊的\n戰鬥的氣息了啊，小子\n趕快帶我過去吧\n我會順手幫忙保護這個世界","8.77","2030/01/01 14:59:59","克莉絲提娜"
"0","10201","301","6","1","61","133801","1020103","-285","2025/06/01 16:00:00","哦，需要我的力量……是嗎？\n格列戈爾會去幫忙的喔\n看你一臉想問我是不是不上場\n……我會考慮的","15.5","2030/01/01 14:59:59","似似花"
"0","10202","101","2","5","61","134301","1020201","-285","2025/07/01 16:00:00","只屬於我的演唱……\n你願意一起尋找嗎……？\n有你在身邊……\n我就能更加努力……","9.061","2030/01/01 14:59:59","蘭法"
"0","10202","201","1","2","61","134401","1020202","-285","2025/07/01 16:00:00","作為唱喚士，作為夥伴\n我都會盡我的全力\n……這些，都是\n多虧了你在背後推了我一把哦","7.699","2030/01/01 14:59:59","千歌"
"0","10203","101","1","2","61","134601","1020301","-285","2025/08/01 16:00:00","世界和平由我跟克蘿茜肩負了對吧？\n雖然對我這種邊緣人來說有點沉重，\n但、但如果是兩個人的話，\n我會扛下來給你看的！","8.595","2030/01/01 14:59:59","碧"
"0","10203","201","1","2","61","134501","1020302","-285","2025/08/01 16:00:00","靠著這對新獲得的翅膀……\n無論騎士先生在哪裡，\n我都會馬上飛馳而去！\n克蘿茜‧航空軀體，出動！","7.758","2030/01/01 14:59:59","克蘿茜"
"0","10204","101","2","6","61","132302","1020401","-285","2025/09/01 16:00:00","今天是和達令的第一次約會♪\n我們要一起逛街購物、然後……\n咦、我現在是通緝犯！？\n達、達令快救救我～！！","7","2030/01/01 14:59:59","露易絲瑪莉"
"0","10204","201","1","2","61","132402","1020402","-285","2025/09/01 16:00:00","露易的奶奶人好溫柔、\n總是笑咪咪的，彩羽好喜歡她♪\n不過彩羽最喜歡的地方，\n還是那對超大超帥氣的角～♪","7.904","2030/01/01 14:59:59","彩羽"
"0","10204","301","4","2","61","132502","1020403","-285","2025/09/01 16:00:00","多虧望好不容易讓營收穩定下來，\n結果卻要暫停營業，損失好大。\n……不過，為了露易，\n就讓我來拚一把吧。彩羽我們走～","8.487","2030/01/01 14:59:59","苑"
