0b9a01345e83da58c93c5ca0300ee496ff1d04b31bae3690b163799d5c2672b7,22816c4bf40aebee00bc7c72ce482fe6e3af081158c62599dc94e4fad449ae5e,522146757c7b31a6b70d2826bd836a61f6096158db357498aa179cfbcded9d6b,b19b16b0e059bed2ba2049dd9fa661453e4012deadaa55616ee5c2e8eb2eae3a,8df74ad93cd9ceba8c044e58c236cb768aa6e207dfefaf90966ee6d3b586d8c4,a54bab93233186b7e548ee1fdd552a1672d2b13c92ee3ae9e2993417fdbb69fd,64b5b921d6bf7e4157e5c8135ae883eec5f3a3cd3107802c0b28493a42f359a6,ef1d0ae0e44c7fcb0c0854c1ef9f91d2e99fa2ab687c13e5f6be6d3e7c3f6df5,43ef7f0023528d74df20c780fc38ef85706a38203f74200832c2e7a63bf2d19f,c185d8ec17b6add6f5352753e47f499484ab52b6b48693b497309bd2cf034f7f,f65921b7a112f75cc28b19c243a88501c7d9b738b4150d04afe5ad795290347f,c176052983849a4d1836580b89355a4a7cae5d4d728bd07e77312b8347f0ed7f,f5ec68e5f32d4d80a696b547098c39723d2177c318966a2a1f9c0f4684181dab,9dc812e73984a79ed6f011a73267363e9831b7f8645d71cd9172ac4a5dc1c3de,186583cf62fd71480af98c3f5d875ce88ce8f4f17a7b647d183e24e945b78a44,5f7682e55f1d84a6444aaa4679eccfbfed5c59c6ecef181d14b36f12fad2b655,380813d6d3ffe459f20c409f9e3a223c3a13cfffed7648f9e5b60199cbb69750,37a5fd25bae4f9db511d6ad81085898c3451bb1c89868dec476542e9d235681e,8894d334f6b61e4ce2ee9d3ca8052dfae63c8b4073face8036934d8dd27b6c29,50038840efa81c88580126ee0bd0d49ef521417def642892cedf6d5e5602c9c5,e36c94302f038ca2d33c5f560501efe16f695c6efe55e22d6557acf6f7ff8a4d
"0","101011","0","0","1","0","0","0","0","0","0","0","劍","鐵劍","0","0","0","0","0","0","0"
"0","101071","0","0","1","0","0","0","0","0","0","0","短劍","殺手筆劍","0","0","0","0","0","0","0"
"0","101101","0","0","1","0","0","0","0","0","0","0","指虎","木製拳套","0","0","0","0","0","0","0"
"0","101131","0","0","1","0","0","0","0","0","0","0","弓","獵人弓","0","0","0","0","0","0","0"
"0","101161","0","0","1","0","0","0","0","0","0","0","戟","鋼之戟","0","0","0","0","0","0","0"
"0","101191","0","0","1","0","0","0","0","0","0","0","斧","單手斧","0","0","0","0","0","0","0"
"0","101251","0","0","1","0","0","0","0","0","0","0","回復法杖","檀香之杖","0","0","0","0","0","0","0"
"0","101281","0","0","1","0","0","0","0","0","0","0","輕裝鎧甲","皮革工作服","0","0","0","0","0","0","0"
"0","101371","0","0","1","0","0","0","0","0","0","0","魔法服","旅行長袍","0","0","0","0","0","0","0"
"0","101401","0","0","1","0","0","0","0","0","0","0","盾","木製盾","0","0","0","0","0","0","0"
"0","101431","0","0","1","0","0","0","0","0","0","0","鞋","皮靴","0","0","0","0","0","0","0"
"0","101521","0","0","1","0","0","0","0","0","0","0","魔法帽","時尚貝雷帽","0","0","0","0","0","0","0"
"0","101551","0","0","1","0","0","0","0","0","0","0","攻擊配件","幹勁手鍊","0","0","0","0","0","0","0"
"0","101581","0","0","1","0","0","0","0","0","0","0","防禦配件","守護墜飾","0","0","0","0","0","0","0"
"0","101611","0","0","1","0","0","0","0","0","0","0","魔法配件","氣魄手環","0","0","0","0","0","0","0"
"0","102011","0","0","2","30","0","0","0","0","0","13","劍","齒輪劍","0","0","0","0","0","0","0"
"0","102013","0","0","2","60","0","0","0","0","0","27","劍","湛藍之血","0","0","0","0","0","0","0"
"0","102014","0","0","2","0","0","0","0","0","1","27","劍","極光之劍","1","0","0","0","0","0","0"
"0","102041","0","0","2","35","0","0","0","0","0","30","刀","彎月刀","0","0","0","0","0","0","0"
"0","102071","0","0","2","0","0","0","5","0","0","13","短劍","野戰小刀","0","0","0","0","0","0","0"
"0","102101","0","0","2","0","0","0","10","0","0","27","拳套","皮製指虎","0","0","0","0","0","0","0"
"0","102131","0","0","2","0","0","0","0","0","0","27","弓","水晶之弓","1","0","0","0","0","0","0"
"0","102162","0","0","2","0","0","0","0","0","1","12","戟","三叉戟","0","0","0","0","0","0","0"
"0","102163","0","0","2","0","0","0","0","0","3","20","戟","火焰之矛","0","0","0","0","0","0","0"
"0","102191","0","0","2","0","0","0","0","0","0","16","斧","金屬戰斧","0","0","0","0","0","0","0"
"0","102192","0","0","2","0","0","0","0","0","0","34","斧","精鋼斧","0","0","0","0","0","0","0"
"0","102221","0","0","2","0","0","0","0","0","0","0","攻擊法杖","綠意之杖","0","0","0","0","0","0","16"
