87dc9560b8cd0f5baaa25cf286f716ded48acef92bee1d3a3256db659f30f2fd,6a80271d92be6fede0f3213fe9f1edfc4634a761059830ee7424906b788625c8,6bb5b492435edc1ca4c0eb12a2839669748cfef77d4a378f2f37e493fe2d8af3,00c9a846884b7b974b846ad0772def2cfcbe6fc94b115fc2e88599fc40555c4c,e953b3304d3efee72337ef5665019be565997cd9fe14210aaf3a04d25ecc8e6b,a9b269ab89643c735f734f99e83cca2e486d8bf524c1194a48fe2e72b754d02c,0f9ea856ed9a24a699aeefe993f09f411e6f3be18905bd6f2a1f4b73afb69fca,78e2180578ffc3921c5b126efc2ce7485195989e02c74015c271318326c70178,ece5be82d9f53b761456145e5da25a29318bf035314a184f993fdafa6531a86b,42ba6fe63811bfef5d2781a56908121eb7563f8ca0d0f789506c32f9df50ae58
"0","0","10062","卯月和凜的回憶","0","1","7001","10062103","0","0"
"0","0","10062","new generations的回憶","0","2","7002","10062107","0","0"
"0","0","10062","卯月與未央的回憶","0","4","7003","10062107","0","0"
"0","0","10062","美食殿堂的回憶","0","6","7004","10062111","0","0"
"0","0","10062","凜與未央的回憶","0","7","7005","10062111","0","0"
"0","0","10062","new generations的回憶","0","8","7006","10062111","0","0"
"0","0","10062","new generations與美食殿堂的回憶","0","9","7007","10062115","0","0"
"0","0","10062","美食殿堂的回憶","0","10","7008","10062115","0","0"
"0","0","10063","new generations與美食殿堂的回憶","0","14","7009","10063111","0","0"
"0","0","10062","new generations的回憶","0","3","7102","10062107","0","0"
"0","0","10062","美食殿堂的回憶","0","5","7103","10062107","0","0"
"0","0","10062","new generations與美食殿堂的回憶","0","11","7104","10062115","0","0"
"0","0","10063","new generations與美食殿堂的回憶","0","12","7105","10063111","0","0"
"0","0","10063","new generations與美食殿堂的回憶","0","13","7106","10063111","0","0"
"1","2405","10062","","7","15","7201","10062103","0","1"
