98386ae5512f26c8fa5b99e14dc559658494e8ffefe5b1dcc0a291bb84230f8f,45d712b5a53387aaffc9bc4f57bcc95f84bca4db95ada56a0994c77f8ca2d605,63be4a8f695308047f3c54ce50375b3328bbf48321736c44fc97c1e6aab58970,e004f45c873b533bb2771ffb062a97cd451d3a53017686f97d081f49a28f63b6,72276a22d34062be74f141b8cee1fa8d5933445e6aa0bb106af0be627950650f,a3f194fe4f665ced98c33884d6b16c525f847c38ecdec71eb597b261cbe2fb3b,ad97a02aae8ea8abebe375bd3dca7a17dcac285f769dc7b5414e3f5e0edd4a4d,6974a619908874ec537cea1327297b2c3185dbe6d671d3345dc8d1710a944eea,8ef17a987444db2d8e454e6e790afd93c6d98a450a0cddc8afa75551bf61a72f,9a28041e137a83e900323887ebe772522adc3e32deac6acf3c22106d1cae0150,77f9a6e931aad87cf7ddcb078ca0275e10d243a7aba262a7e16b75cc3b41403f,1966657e87d45a91ef9737d2c1b91ae3341b29edeeb43f489d58c4d36464a9dd,e75191dcd7105b7a84c41045f77ac21061cbf75f4b946ce5f714a4bffdb2dba4,903f6336dd4c9f1f93b6e219eb3fca2e5aba32c1c1661575194735fdbc355dbd
"1","就算是我\n該做的時候還是會做的！","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24001","0","0","鈴","1","0"
"1","呼…\n這樣子我的工作\n就結束了呢","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24002","1","0","鈴","1","0"
"1","結束了結束了\n即使一個人\n也會有辦法的","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24003","2","0","鈴","1","0"
"2","太棒了！\n這麼一來\n我終於可以偷懶了…","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24004","3","0","鈴","2","0"
"1","想要吃起司的話\n就好好工作\n自己買來吃啦","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24005","4","0","鈴","1","0"
"2","你們終於知道\n與我為敵的\n恐怖了吧！","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24006","5","0","鈴","2","0"
"2","我意外地\n還蠻行的嘛？","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24007","6","0","鈴","2","0"
"4","好累喔…\n老鼠逃跑的速度\n實在太快了啦…","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24008","7","0","鈴","4","0"
"4","再這樣下去\n會被\n真陽罵的","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24009","8","0","鈴","4","0"
"4","我明明\n就很認真做啊…\n真不甘心～","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24010","9","0","鈴","4","0"
"4","被擺了一道…\n老鼠還真是意外的\n難纏啊","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24011","10","0","鈴","4","0"
"4","你這傢伙～\n竟然敢偷\n我的起司～！","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24012","11","0","鈴","4","0"
"4","好累喔…\n不過，下次\n我一定會守住的…","2020/08/01 16:00:00","24","10040","0","102601","2030/12/17 14:59:59","24013","12","0","鈴","1","1.81"
