b11d5aef847b040465704a71d929a8d6572402ac8027dc205c9702f1f0c7952d,9b256fd4e474028771c5a9abb2f88fbe6b3ba644ba967aec983ff0cddf3cf13b,efb68bf48012fe26c8b5e019b1e558a32dcf080ae296d9fa2da2669fd45de522,f965882dc4b1fac766d38dad6fb3d7f6a3810b90344ce8bd7c3196ab3a082a88,29f227ea143515005b75307d1079e683a19987ba6310812251e0cd77087e24c0,18a901e347f3e38a7b8ebea0026751cff7d65f4f7ec3ae1b5a01ca855785c2b6,6be4f52fa0483c1b2fa293d9e2277889634f278040461910f003107c76a8d7f3,c5eaa74ab878acae34e924901e56c1a3dbd2c2a6e34ff3f9994db38acbc9c713,3b58548a6c7fa66e4ae3cc72696b9213288206e312f1948e9dd84a6395adc22e,c68fac7769d688ba17ee3d7eda5abe7f1aec51958b35f1677f6342b002e29c2a,951fa0d34787aa284dc79092c4d2126b7e0db8ecd1143d7d8621d6bd3dec214c,5ec140ec690c13d03d13fd1a379daf7f0202ade70634b6b2e5d5a1cd8296cc46,346abcd8c654f46463fe8339d62cf91461fdb36d12f5885003c9d53da30f73a8
"0","0","10001","60002","0","31012","31038","0","0","0","0","0","60001"
"0","0","10002","60012","0","31020","31004","0","0","0","0","0","60011"
"0","0","10003","60022","0","31010","31017","0","0","0","0","0","60021"
"0","0","10004","60032","0","31076","31028","0","0","0","0","0","60031"
"0","0","10005","60042","0","31080","31032","0","0","0","0","0","60041"
"0","0","10006","60052","0","31047","31034","0","0","0","0","0","60051"
"0","0","10007","60062","0","31082","31022","0","0","0","0","0","60061"
"0","0","10008","60072","0","31009","31051","0","0","0","0","0","60071"
"0","0","10009","60082","0","31085","31029","0","0","0","0","0","60081"
"0","0","10010","60092","0","31089","31002","0","0","0","0","0","60091"
"0","0","10011","60102","0","31090","31011","0","0","0","0","0","60101"
"0","0","10012","60112","0","31043","31008","0","0","0","0","0","60111"
"0","0","10013","60122","0","31093","31018","0","0","0","0","0","60121"
"0","0","10014","60132","0","31012","31038","0","0","0","0","0","60131"
"0","0","10015","60142","0","31053","31045","0","0","0","0","0","60141"
"0","0","10016","60152","0","31020","31004","0","0","0","0","0","60151"
"0","0","10017","60162","0","31098","31025","0","0","0","0","0","60161"
"0","0","10018","60172","0","31010","31017","0","0","0","0","0","60171"
"0","0","10019","60182","0","31101","31050","0","0","0","0","0","60181"
"0","0","10020","60192","0","31076","31028","0","0","0","0","0","60191"
"0","0","10021","60202","0","31105","31014","0","0","0","0","0","60201"
"0","0","10022","60212","0","31080","31032","0","0","0","0","0","60211"
"0","0","10023","60222","0","31056","31040","0","0","0","0","0","60221"
"0","0","10024","60232","0","31047","31034","0","0","0","0","0","60231"
