47affdb780e89a7016e26579f168983417e508f99be12cc23ac8bfcd374a940f,0acf33c0f74db2536040e2130f82ef2c334c780c989eb286dbac098ce10d03be,dd42649ec080e5ef331fe7f4276f0d1175b8fbf53d4708352dfab3ffabd924c3,3bd33baf075daf40e62de583534e34293c6e535073a22bb875090be748ae804e,e552d537de9dd774d9aff44e2a13cb22c103036164bca8ba90c43334da439fa4,2016a4b2934d5a3a8c417f9b9e0b69f053735799c3c4a282fe82411c9e46c21a,2b578fc68f748266f5f075daf23f3085bf251b5456cecd07de198665b84f7bd3
"3","1","105","105","2","1","105"
"3","1","120","105","2","2","120"
"3","1","100","100","2","3","120"
"3","1","120","105","2","4","120"
"3","1","105","105","2","5","120"
"3","1","100","100","2","6","105"
"3","1","100","120","2","7","105"
"3","1","100","100","2","8","105"
"3","1","120","105","2","9","120"
"3","1","100","120","2","10","105"
"3","1","105","100","2","11","100"
"3","1","120","105","2","12","120"
"3","1","105","105","2","13","105"
"3","1","120","105","2","14","105"
"3","1","120","120","2","15","120"
"3","1","100","100","2","16","100"
"3","1","105","120","2","17","120"
"3","1","120","120","2","18","105"
"3","1","105","105","2","19","100"
"3","1","105","100","2","20","105"
"3","1","105","100","2","21","100"
"3","1","120","120","2","22","120"
"3","1","100","105","2","23","100"
"3","1","120","120","2","24","120"
"3","1","105","105","2","25","120"
"3","1","100","100","2","26","100"
"3","1","100","100","2","27","100"
"3","1","100","100","2","28","100"
"3","1","120","120","2","29","120"
"3","1","120","105","2","30","105"
