e1b8f3aa63f2961a220d79251acf85f1ca2e8bafad15fc87661e399bf9610362,ada7fd754d11e733f21b98bf1eecd0bfb6b087cac35fe546966b37d359059115,f41f0388eb559476c40bc371fe3fa8d212cc64734818f8fa68f60bc9fa7f45c2,a193bebe3bc92af17f6f131b4f4a5add93b3591ad69820bd64c82adcd107b28e,28f108b1a4e1e818958ed2788e8de1a1849d730b457eb01e074780c02f4c7e2a
"26999","小雞","0","1","1"
"26999","生手","0","2","1"
"26999","魚苗","0","3","1"
"26999","新手賽跑者","0","4","3"
"26999","小嬰兒","0","5","1"
"26999","寶寶","0","6","1"
"26999","小人物","0","7","1"
"26999","無用之人","0","8","1"
"26999","外行人","0","9","1"
"33999","小魚","27000","10","1"
"33999","新手","27000","11","1"
"33999","愉悅賽跑者","27000","12","3"
"33999","小輩","27000","13","1"
"33999","新人","27000","14","1"
"33999","女孩","27000","15","1"
"33999","期待之星","27000","16","1"
"33999","原石","27000","17","1"
"33999","新希望","27000","18","2"
"50399","探究者","34000","19","1"
"50399","暴徒","34000","20","1"
"50399","天才","34000","21","1"
"50399","奇才","34000","22","1"
"50399","大人物","34000","23","1"
"50399","麒麟兒","34000","24","1"
"50399","希望","34000","25","1"
"50399","新星","34000","26","1"
"50399","逸才","34000","27","1"
"59999","女僕","50400","28","1"
"59999","前輩","50400","29","1"
"59999","中級者","50400","30","1"
"59999","沙灘搶旗者","50400","31","3"
"59999","魚","50400","32","1"
"59999","領袖","50400","33","1"
"59999","主將","50400","34","1"
"59999","獨當一面","50400","35","1"
"59999","半職業","50400","36","1"
"59999","大型新人","50400","37","1"
"69999","流星","60000","38","1"
"69999","老師","60000","39","1"
"69999","海豚","60000","40","1"
"69999","職人","60000","41","1"
"69999","選手","60000","42","1"
"69999","金槍鮪","60000","43","1"
"69999","中等之中","60000","44","1"
"69999","知名人士","60000","45","2"
"69999","異才","60000","46","1"
"69999","精英","60000","47","1"
"69999","高手","60000","48","1"
"69999","行家","60000","49","1"
"83999","虎鯨","70000","50","1"
"83999","名人","70000","51","1"
"83999","魔術師","70000","52","1"
"83999","師傅","70000","53","1"
"83999","潛水艇","70000","54","1"
"83999","短跑選手","70000","55","2"
"83999","名手","70000","56","1"
"83999","王牌賽跑者","70000","57","2"
"83999","職業選手","70000","58","1"
"83999","看板選手","70000","59","1"
"83999","最高權威","70000","60","1"
"83999","教師","70000","61","1"
"99999","速度之星","84000","62","2"
"99999","豪傑","84000","63","1"
"99999","公主","84000","64","1"
"99999","女神","84000","65","1"
"99999","大師","84000","66","1"
"99999","頭號人物","84000","67","2"
"99999","寵兒","84000","68","1"
"99999","狂暴格里芬","84000","69","3"
"99999","飛龍","84000","70","1"
"99999","專家","84000","71","2"
"99999","頂尖賽跑者","84000","72","2"
"119999","飛毛腿","100000","73","1"
"119999","皇后","100000","74","1"
"119999","冠軍","100000","75","2"
"119999","天才賽跑者","100000","76","2"
"119999","紀錄保持人","100000","77","3"
"119999","極致","100000","78","1"
"119999","涅普堤利昂","100000","79","2"
"119999","希德雷克","100000","80","2"
"119999","女傑","100000","81","1"
"119999","革命家","100000","82","1"
"119999","巨星","100000","83","2"
"999999","幻想之星","120000","84","2"
"999999","超級巨星","120000","85","2"
"999999","世界冠軍","120000","86","3"
"999999","傳奇","120000","87","1"
"999999","超人","120000","88","1"
"999999","托爾披頓","120000","89","1"
"999999","加爾基諾司","120000","90","1"
"999999","水之里歐斯","120000","91","2"
"999999","至寶","120000","92","1"
"999999","宗師","120000","93","3"
"999999","英雄","120000","94","1"
"999999","統治天下","120000","95","1"
