d4f5da8984e8eac9d09d01d9a4210d9163648cff2c6410b0af2dee35ebb33c77,c897862c8f5bb983999e8fd41825633b9d70f251f9ea65c21ec1dbc15db12215,f70499eb7d08df0a177e061de754d7141870f8cdf456464d10cd5003a693ab3a,c34eb90b01e7b81add2d4f9931857c360724d46d36edde81fcb315a8e7a83174
"2019/08/15 04:59:00","1st Anniversary 特別登入獎勵","10000","2019/08/01 05:00:00"
"2020/02/07 04:59:59","1.5Year Anniversary 特別登入獎勵","10002","2020/01/21 05:00:00"
"2020/07/08 04:59:59","2nd Anniversary 特別登入獎勵","10003","2020/06/22 05:00:00"
"2021/02/26 04:59:59","2.5 Year Anniversary 特別登入獎勵","10004","2021/02/09 05:00:00"
"2021/08/15 04:59:59","3rd Anniversary 特別登入獎勵","10005","2021/08/01 05:00:00"
"2022/02/18 04:59:59","3.5 Year Anniversary 特別登入獎勵","10006","2022/02/01 05:00:00"
"2022/08/15 04:59:59","4th Anniversary 特別登入獎勵","10007","2022/08/01 05:00:00"
"2023/02/06 04:59:59","4.5 Year Anniversary 特別登入獎勵","10008","2023/01/20 05:00:00"
"2023/08/15 04:59:59","5th Anniversary 特別登入獎勵","10009","2023/08/01 05:00:00"
"2024/02/24 04:59:59","5.5 Year Anniversary 特別登入獎勵","10010","2024/02/07 05:00:00"
"2024/08/16 04:59:59","6th Anniversary 特別登入獎勵","10011","2024/08/01 05:00:00"
"2025/02/18 04:59:59","6.5 Year Anniversary 特別登入獎勵","10012","2025/02/01 05:00:00"
"2025/08/15 04:59:59","7th Year Anniversary 特別登入獎勵","10013","2025/08/01 05:00:00"
"2026/03/01 04:59:59","7.5 Year Anniversary 特別登入獎勵","10014","2026/02/12 05:00:00"
