e5d0660db0a5d4ab1221dda26fa659d3fd18f1bf195bf82c873250b98f7c1b2a,451a2dfd81a2cd23aa72147de3ac9286ff6bf716458b7e89b506ae0b0b3726fa,4fffaa13b39897cd8e9b1b77f1537fc4c8c189ee3b1917290e58e0abc6adbbf6,a495dfdfdad6229b7fa342772a27c2e64ec9ba8094f5f7157da2379f651e7ed5,24d1bc225dc86474fb08167d90df5bded91c863def6360544a8e4cc75e3c07db,77af0cf009a74da14681397ac146674a4fffc9dfd89627f08970ee7d2303f57b,e0cf8bfb58a5219cbdb47df9822af63a3037ece961eaf833d46b2e12407a839c,16763b2928fdee272fb8c2169a679dfa25ea6e2e5f4ca2105efa4790f3bccae3,8d1417fd6baf115c2c3ea7655c6fddff70f741f0bca67d2608aa6283045ac983,0a003d99875a2fe4bc78b96b10ae8c156ffb68a6d0b7c588060207548cc05f7f,f7f83f0b645aa11e1fd436e16cac8bd367b970366ca8f1fe85a4c8f3b69ac4dd,8111f31f0a999620141f144121702898a4ed4fd907081ddf7baf885f427b6358,a6fe85c8804d127f569fa0eec063f65b4b6061269a8334bac87412a1c768c2ea,57a437fed3ae9c73793831aa8daff9358e7cf55dcc0931411d8398e906df17da,0943e62fd74def401cec9f32cf95ef8e3cacc07ec9435344ad03936d49ebd970,da2699f5759069eb94b9b1be8d89a49c3285871a53c8b7e6ecc7cd5137cfa8d8,23455887490ffd7657f134a0ab2efb84e37d0fb471db813ea31c119d05b2b855,3a06cb6a1cc47af30d11ba95d2ba6339712e676ca7516968f905e4f47dbb932e,79b5febd451bfba2044a2efa2d8b0d3912c3ceba13c1e016b31ddeadd4a7991d,96b8b8becf51d83e27f7bbca504c81376db458873b27ba23f4e70d560c183110,881702556d44a38b91d359336d182b061dda56c4024ac414207a51380c281816,c506aa418774da56fc53cde0d56126e74a58d2c697c2fc4b87a6bf435548d4f3,fdc4893385fecf7417bc7054741b37e0712b26c88d0e1418430735168cf5968a,215bfc57440c5b6e94a219ef3c6fa7298ba257634e0d17805ddd230a46b1b356,6c2b576c7ccc32151649ff41ba0b8911b61e8f82b4bfd56f2e385086bd720b0a,1e1b95d6afbc30ff649f661c153bdca89a6deade45a061172adb2772cad7d5a9,7d0290c8248816e289323389dd3fc04b861b96c752c782033c6ab373c26bb6db,8775a1fc1b07d3eba78141b3fa3ebef840f1ea948e068e6592084e9b794da406,bc23f2d016cc101debde2c128c27fda38d5a16e13ff21a50ee8015d00e440358,bbd3c8f42880fa1de4289ed3a67cc95ee897e4d7889be87e1df604aaea619423,c6365c4200a9e54128a73ceb316c3b1247780c00f93838c4608bbeaef9f7efb8,ff83e09be2fe169ee7bd777149f1bb6b795d8f06f74062d94f72c19eb76cb59a,6a98731941e1cc9e22c8fc09159be68a33a281f80ac10c46d88f2570a3f4cefa,23990c756654439a2bbbb8c99b07bf96b8b1f2dff338efddd4a9fceeef545174,5b4d6685583fcfcad8731af8e32bdf30cfcefd5eb59962540767241129b22809,61e42afa4db4c04e3da2310a1648c078b0b62e042e1f2950b1059b41107cef23,9d885f1cdd6e4539013e07ea50e318bb06b5d9a62351fbb3f0680bc4cbbc36b9,49f9c8020396bc865e59a4e0391b8a869d75df4899d603ca2f1fdcb9bd25ecc1,63b87febd088d3134aed0ed4e5e09f4169bbdc38f16329f1f839827a5c01c030,c2ebf9206b253a8bf7deea712727ef8af23162d6e2a484e4389e6e4ecb51086e,156ee13173015ea7326a50088c1e9fc6d721b9e8956fa41d8a5b76558eabd749,a7130a9b19299c34825823f5bc10d300a75cf0c393f03533fbf852d0dc9b6b13,fe41b1b9d53390b0bb7cb2a13078dd0632400cedb1ce4c28a27cf69fd9a930e6,413be90f9700920bf02eded3ae7b2f2612193abadfe98fa8e1f784bb7f2db6a6
"2863593","0","0","891","200000001","3100","0","0","3100","924070101","3100","0","0","1","44","0","3100","3100","0","3775","0","0","0","0","0","0","250700","1109","0","310","0","3100","0","0","0","0","0","0","魔像","0","0","0","0","0"
"2663955","0","0","801","200000001","3100","0","0","3100","924070102","3100","0","0","1","44","0","3100","3100","0","4364","0","0","0","0","0","0","251200","1319","0","310","0","3100","0","0","0","0","0","0","哥布林護衛","0","0","0","0","0"
"4144500","1","0","946","200000001","310","0","0","310","924070103","310","0","0","32","44","535","310","310","0","10499","0","0","0","0","0","5","604701","876","6","310","0","310","0","69","26","0","0","0","純的闇影","0","40","0","0","0"
"3453750","1","0","946","200000001","310","0","0","310","924070104","310","0","0","32","48","1645","310","310","0","21556","0","0","0","0","0","0","600301","876","6","310","0","310","0","40","7","0","0","0","怜的闇影","0","46","0","0","0"
"2703750","0","0","645","200000001","3100","0","0","3100","924070105","3100","0","0","1","44","0","3100","3100","0","16227","0","0","0","0","0","0","256800","792","0","310","0","3100","0","0","0","0","0","0","洞窟猿猴","0","0","0","0","0"
"1000000000","0","0","0","300000009","0","0","0","0","924070106","0","0","150","1","100","0","0","100","0","0","0","5000","0","0","0","0","217300","0","1","500","0","100","0","0","0","0","0","0","爆裂敵人","0","0","0","0","0"
"5736000","0","0","2239","200000001","3100","0","0","3100","924070201","3100","0","0","1","44","0","3100","3100","0","10609","0","0","0","0","0","0","251000","995","0","310","0","3100","0","0","0","0","0","0","生者劍士像","0","0","0","0","0"
"4624000","0","0","1120","200000001","3100","0","0","3100","924070202","3100","0","0","1","44","0","3100","3100","0","29183","0","0","0","0","0","0","250200","1244","0","310","0","3100","0","0","0","0","0","0","石蜥","0","0","0","0","0"
"7368000","1","0","338","200000001","310","0","0","310","924070203","310","0","0","32","44","1847","310","310","0","53569","0","0","0","0","0","0","625801","378","5","310","0","310","0","30","4","0","0","0","莉莉（墮落）的闇影","0","34","0","0","0"
"6999600","1","0","627","200000001","310","0","0","310","924070204","310","0","0","32","44","1755","310","310","0","48013","0","0","0","0","0","1","614201","654","5","310","0","310","0","870","14","0","0","0","莫妮卡（魔法少女）的闇影","0","33","0","0","0"
"4320950","0","0","374","200000001","3100","0","0","3100","924070205","3100","0","0","1","44","0","3100","3100","0","14666","0","0","0","0","0","0","258700","249","0","310","0","3100","0","0","0","0","0","0","噬岩怪","0","0","0","0","0"
"1000000000","0","0","0","300000009","0","0","0","0","924070206","0","0","150","1","100","0","0","100","0","0","0","5000","0","0","0","0","217300","0","1","500","0","100","0","0","0","0","0","0","爆裂敵人","0","0","0","0","0"
"13001402","0","0","2333","200000001","3100","0","0","3100","924070301","3100","0","0","1","44","0","3100","3100","0","13040","0","0","0","0","0","0","252900","933","0","310","0","3100","0","0","0","0","0","0","高等獸人","0","0","0","0","0"
"12735143","0","0","1866","200000001","3100","0","0","3100","924070302","3100","0","0","1","44","0","3100","3100","0","14398","0","0","0","0","0","0","251800","1244","0","310","0","3100","0","0","0","0","0","0","樹精","0","0","0","0","0"
"9135162","1","0","460","200000001","310","0","0","310","924070303","310","0","0","32","64","2753","310","310","0","70605","0","0","0","0","0","0","610801","621","5","310","0","310","0","30","48","0","0","0","克蘿依的闇影","0","28","0","0","0"
"9375125","1","0","903","200000001","310","0","0","310","924070304","310","0","0","32","44","1308","310","310","0","67552","0","0","0","0","0","0","616901","1239","5","310","0","310","0","35","13","0","0","0","美冬（工作服）的闇影","0","39","0","0","0"
"8585793","1","0","727","200000001","310","0","0","310","924070305","310","0","0","32","65","2066","310","310","0","73432","0","0","0","0","0","0","612901","507","5","310","0","310","0","30","5","0","0","0","璃乃（奇幻）的闇影","0","44","0","0","0"
