84d9b25b3c402d9628dfaa4767e90a88142ab1cddceca3a65d211915f095aa0c,7e3fe4c924fc73a380cc44649b73707d946c743ab2a7d9845d8f9c7794f70e9b,c3524bda4af2c7a02fd516970d6d90ec0fe2be1c85fcb075c8c31a70f43d6a92,bfdbfb34a21d16b5f3854303add624c5522ccb0ad1e06cc30a1dd955e004b2a0,bdbd5d5d064a0e5310caf0f2d0a6164c66553a66bade40913b982708254fa121,7dc3311a0a5a0d5077b2cc6bb22f2db2a8091f4ce01375b3e1ee3aacdc27ca56,5ed0fa4f29b4dd613ac722ff347275f77fda5a545ba6e4693b08cf29ca68edc4
"討伐BOSS解放！\n還有{0}隻","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","10004","107601","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","1","71004025"
"討伐BOSS解放！\n還有{0}隻","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","10005","108001","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","2","71005025"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10007","108201","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","3","71007031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10009","108501","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","4","71009031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10010","108901","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","5","71010031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10011","109001","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","6","71011031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10013","109301","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","7","71013031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10017","109801","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","8","71017031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10019","110101","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","9","71019031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","20004","107601","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","10","72004021"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10021","110501","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","11","71021035"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","20005","108001","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","12","72005021"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10025","111201","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","13","71025031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10026","108201","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","15","71026031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10029","111601","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","16","71029031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10030","108501","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","17","71030031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10031","112101","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","18","71031031"
"討伐NORMAL BOSS解放！","[3C404E]討伐NORMAL BOSS解放！","10032","108901","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","19","71032031"
