1196e8825461de5e1bc934b6547ce74f50491e0d93d2c1600c975807e0561baf,a0ab44b8ddf442ab8a7002f7da34ae0ae390f517adbbb074ca1992450e26d0de,c1105811f6caacfc211f9bff6e461636e1b07a22d56380eba1cace054906f580,45174a08cbd5f73f362b4ae434af52630289de3ae7ccb6a4072dd449e65f19a6,8f53ed992c3ed7d4bf4732cc3eab1b971134075c01ddaaf3306fc11ea1cd7eba
"70","1","81000104","bgm_M125","0"
"110","2","81000104","bgm_M125","0"
"130","3","81000104","bgm_M125","0"
"150","4","81000104","bgm_M125","0"
"170","5","81000104","bgm_M125","0"
"190","6","81000104","bgm_M125","0"
"210","7","81000104","bgm_M125","0"
"230","8","81000104","bgm_M125","0"
"250","9","81000104","bgm_M125","0"
"270","10","81000104","bgm_M125","0"
"290","11","81000104","bgm_M125","0"
"310","12","81000104","bgm_M125","0"
"330","13","81000104","bgm_M125","0"
"350","14","81000104","bgm_M125","73140350"
"360","15","81000104","bgm_M125","73150360"
"370","16","81000104","bgm_M125","73160370"
"380","17","81000104","bgm_M125","73170380"
"390","18","81000104","bgm_M125","73180390"
"400","19","81000104","bgm_M125","73190400"
"410","20","81000104","bgm_M125","73200410"
"420","21","81000104","bgm_M125","73210420"
"430","22","81000104","bgm_M125","73220430"
"440","23","81000104","bgm_M125","73230440"
"450","24","81000104","bgm_M125","73240450"
"460","25","81000104","bgm_M125","73250460"
"470","26","81000104","bgm_M125","73260470"
"480","27","81000104","bgm_M125","73270480"
"490","28","81000104","bgm_M125","73280490"
"500","29","81000104","bgm_M125","73290500"
"510","30","81000104","bgm_M125","73300510"
"520","31","81000104","bgm_M125","73310520"
"530","32","81000104","bgm_M125","73320530"
"540","33","81000104","bgm_M125","73330540"
"550","34","81000104","bgm_M125","73340550"
"560","35","81000104","bgm_M125","73350560"
"570","36","81000104","bgm_M125","73360570"
"580","37","81000104","bgm_M125","73370580"
"590","38","81000104","bgm_M125","73380590"
"600","39","81000104","bgm_M125","73390600"
"610","40","81000104","bgm_M125","73400610"
"620","41","81000104","bgm_M125","73410620"
"630","42","81000104","bgm_M125","73420630"
"640","43","81000104","bgm_M125","73430640"
"650","44","81000104","bgm_M125","73440650"
"660","45","81000104","bgm_M125","73450660"
"670","46","81000104","bgm_M125","73460670"
"680","47","81000104","bgm_M125","73470680"
"690","48","81000104","bgm_M125","73480690"
"700","49","81000104","bgm_M125","73490700"
"710","50","81000104","bgm_M125","73500710"
"720","51","81000104","bgm_M125","73510720"
"730","52","81000104","bgm_M125","73520730"
"740","53","81000104","bgm_M125","73530740"
"750","54","81000104","bgm_M125","73540750"
