dcd9dc9ebb49f10fe1dddd0598e2fb22c907f69ff6f9b1814a352ea3bc3778ee,0a1e27332e97ed0f6228486269db14152a4912a1b93b5359de66cbd56db0629b,04b30155371a535fa56286763c674b8dd05bd585eef3de5a0202d06c34855e09,7dfd44d0c5bff515189b531a45459681ac718784e975c623b9a148409a10da07,362016a9e1b7a095f8f0e729044539a621c455fbee698f8dcf190d9f61a4004f,6d7a4c8b12450ac5b341603d984a42f1f5e21f6632eb2609c90c436f406f9757,b885a4e17b4ab80c7774dc59ccc11d4c9e6212b9d90ce0a6b9bb2c96fb84cf30,171e806b56e5e2ef3b0375885e791b7c586593e31b71b89930d5e7d2e25240fa
"1","1","5023000","0","2020/12/18 05:00:00","為什麼會發\n生這種事？","0","2030/01/01 01:00:00"
"2","2","5023001","0","2020/12/18 05:00:00","竟然說不出\n日安這句話","0","2030/01/01 01:00:00"
"3","3","5023002","0","2020/12/18 05:00:00","搞砸了！","0","2030/01/01 01:00:00"
"4","4","5023002","0","2020/12/19 05:00:00","優妮是\n這樣的人","0","2030/01/01 01:00:00"
"5","5","5023002","0","2020/12/19 05:00:00","克蘿依是\n這樣的人","0","2030/01/01 01:00:00"
"6","6","5023002","0","2020/12/19 05:00:00","琪愛兒是\n這樣的人","0","2030/01/01 01:00:00"
"7","7","5023003","0","2020/12/20 05:00:00","知性的\n優妮","0","2030/01/01 01:00:00"
"8","8","5023003","0","2020/12/20 05:00:00","溫柔的\n克蘿依","0","2030/01/01 01:00:00"
"9","9","5023003","0","2020/12/20 05:00:00","令人崇拜的\n琪愛兒","0","2030/01/01 01:00:00"
"10","10","5023003","0","2020/12/21 05:00:00","特別講座的\n練習","0","2030/01/01 01:00:00"
"11","11","5023004","0","2020/12/21 05:00:00","終於來了\n特別講座","0","2030/01/01 01:00:00"
"12","12","5023005","0","2020/12/21 05:00:00","真不愧是BB團的團長！","0","2030/01/01 01:00:00"
"13","13","5023006","0","2020/12/21 05:00:00","曼德拉草\n造成大混亂","0","2030/01/01 01:00:00"
"14","14","5023007","0","2020/12/25 16:00:00","最終日","0","2030/01/01 01:00:00"
"15","0","5023000","0","2020/12/25 16:00:00","","1","2030/01/01 01:00:00"
"16","0","5023000","0","2020/12/25 16:00:00","","1","2030/01/01 01:00:00"
"17","0","5023000","0","2020/12/25 16:00:00","","1","2030/01/01 01:00:00"
