61ffd4f5fb8d14784789764e58bf1248582821d0d0761599d40ec4ee03302e20,1b231de514dc71b4f0b2a25d95b9529dfe1911edb531752e6b4322325d412023,515b275cff8a56fc9208c5e5d7d86e050a6bd174c8dc492dc6f7b79478bab24b,f4e1d4a31f78fb1ce1abe1b515e43418061f2dfbe75322e6f2f1f043a270bac9,039a0780d2322ac0fa2a63dcd41dfee320cafb4d2d05ba958f6b064252e9ecea
"3","10201","1","1","2"
"3","10202","2","2","2"
"3","10203","3","3","2"
"10","10301","4","4","2"
"10","10302","5","5","2"
"10","10303","6","6","2"
"10","10304","7","7","2"
"20","10401","8","8","2"
"20","10402","9","9","2"
"20","10403","10","10","2"
"20","10404","11","11","2"
"20","10405","12","12","2"
"20","10406","13","13","2"
"20","10407","14","14","2"
"20","10408","15","15","2"
"20","10409","16","16","2"
"3","10701","17","1","1"
"3","10601","18","2","1"
"3","10602","19","3","1"
"3","10603","20","4","1"
"3","10604","21","5","1"
"10","11301","22","6","1"
"10","11302","23","7","1"
"10","11303","24","8","1"
"20","11401","25","9","1"
"20","11402","26","10","1"
"20","11403","27","11","1"
"20","11601","28","12","1"
"20","11602","29","13","1"
"20","11603","30","14","1"
"20","11604","31","15","1"
"20","11605","32","16","1"
"20","11606","33","17","1"
"20","11101","34","18","1"
"20","11102","35","19","1"
"20","11103","36","20","1"
"20","11701","37","21","1"
"20","11702","38","22","1"
"20","11703","39","23","1"
"3","10501","40","1","3"
"3","10502","41","2","3"
"3","10503","42","3","3"
"10","11201","43","4","3"
"10","10801","44","5","3"
"10","10802","45","6","3"
"10","10803","46","7","3"
"10","10804","47","8","3"
"20","10901","48","9","3"
"20","10902","49","10","3"
"20","10903","50","11","3"
"20","10904","51","12","3"
"20","11001","52","13","3"
"20","11002","53","14","3"
"20","11003","54","15","3"
"20","11501","55","16","3"
"20","11502","56","17","3"
"20","11503","57","18","3"
"20","11504","58","19","3"
"20","11505","59","20","3"
"20","11506","60","21","3"
