1b231de514dc71b4f0b2a25d95b9529dfe1911edb531752e6b4322325d412023,515b275cff8a56fc9208c5e5d7d86e050a6bd174c8dc492dc6f7b79478bab24b,61ffd4f5fb8d14784789764e58bf1248582821d0d0761599d40ec4ee03302e20,f4e1d4a31f78fb1ce1abe1b515e43418061f2dfbe75322e6f2f1f043a270bac9,039a0780d2322ac0fa2a63dcd41dfee320cafb4d2d05ba958f6b064252e9ecea
"10201","1","3","1","2"
"10202","2","3","2","2"
"10203","3","3","3","2"
"10301","4","10","4","2"
"10302","5","10","5","2"
"10303","6","10","6","2"
"10304","7","10","7","2"
"10401","8","20","8","2"
"10402","9","20","9","2"
"10403","10","20","10","2"
"10404","11","20","11","2"
"10405","12","20","12","2"
"10406","13","20","13","2"
"10407","14","20","14","2"
"10408","15","20","15","2"
"10409","16","20","16","2"
"10701","17","3","1","1"
"10601","18","3","2","1"
"10602","19","3","3","1"
"10603","20","3","4","1"
"10604","21","3","5","1"
"11301","22","10","6","1"
"11302","23","10","7","1"
"11303","24","10","8","1"
"11401","25","20","9","1"
"11402","26","20","10","1"
"11403","27","20","11","1"
"11601","28","20","12","1"
"11602","29","20","13","1"
"11603","30","20","14","1"
"11604","31","20","15","1"
"11605","32","20","16","1"
"11606","33","20","17","1"
"11101","34","20","18","1"
"11102","35","20","19","1"
"11103","36","20","20","1"
"11701","37","20","21","1"
"11702","38","20","22","1"
"11703","39","20","23","1"
"10501","40","3","1","3"
"10502","41","3","2","3"
"10503","42","3","3","3"
"11201","43","10","4","3"
"10801","44","10","5","3"
"10802","45","10","6","3"
"10803","46","10","7","3"
"10804","47","10","8","3"
"10901","48","20","9","3"
"10902","49","20","10","3"
"10903","50","20","11","3"
"10904","51","20","12","3"
"11001","52","20","13","3"
"11002","53","20","14","3"
"11003","54","20","15","3"
"11501","55","20","16","3"
"11502","56","20","17","3"
"11503","57","20","18","3"
"11504","58","20","19","3"
"11505","59","20","20","3"
"11506","60","20","21","3"
