6da92747b63bd61fe759cd43d4ec0a0101544e1f01bf3e9577aea4c7a0389da6,4f8b9f65f7e3b720605cafae06b194f50dcc902de57ad86874f08008be8d0302,73a9378156d531531e73444149e5454f5a2a724c811ac306fda90b3270b0521f,1d3f80cea03b52f859331d615097f8f55c76f98b859c4234077f25afd73a1724,31b2dae4049267e248e5ed7bb4a91b480fa3c0bb2699a7d26cc62ecded7255e5,a0aeb7e3d9cf3bca676412ba3fea3f0f5a76e2742c4239e9b9ee8df0173bc7ae,1175c3452d59106eb66ca526f519137c4ee5847d50be9d1a47fa12fc97f0b314,880c81d503420324acd610b9b018b0efb1cd91a5b533133245fbed49eab69a81,88c19392cea9b8f25f06e17ebc632de2c42f38b41a5416f620aa25581cfa4e32,092417f0bf7d45441a59bd1a76ba1c5ea386dee7b448d6214616f0e52685f10c,d8f50853cc539cce6f8c9c5f1dd7ebfb6a1e109bc189a4d090139e8a892f20b5,776efe87f14e956c0a2938ed5caa9a7b6ebd019b54058c54599ec2157a177edc,9ad796d0520316e9d485282c9846f06abf313f73513c155ada4ba6f13404ce24,5b030e4358832c1ec461800b63c514fba71aefd86b0b24caa3fabd2766116431,381f0725483a0538b9ec1068ef888e5b1b154d9ee3d64603ea1f3dd7c14ad86e
"40001","0","0","1","1","0","20012","0","20011","7","1","0","2","0","2001"
"40001","0","0","1","1","0","20022","0","20021","7","1","0","2","0","2002"
"40001","0","0","1","1","0","20032","0","20031","7","1","0","2","0","2003"
"40001","0","0","1","1","0","20042","0","20041","7","1","0","2","0","2004"
"40001","0","0","1","1","0","20052","0","20051","7","1","0","2","0","2005"
"40001","0","0","1","1","0","20062","0","20061","7","1","0","2","0","2006"
"40001","0","0","1","1","0","20072","0","20071","7","1","0","2","0","2007"
"40001","0","0","1","1","0","20082","0","20081","7","1","0","2","0","2008"
"40001","0","0","1","1","0","20092","0","20091","7","1","0","2","0","2009"
"40001","0","0","1","1","0","20102","0","20101","7","1","0","2","0","2010"
"40001","0","0","1","1","0","20112","0","20111","7","1","0","2","0","2011"
"40001","0","0","1","1","0","20122","0","20121","7","1","0","2","0","2012"
"40001","0","0","1","1","0","20132","0","20131","7","1","0","2","0","2013"
"40001","0","0","1","1","0","20142","0","20141","7","1","0","2","0","2014"
"40001","0","0","1","1","0","20152","0","20151","7","1","0","2","0","2015"
"40001","0","0","1","1","0","20162","0","20161","7","1","0","2","0","2016"
"40001","0","0","1","1","0","20172","0","20171","7","1","0","2","0","2017"
"40001","0","0","1","1","0","20182","0","20181","7","1","0","2","0","2018"
"40001","0","0","1","1","0","20192","0","20191","7","1","0","2","0","2019"
"40001","0","0","1","1","0","20202","0","20201","7","1","0","2","0","2020"
"40001","0","0","1","1","0","20212","0","20211","7","1","0","2","0","2021"
"40001","0","0","1","1","0","20222","0","20221","7","1","0","2","0","2022"
"40001","0","0","1","1","0","20232","0","20231","7","1","0","2","0","2023"
"40001","0","0","1","1","0","20242","0","20241","7","1","0","2","0","2024"
"40001","0","0","1","1","0","20252","0","20251","7","1","0","2","0","2025"
"40001","0","0","1","1","0","20262","0","20261","7","1","0","2","0","2026"
"40001","0","0","1","1","0","20272","0","20271","7","1","0","2","0","2027"
"40001","0","0","1","1","0","20282","0","20281","7","1","0","2","0","2028"
"40001","0","0","1","1","0","30012","0","30011","7","1","0","1","40","3001"
"40001","0","0","1","5","0","30022","0","30021","7","1","0","1","40","3002"
"40001","0","0","1","6","0","30032","0","30031","7","1","0","1","40","3003"
"40001","0","0","1","6","0","30042","0","30041","0","2","0","1","-58","3004"
"40001","0","0","1","1","0","30052","0","30051","-20","1","0","1","-42","3005"
"40001","0","0","1","5","0","30062","0","30061","-20","1","0","1","-42","3006"
"40001","0","0","1","1","0","30072","0","30071","40","1","0","1","0","3007"
"40001","0","0","1","5","0","30082","0","30081","40","1","0","1","0","3008"
"40001","0","0","1","6","0","30092","0","30091","40","1","0","1","0","3009"
"40001","0","0","2","1","0","40012","0","40011","0","1","0","1","0","4001"
"40001","0","0","2","5","0","40022","0","40021","0","1","0","1","0","4002"
"40001","0","0","2","1","0","40052","0","40051","0","1","0","1","0","4005"
"40001","0","0","2","5","0","40062","0","40061","0","1","0","1","0","4006"
"40001","0","0","2","6","0","40072","0","40071","0","2","0","1","0","4007"
"40004","0","0","2","6","0","40092","0","40091","0","2","0","1","0","4009"
"40004","0","0","2","1","0","40102","0","40101","0","1","0","1","0","4010"
"40004","0","0","2","5","0","40112","0","40111","0","1","0","1","0","4011"
"40001","0","0","2","6","0","40122","0","40121","0","1","0","1","0","4012"
"40004","0","0","2","1","0","40132","0","40131","0","1","0","1","0","4013"
"40004","0","0","2","5","0","40142","0","40141","0","1","0","1","0","4014"
"40001","0","0","2","6","0","40152","0","40151","0","1","0","1","0","4015"
"40004","0","0","2","1","0","40162","0","40161","0","1","0","1","0","4016"
"40004","0","0","2","5","0","40172","0","40171","0","1","0","1","0","4017"
"40001","0","0","2","6","0","40182","0","40181","0","1","0","1","0","4018"
