1032c5d8594b33a1ebbf4d238e580b3bfce04692a82d012669e2eb30c245fc07,ae615ce7f0f7c04536ee0996722fd0e557b2a2a8eb3f3e8bc526fe8a5037b81c,af078e4213c1e84cc8433c5fc8380c7d4bbf0b96af8043edf2d534de96530bd1,8a6f3e613423d0ff7edf614ba580d5ed1f89427f245efe81c7b094a4aba6579c,7efa0f0f657ee29114565e8fbddf8d2e216ece4a9dd00eee1a45ea3cdf5e9049,0353b67dc728f1ef790be4b7729f234b88d7cb757b4a984e42513155a2b69688,29877f0904597cf3069a68a3787c45235520113202ab1ba6d710f1383c9a5df0
"70004","21","0","2021/04/25 04:59:59","400","2021/04/23 05:00:00","0"
"70004","22","0","2021/04/25 04:59:59","401","2021/04/23 05:00:00","0"
"70005","23","1","0","416","0","0"
"70005","24","2","0","417","0","0"
"70005","25","3","0","418","0","0"
"80004","26","3","2021/07/18 04:59:59","9002001","2021/07/17 05:00:00","0"
"80004","27","3","2021/07/19 04:59:59","9002002","2021/07/18 05:00:00","0"
"80004","28","3","2021/07/20 04:59:59","9002003","2021/07/19 05:00:00","0"
"80004","29","3","2021/07/21 04:59:59","9002004","2021/07/20 05:00:00","0"
"80004","30","3","2021/07/22 04:59:59","9002005","2021/07/21 05:00:00","0"
"80004","31","3","2021/07/23 04:59:59","9002006","2021/07/22 05:00:00","0"
"80004","32","3","2021/07/24 04:59:59","9002007","2021/07/23 05:00:00","0"
"80004","33","3","2021/07/25 04:59:59","9002008","2021/07/24 05:00:00","0"
"80004","34","3","2021/07/26 04:59:59","9002009","2021/07/25 05:00:00","0"
"80004","35","3","2021/07/27 04:59:59","9002010","2021/07/26 05:00:00","0"
"80004","36","3","2021/07/28 04:59:59","9002011","2021/07/27 05:00:00","0"
"80004","37","3","2021/07/29 04:59:59","9002012","2021/07/28 05:00:00","0"
"80004","38","3","2021/07/30 04:59:59","9002013","2021/07/29 05:00:00","0"
"80004","39","3","2021/07/31 04:59:59","9002014","2021/07/30 05:00:00","0"
"80004","40","3","2021/08/01 04:59:59","9002015","2021/07/31 05:00:00","0"
