86a06e94949c48af600fbaf8a11699419c3b7bbb6aabcbd63c856a5a6a243065,0270843ed7ca038befcf3baf3095b749f32c53da40e0c007312ecd61fbcb0922,2ae0958b811fbafc0eee6f2fe45a1293cc47b0457d5d0bb1187d5906e2ada992,b38e9c855ea57afd4c7475321eaf265a4ec553709f04d1fc906178d9d44d2351,ccef220ed454888b39cb93d8e4291bce55c798f58e7d00928b13c93f4ec7b301,04ce446b70a08f36f85e5e39633773571c94a88b68452d0a280a93374e7a02d7,71a9610b0c3351103e5d38d65be53bb493e8d84e82749d57874a544e2051cafa,6db2a975322b91d948e180c3caf28b05b391ae091523733f08018fd4a1e53e34,9ac7580bd3d8c9ff6c19d8a71d55c0be46c261703d950019ce04f645829ceecd,ef772f34cecf6dddbc24b1a7d2851d758d8b24173b68d3acccc3128de8ffb0d2,269d513bea3982d00e59c4be27f60bd2ab87ff599aead51b16082e4564672e25,018b7717e133e12471daec4d8d1c3d998c026a5db0b4004cb602f450e17f0bfc,ae7d632976d6083b7f54c530d68a333d9a56a13c0e0c546602e3aa88fba039bb,89e716f9e70128cce8026b8b72aeae7b28d9c8a86e0c7e7958da753e8a1218c6,65ae5c7abf51b30c8923bb9d7b7ad98d951604bb35fd0dd2d9ecdb3bc1cd21b3
"2023/11/01 16:00:00","1","10010001","bgm_MC043","100","16","1","8","-1","96001","2024/01/23 15:59:59","-1","2024/01/16 15:59:59","-1","bgm_MC043"
"2024/01/16 16:00:00","2","10020001","bgm_MC043","100","16","1","8","-1","96002","2024/04/23 15:59:59","-1","2024/04/16 15:59:59","-1","bgm_MC043"
"2024/04/16 16:00:00","3","10030001","bgm_MC103","100","16","2","8","-1","96003","2024/07/23 15:59:59","-1","2024/07/16 15:59:59","-1","bgm_MC103"
"2024/07/16 16:00:00","4","10040363","bgm_MC103","100","16","2","8","-1","96004","2024/10/23 15:59:59","-1","2024/10/16 15:59:59","-1","bgm_MC103"
"2024/10/16 16:00:00","5","10050001","bgm_MC103","500","16","2","10","-1","96005","2025/01/23 15:59:59","-1","2025/01/16 15:59:59","-1","bgm_MC103"
"2025/01/16 16:00:00","6","10060001","bgm_MC103","500","16","2","10","-1","96006","2025/04/24 15:59:59","-1","2025/04/17 15:59:59","-1","bgm_MC103"
"2025/04/17 16:00:00","7","10070363","bgm_MC211","1000","16","3","10","5","96007","2025/07/23 15:59:59","15","2025/07/16 15:59:59","15","bgm_MC211"
"2025/07/16 16:00:00","8","10080001","bgm_MC211","1000","16","3","10","5","96008","2025/10/17 15:59:59","15","2025/10/10 15:59:59","15","bgm_MC211"
"2025/10/10 16:00:00","9","10090001","bgm_MC211","1000","16","3","10","5","96009","2026/01/17 15:59:59","15","2026/01/10 15:59:59","15","bgm_MC211"
"2026/01/10 16:00:00","10","10100363","bgm_MC043","1000","16","1","10","5","96010","2026/04/17 15:59:59","15","2026/04/10 15:59:59","15","bgm_MC043"
