fc08d0cf29a704c7707d5da65edc93b72a3bcec29a2bfea6423217ec9c2f374f,7ca2c340719788f1ffc1c577792499f632fdba1be0b1c236ac274d9055150f30,8a9e1dee4d0056a5367afd417426052cb17c8d0e33e080a216dc55bfe880994f,bed5d5650646e68a7d0cbd8c7ec9a4d25f60d2b2eb71b38ab64904939b173db9,847b88b1a5f0ca6490a901059ba8b2738cf05ffce5e12ea54e0a57a7262b4e30,a3d1a1f0bcd22c0bf82e1cff9f8a22b6bee48f0a954a1576341142a88c20a7f8,e37b5aecb916f78548ca2a29126972a9dd6986514c78f0af93829869f40bfee9
"100721","0","300900","-10","0.8","31001","0.8"
"100722","0","302300","-40","0.7","31002","0.7"
"100261","0","302400","-40","0.8","31003","0.8"
"100283","0","302500","-20","0.9","31004","0.9"
"101611","0","301700","-10","0.9","31005","0.9"
"102174","0","310100","-40","0.7","31006","0.7"
"102751","-80","399800","-60","0.3","31007","0.3"
"103001","-20","314901","20","0.9","31008","0.9"
"103232","30","318405","-110","0.7","31009","0.7"
"103371","0","320100","-10","1","31010","1"
