b82e76f33d826ce50e55ef13186d1b9439a46db2aad4bfe6f8f469dce9d6b6d9,b89c39b8b57681ad2433190d7c8911f3f9afa480dd66b631ae66c81e74a08710,cb63242cedfed0e79489bcf2b1a9948e75e3b5676b740139b061ef357869c9ee,3aa27056d2284d34a8e8aad6c5de36a2901879a801ad68eec736889921cdbf1a,2a7b3d528bc5eac6e38f24b56a82b3a77e544dac69ed30b088cbd525a998206f,1c9fee8c08c8d5ff5d5f83b7ca857854921c312bcada4306e316a71a0f0e3033,4fb4f6a63e9ef7c320ff8d36f41d59502cece7f42e20c4bf4db8d13062093be8
"0","3","獲得料理活動","0","0","1","1"
"0","1","獲得骰子活動1","0","0","2","2"
"0","2","獲得骰子活動2","0","0","2","3"
"0","0","跳過計算回合數","3","1","3","4"
"1","100","里程+100%","2","0","4","5"
"1","100","小遊戲里程+100%","2","0","5","6"
"1","300","商店打折活動","3","0","6","7"
"1","300","商店打折活動","3","0","6","8"
"0","0","跳過計算回合數1","3","2","3","98001"
"0","0","跳過計算回合數1","3","1","3","98011"
"0","0","跳過計算回合數2","3","2","3","98012"
