8af3d598f8fd970c1c741b7f6861ecf104456a2edfbdb41e911730de148825c3,6c02048b7332da7012b78acd1d636007e48a634017613584a0da9ad9f0e9c05e,28d37490adec47b6122989ba452de173a17c36f9a74ecc8a8d565a01678e23cc,73a00526a2c05100e661017261850776ea175c9df7c6075eb9be4d708dde0d58,61c1933b67ae71cf91673e51aa2962007b9ffc332ba5cf5a98f1ddf0b6549ce4,aa4df096ade0251a4929be07ad6e744cbcc91fefe28050caee31674ef9007929,5bbfc6cf502856961d6c09ba83a2378e2844bea17fb0677fa0a86b01559c050b
"10064","4","0","0","1006401","開幕式","20036104"
"10064","3","0","0","1006402","開幕式","20036104"
"10064","1","0","1006402","1006403","賽跑","20036104"
"10064","4","0","1006402","1006404","賽跑","20036104"
"10064","2","0","1006402","1006405","賽跑","20036104"
"10064","2","0","1006405","1006406","騎馬戰","20036104"
"10064","4","0","1006405","1006407","騎馬戰","20036104"
"10064","3","0","1006406","1006408","午休時間","20036106"
"10064","4","0","1006406","1006409","午休時間","20036106"
"10064","3","0","1006408","1006410","各種學術文化展覽","20036106"
"10064","4","0","1006408","1006411","各種學術文化展覽","20036106"
"10064","1","0","1006408","1006412","各種學術文化展覽","20036106"
"10064","4","0","1006410","1006413","女僕咖啡廳","20036108"
"10064","3","0","1006410","1006414","女僕咖啡廳","20036108"
"10064","3","0","1006414","1006415","綜合接力賽","20036113"
"10064","4","0","1006414","1006416","綜合接力賽","20036113"
"10064","1","2003601","1006415","1006417","頒獎典禮","0"
"10064","4","2003601","1006415","1006418","頒獎典禮","0"
"10064","2","2003601","1006415","1006419","頒獎典禮","0"
"10064","3","2003601","1006419","1006420","閉幕式","0"
"10064","4","2003601","1006419","1006421","閉幕式","0"
"10064","4","2003601","1006420","1006422","達成動畫","0"
