78ff860e31ef05e4ac00fd69fa010fdd05d6fd95b5a89a12cf32cad8f4b832ae,2b66822ba6809487dd234e52967502877b27f365bb6a75587352981e8e1d76aa,34d8443e5545285b3b48b6cfd31bf56391aeee4aa6dc7b52cf407dea272a9ace,c757de4c8bf4abcfaa4282cf632cb8a882dde17cb43025339f6347992fe66c70,41e9445f08730ec2123b744db287b47ddd193b1816e658ad3efcad7021f0bd66,bf4ce71b8ed8daf85b6b615ce2909967e213603f368057a0e32878299ea26baa,22bf618794113b6d6c9d3539c365627b1e294c4ae836ee8f5b11ce3b0bb87163,bcabc8f905d3dd52b360ed3a1525ed255a0c6bfcc32fae14d7c9919c91c3c7cd,772f66a74ea15ab9b432f4ac2c4e9faa3d07faf02db7da2b662cb87acc955758,40184f8a56fc62f3dcc2e551cdf743ec172bc6f3629ed66ab2b1ea91548b3b16,5232677ff340137cfda13fb0ef3b865c36b07df9220cabeadb7ac583ed1f74d2,5a919c29fc0b072bdd7b7b12ba8625145400e07d98c25fe81761809462f6367e,70a1ab59641728a06bc88fb4f81b23814d1ac6e987d52584f1d6d940eb610b64,8220ac9966c6cbabaf94e3cf74ebdb84c6f36604ed33540f71917b6a6f00b116,f8b2ff90cb7d4ab4913e1e967b620559b0a6d8b0f69587a7de544f3b51abcf6f,c3200ed18d01357eb56c46bf2195e23e611aa5da339927679977a3a987f6b001,2010fad5abaf64353273a35c88cd9a5feea14c389ccf44b65c5bcf3d84bb6d7c,a4f3f1e74e56ffde4c8976013da4345fb173ee83f7a9bc88432e7cba1470a2bf,048f5b9d29ef33790ca7c106d4a6788d5c1cdb41ceea2aec9ab355a5192d3307,39004823bd12fb485a7847fe527a434b7337d4facebf1ab289fc9df7a950a907,84710eaa848c080ccdb214f5bea3c40806d402af3be933687ac2d527230a9b04,050381ec2ffa0e7f7fd89361d3caa7c3006fb03b9bd98299cf5f10d08a396fb7,fd6b6ec56c0999c989415553f637097adfdc621ffacf28fe0876bf8411f36c84,e04aa2521d252bcd0ab1c02b1ee486493db76cd95e22966c198c7dc334fb5670,c2aa33d9f2e41f1df75b747187a9126051f3aab3c99359cf8dbbf1db3b316e60,e0a2ca5c4f443474b74f141869dab55dcaccaa1ba10b013d4ff7c910d23339bc,303e5031f9f7d4e29fd3b54dc7e22be813cdcebb414baba31da8fc5c8fc9bc87,d74ba445e0d065d16435cc19a11810217128d16afe506989857932e2ad9a26bc,e06e684b6cffc05fde343fe545cf18e8030c71314d8b6c344a5771aa34e6787f
"0","0.4","0","0","bgm_M06","0","0","bgm_M06","0","31001","1.2","90","0","0","0","100091","3100101","1","0","0","100091","99002","0","40001","0","94002","31001001","0","1"
"0","0.4","0","0","bgm_M06","0","0","bgm_M06","0","31001","1.2","90","0","0","0","100092","3100101","2","0","0","100092","99002","0","40001","0","94002","31001002","0","1"
"0","0.6","0","0","bgm_M06","0","0","bgm_M06","0","31001","1.2","90","0","0","0","100101","3100102","3","0","0","100101","90002","100","40004","99002","94002","31001003","0","1"
"0","0.65","0","0","bgm_M06","0","0","bgm_M06","0","31001","1.2","90","0","0","0","100102","3100103","4","0","0","100102","99002","0","40001","0","94002","31001004","0","1"
"0","0.7","0","0","bgm_M06","0","0","bgm_M06","0","31001","1.2","90","0","0","0","100102","3100103","5","0","0","100102","99002","0","40001","0","94002","31001005","0","1"
"0","0.75","0","0","bgm_M06","0","0","bgm_M06","0","31001","1.2","90","0","0","0","100102","3100104","6","90005","0","100102","90002","100","40004","99002","94002","31001006","0","1"
"0","1","0","0","bgm_M63","0","0","bgm_M63","0","31001","1.2","90","0","0","501010011","100722","3100105","7","0","0","100722","90002","100","40004","99002","94002","31001007","0","3"
"0","0.4","0","0","bgm_M06","0","0","bgm_M06","0","31002","1.2","90","0","0","0","100251","3100201","1","0","0","100251","99002","0","40001","0","94002","31002001","0","1"
"0","0.4","0","0","bgm_M06","0","0","bgm_M06","0","31002","1.2","90","0","0","0","100252","3100201","2","0","0","100252","99002","0","40001","0","94002","31002002","0","1"
"0","0.6","0","0","bgm_M06","0","0","bgm_M06","0","31002","1.2","90","0","0","0","100253","3100202","3","0","0","100253","90002","200","40004","99002","94002","31002003","0","1"
"0","0.65","0","0","bgm_M06","0","0","bgm_M06","0","31002","1.2","90","0","0","0","100254","3100203","4","0","0","100254","99002","0","40001","0","94002","31002004","0","1"
"0","0.7","0","0","bgm_M06","0","0","bgm_M06","0","31002","1.2","90","0","0","0","100255","3100203","5","0","0","100255","99002","0","40001","0","94002","31002005","0","1"
"0","0.75","0","0","bgm_M06","0","0","bgm_M06","0","31002","1.2","90","0","0","0","100256","3100204","6","0","0","100256","90002","200","40004","99002","94002","31002006","0","1"
"0","0.8","0","0","bgm_M06","0","0","bgm_M06","0","31002","1.2","90","0","0","0","100257","3100205","7","0","0","100257","99002","0","40001","0","94002","31002007","0","1"
