03cc80bf9d72b57033765c44c16f5bbdf8ee77550a0286254167ec1b8ca1ee6d,777bfb4cdfad3761563de402e82c15c3aa6ec2c3634a68a70f92791063b1f084,0a4c9aae74383270aeff63447e6817690a18d16b013e2172a210913d0f53252d,388d87aa24a435727a65aa5ece89545a9bcfc6b5158adcefd34f7f4e5533bb34,63b73ee0f99d5d457414b725d249e9f501293fa73d0add96f93339433c380c49,86a8d027d56d36a259284b66dd0e7f0874cf77c575098d9240fff3eeb435ec0a,bcd65eedb4ea12dc92ed76c40c7bf9e5879f68e40700dc8ce5e851a643b752a8,b2a71b4962738458b3231c8a42e63de45e5cc348ca9751ef34868abad5174343,0a46f625818194371e2ccb455fdd6694e83318d394cb7feedbc0e2da189abf07,016128f66eb7ac2bff14aead222ef8bc3918e5e8498bab0305043d4c3e5843dd,f1c8fa930f6351325e5257fb3166ecc638b3c9790bcece0e9304766402a56ab2
"0","10011","1","1","10011105","pt","0","0","0","2","1001"
"0","10015","1","2","10015103","m","0","1","0","2","1002"
"0","10021","1","3","10021108","pt","5021700","0","0","2","1003"
"0","10027","1","4","5027007","pt","5027700","0","0","3","1004"
"0","10040","1","5","10040105","pt","5040700","0","0","2","1005"
"5046006","10046","1","6","5046006","pt","0","0","1","1","1006"
"5072006","10072","1","7","5072006","pt","0","0","3","3","1007"
"5080000","10080","0","8","5080007","pt","5080700","0","3","3","1008"
"0","0","0","9","0","pt","9004201","0","0","0","1009"
"5096007","10096","1","10","5096007","pt","5096700","0","3","1","1010"
"5126000","10126","1","11","10126107","pt","0","0","3","2","1012"
"5142000","10142","1","12","5142007","pt","5142700","0","1","3","1013"
"5156000","10156","1","13","5156007","pt","5156700","0","1","3","1014"
