6cc5c9b95f96396837401aa5baba493054b088e4f271cd1683fdb444734b6b9c,0e36787ab0c5ae92b8667b31a6a3ab3837e1da659fcef6312b88f0503c87a40e,ec4b0441fb1115459216d64c550d35a5866cfbfadf0ed590d148474c87f0262d,6de3dcb096f0e2c7eb3a4f336cfac13c114cd68769fafe7c706241c1437eee10,bb86485027da2cc1c47592422433de5b38488f5e8f466445f3483b9855bbc963,4c5ae436f01be0c7a8e3a02bee7228390d59204349164de316872798aaf1e004,1a22cf8118f25770f452fcca66e9a7b265e6dcbe6c86bac7547414e6b9ad4829
"取得累積分數2500分","5126700","94002","1","50000","12","2500"
"取得累積分數5000分","0","94002","1","50000","12","5000"
"取得累積分數7500分","0","94002","1","50000","12","7500"
"取得累積分數10000分","5126701","2839","1","1","7","10000"
"取得累積分數12500分","0","94002","1","80000","12","12500"
"取得累積分數15000分","0","94002","1","80000","12","15000"
"取得累積分數17500分","0","94002","1","80000","12","17500"
"取得累積分數20000分","5126702","91002","1","25","8","20000"
"取得累積分數22500分","0","94002","1","100000","12","22500"
"取得累積分數25000分","0","94002","1","100000","12","25000"
"取得累積分數27500分","0","91002","1","100","8","27500"
"取得累積分數30000分","5126703","11001262","1","1","15","30000"
"取得累積分數2500分","5126710","94002","2","50000","12","2500"
"取得累積分數5000分","0","94002","2","50000","12","5000"
"取得累積分數7500分","0","94002","2","50000","12","7500"
"取得累積分數10000分","5126711","2840","2","1","7","10000"
"取得累積分數12500分","0","94002","2","80000","12","12500"
"取得累積分數15000分","0","94002","2","80000","12","15000"
"取得累積分數17500分","0","94002","2","80000","12","17500"
"取得累積分數20000分","5126712","91002","2","25","8","20000"
"取得累積分數22500分","0","94002","2","100000","12","22500"
"取得累積分數25000分","0","94002","2","100000","12","25000"
"取得累積分數27500分","0","91002","2","100","8","27500"
"取得累積分數30000分","5126713","11001263","2","1","15","30000"
