b86dc61b89ab78af8734d1b1b6d9e171458fa53124a315880131fb29f645d8c1,f68f2240de392a2b50bcad5fc2376091b45bb7488c7dd22319b6c848a219a323,936476e10bb2a541c57e04716aba1bde6f418dd244334fd0a72a71ca725b2972,21d5c614279a088a4b029294a0e163db2b5764fe7631ef60bea95fab9b2427a5,f380a78c1dbc76cee071bba07a4c567274b4d2751f3326dbb5f1ea5d8f813a83,bfa50a79af0923e955651dc6264e28b8b940b966a9720b6a7579b0446319c5e6,3f69ec8584ffd99033b07e32c0808a9b6dc74fc5702cda14a52d3775cc588bd8,8949c99784347ece7f119ce8b1e3f3ae48ebd35391af712a53049443f5bad1e2
"1","0","1","1","【料理】骰子增加成為兩個","52001","0","1"
"2","0","1","1","【料理】骰子只會丟出「1」","52002","0","1"
"3","0","1","3","【料理】跳過下次的回合數計算","52002","0","2"
"4","0","1","1","【料理】骰子只會丟出「4」","52004","0","1"
"5","0","1","1","【料理】骰子只會丟出\n「4・5・6」","52006","0","1"
"6","0","1","1","【料理】骰子第1次只會丟出「3」，第2次只會丟出「6」","52007","0","1"
"7","0","1","1","【料理】骰子只會丟出「5」","52003","0","1"
"8","0","1","2","【料理】里程格所獲得的里程將提升200%","52008","0","7"
"9","0","2","3","【事件】跳過下次的回合數計算","4","0","2"
"10","0","2","2","【事件】里程格所獲得的里程將提升100%","5","0","3"
"11","0","2","2","【事件】小遊戲所獲得的里程將提升100%","6","0","5"
"12","0","2","3","【事件】里程商店的所有商品折價20%以上","7","0","4"
"13","0","1","1","【料理】骰子第1次只會丟出「8」，第2次只會丟出「1」","52009","0","1"
"14","0","1","2","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","52010","0","6"
"15","0","1","1","【料理】骰子第1次只會丟出「2」，第2次只會丟出「7」","52011","0","1"
"16","0","1","1","【料理】骰子只會丟出\n「1・2・3」","52012","0","1"
"17","0","1","3","【料理】跳過下次的回合數計算","52012","0","2"
"18","0","1","1","【料理】移動時將可以跳過里程格。","52014","0","8"
"19","0","1","1","【料理】下次移動時，將多移動1格。","52005","0","1"
"20","2","1","1","【料理】下次移動時，將多移動1格。","52014","2","1"
"21","0","1","1","【料理】骰子增加成為兩個","52015","0","1"
"22","0","1","1","【料理】下次移動時，將多移動1格。","52015","0","1"
"23","0","1","1","【料理】投擲的骰子一定會丟出「6」。","52016","0","1"
"24","0","1","1","【料理】變得無法食用移動系的料理。","52017","0","9"
"25","0","1","1","【料理】投擲的骰子一定會丟出「3」。","52018","0","1"
"26","0","1","1","【料理】投擲的骰子一定會丟出「8」。","52019","0","1"
