9a42b52986c940a463571bcf558f0055c862b4c565c2f51cbe552ac6c666141b,0da1ef6441b47adde6d6aaf79188dc919e665e318ece50b5c3ab894b7f72ea72,a09e51137752214ffe5e64c337cb469b6009e2c425fad279085f2c2ddf971249,a9f48f5a076f89205611184c3089ae5fd88b5537f910572d4f7ff11ca271f777,8dc1d36ed0118545d82d399ef41a32fcd7312e7255a73e11f1aec714b11429ae,6f4aa0f8195f1c082482943ff247f212804782412683efca94c58d989dc7dba2,4b34b72b33bce726a72b80c55a75a4c85d2c1cac8d1403d29a08eb35c66c811e,8b6c272cfb9709c551ea9c796ea48057eed13cbac08555ad0071d47ab19bdb16,ec9c1035b551ffdda773a1d2ac773fc081588099429b82f4a92ef35081f08106,c1c423bedbc13929fe1139fcced1307f7c8bb5495eddca2a9440083d08b42faa,5e85f318d35dbf8c8768611aad81b17e5c2a03ac960bdca8df807a252720059f,1f5065d6af0ecb2f24779ea5eae6493a4300d1a74cf8425068c7d9ffe14539b9,04b9d5213ceb10b6bfe03b604d4b4f58fe93329955610f59f686d7b8f8d69e64,dd174d7105a3d2e2d294aab08c8db9d2dcf0d0b0047af85ffe89cc291ff4c4ed,ccdfec464bec77ec9415c4be3fc2801d92a1ea294b7971d1639fe96946e464d4,1bae60e981e8af1fa1b2d5595ec6ad6bd1154071ca709a7e3e52c86cddb7907e,ab9275033a7a9cb17d2c8158099935b49bbb8cbaa9ee54a6b71d5f5baed0a80d,203df35f0cb7c23c8554bb8e0ef245031f76601b01daa8b92ce3b1374b23c37b,4b074c922b950046f0e6148c4ddd385fb56d2b6ee64c138decd491b62f98037e,48220faddc97f1b8bc0da41fd3674627c6b4a6993f8013e4bbb6a4899b35f595,f16d9a0f3fbb971b32dd766404b51a91dcfa5abccd680b24fe412b2ffcd0d5d2,6c4070bcc64af229e50d0d547aa73c6967785e53dd7b05ac838e6af40684e658,a3bef222656987a2835be3e4cd21f8bd8de0b1fec5df0bd1b6201f6a8949d624,3ff423dfce2a60232ef49c293d697aab34a32bb13283bd0284f879d18716b785,19076a498351607aad059618cfa4700ed620df1268d7b1f4b7755e91b5ee5836,6969a46714b9acd936bfde6392eef3d5af5302e6ffae8baa9be07a420cb4f296,ec7db5abaa42e0d440eb3271359db5f3f0a66ac2e9139059e30641ce18ebb8c5,c6b5839e78bd9faf7559665441da21e17cc867535f802a04f3400c6eb6c06762,fec40377298920c634ffbb661915b3a5e05b46afa1d9f37a29e6d5a4bfda7d64,dffc34c145eaf7cb21f439f425f14649fb8e2bc9c8f9acd701819a190aa923b2,dbd17f192e9f0bd96e2cd72d599692795d8b59bd064172d37319b0aeb5e6988f,d3a79845afe0767fc4e82b335e89095814644dfd50cb4c3e1522962cccf4ad0b,9fafddf1623e77c39058be686652ea0551474c32d521f6c966bb5c1060e767a9,4786b3a256c26d8bcf2b8b4eab2d0fa5cc04bca6d71cc61cd74839e5fda248ec,92182297046fd8005b5b22021dbd8441ab967cab35ec4146fb932e3d99e31f5b,e1c3ba050d8862161d4decbb745275c5d2d7e389c4ec0e9ae5b358c863a51600,da2457eee8da38dcba8aaa2332a5abb1b81d728dfc0daec608abc7b4c0eef164,6f8d848c2627b6c674bc3bb08fedfd8d8cad0869613d4d5cd1f250112f2e3b25,8854ab3f58f5ba828845d913428eb259aba55fdb112fa909f176af22ddf31e8e,fda305699defc421b5a3f71132a904735ebff29a52343c7ef06176156d6efda2,43311694237c3ba2c8f36cdfb41edd9aca2db4ace0fe04938eb8fbe7d0daeb66,0af6912de6cae1ab1f3b6514f165685b85e6c701192a9507dfcdd1c68850ade7,aa6c212195c5e501f6361562369c206ab271b85fa70f8c523e8ce7512c3289a3,485465cebbe3315b30f0dcbb1badbc43faf30bf8304ae5cf8ebf058f9e0d118e
"10010104","401010041","1","10010103","0","0","0","1.2","1001101","401010021","1.1","0","401010011","0","1","0","0","1","0","1","1","1.1","401010051","1001","10010102","0","1","1001103","0","0","1","1001102","401010031","1","1001104","1","10010105","0","10010101","100000","710011","1001105","0.03","0"
"10010104","401010041","2","10010103","0","0","0","2","1001106","401010021","1.5","0","401010011","0","1","0","0","-1","0","2","1.2","1.7","401010051","1001","10010102","0","1","1001108","0","0","1.2","1001107","401010031","2","1001109","1","10010105","0","10010101","100000","710011","1001110","0.06","0"
"10020104","401020041","1","10020103","0","0","0","1.2","1002101","401020021","1.1","0","401020011","0","1","0","0","1","0","3","1","1.1","401020051","1002","10020102","0","1","1002103","0","0","1","1002102","401020031","1","1002104","1","10020105","0","10020101","100000","710021","1002105","0.03","0"
"10020104","401020091","2","10020103","0","0","0","2","1002106","401020071","1.5","0","401020061","0","1","0","0","-1","0","4","1.2","1.7","401020101","1002","10020102","0","1","1002108","0","0","1.2","1002107","401020081","2","1002109","1","10020105","0","10020101","100000","710021","1002110","0.06","0"
"10030104","401030041","1","10030103","0","0","0","1.2","1003101","401030021","1.1","0","401030011","0","1","0","0","1","0","5","1","1.1","401030051","1003","10030102","0","1","1003103","0","0","1","1003102","401030031","1","1003104","1","10030105","0","10030101","100000","710031","1003105","0.03","0"
"10030104","401030091","2","10030103","0","0","0","2","1003106","401030071","1.5","0","401030061","0","1","0","0","-1","0","6","1.2","1.7","401030101","1003","10030102","0","1","1003108","0","0","1.2","1003107","401030081","2","1003109","1","10030105","0","10030101","100000","710031","1003110","0.06","0"
"10040104","401040041","1","10040103","0","0","0","1.2","1004101","401040021","1.1","0","401040011","0","1","0","0","1","0","7","1","1.1","401040051","1004","10040102","0","1","1004103","0","0","1","1004102","401040031","1","1004104","1","10040105","0","10040101","100000","710041","1004105","0.03","0"
"10040104","401040091","2","10040103","0","0","0","2","1004106","401040071","1.5","0","401040061","0","1","0","0","-1","0","8","1.2","1.7","401040101","1004","10040102","0","1","1004108","0","0","1.2","1004107","401040081","2","1004109","1","10040105","0","10040101","100000","710041","1004110","0.06","0"
"10050104","401040141","1","10050103","0","0","0","1.2","1004101","401040121","1.1","0","401040111","0","1","0","0","1","0","9","1","1.1","401040151","1005","10050102","0","1","1004103","0","0","1","1004102","401040131","1","1004104","1","10050105","0","10050101","100000","710051","1004105","0.03","0"
"10050104","401040191","2","10050103","0","0","0","2","1004106","401040171","1.5","0","401040161","0","1","0","0","-1","0","10","1.2","1.7","401040201","1005","10050102","0","1","1004108","0","0","1.2","1004107","401040181","2","1004109","1","10050105","0","10050101","100000","710051","1004110","0.06","0"
"10060104","401040241","1","10060103","0","0","0","1.5","1004101","401040221","1.3","0","401040211","0","1","0","0","1","0","11","1","1.3","401040251","1006","10060102","0","1","1004103","0","0","1","1004102","401040231","1","1004104","1","10060105","0","10060101","100000","710061","1004105","0.03","0"
"10060104","401040291","2","10060103","0","0","0","2","1004106","401040271","1.8","0","401040261","0","1","0","0","-1","0","12","1.3","1.8","401040301","1006","10060102","0","1","1004108","0","0","1.3","1004107","401040281","2","1004109","1","10060105","0","10060101","100000","710061","1004110","0.06","0"
"10070104","401040341","1","10070103","0","0","0","1.5","1004101","401040321","1.3","0","401040311","0","1","0","0","1","0","13","1","1.3","401040351","1007","10070102","0","1","1004103","0","0","1","1004102","401040331","1","1004104","1","10070105","0","10070101","100000","710071","1004105","0.03","0"
"10070104","401040391","2","10070103","0","0","0","2","1004106","401040371","1.8","0","401040361","0","1","0","0","-1","0","14","1.3","1.8","401040401","1007","10070102","0","1","1004108","0","0","1.3","1004107","401040381","2","1004109","1","10070105","0","10070101","100000","710071","1004110","0.06","0"
"10080104","401040441","1","10080103","0","0","0","1.5","1004101","401040421","1.3","0","401040411","0","1","0","0","1","0","15","1","1.3","401040451","1008","10080102","0","1","1004103","0","0","1","1004102","401040431","1","1004104","1","10080105","0","10080101","100000","710081","1004105","0.03","0"
