ca8231e65ee21b4c02a71c80e24a2bdf718da87f12a72f3c8747c0339b65d1c8,6ea5fce2f902c2b702133c2b4269384a6031862306b83740f3fdbbc50cc8b592,e762d2709fcf57cf06763893f88e724a96e0e16aab5cca2ed7082de5dcfebfb1,0a532330928a4e3badf5be2bbb5e826189312d3f6262ae75da80bfb85bbe0b9a
"1","170","1000","1"
"1","175","3000","2"
"1","180","5000","3"
"1","185","7000","4"
"1","190","9000","5"
"1","195","11000","6"
"1","200","13000","7"
"1","205","15000","8"
"1","210","17000","9"
"1","215","19000","10"
"1","220","21000","11"
"1","225","23000","12"
"1","230","25000","13"
"1","232","27000","14"
"1","234","29000","15"
"1","236","31000","16"
"1","238","33000","17"
"1","240","35000","18"
"1","242","37000","19"
"1","244","39000","20"
"1","246","41000","21"
"1","248","43000","22"
"1","250","9999999","23"
"2","170","1000","24"
"2","175","3000","25"
"2","180","5000","26"
"2","185","7000","27"
"2","190","9000","28"
"2","195","11000","29"
"2","200","13000","30"
"2","205","15000","31"
"2","210","17000","32"
"2","215","19000","33"
"2","220","21000","34"
"2","225","23000","35"
"2","230","25000","36"
"2","232","27000","37"
"2","234","29000","38"
"2","236","31000","39"
"2","238","33000","40"
"2","240","35000","41"
"2","242","37000","42"
"2","244","39000","43"
"2","246","41000","44"
"2","248","43000","45"
"2","250","9999999","46"
"3","170","1000","47"
"3","175","3000","48"
"3","180","5000","49"
"3","185","7000","50"
"3","190","9000","51"
"3","195","11000","52"
"3","200","13000","53"
"3","205","15000","54"
"3","210","17000","55"
"3","215","19000","56"
"3","220","21000","57"
"3","225","23000","58"
"3","230","25000","59"
"3","232","27000","60"
"3","234","29000","61"
"3","236","31000","62"
"3","238","33000","63"
"3","240","35000","64"
"3","242","37000","65"
"3","244","39000","66"
"3","246","41000","67"
"3","248","43000","68"
"3","250","9999999","69"
