e5b071e51d4885f44a47d580760ca93204f0fd8cfebbabd207d14934ea22b99e,2392fcc2df4a0f4999bf1a7701bdfd387590e9eca0670dcdf6ccbfc8a68c4b45,213dc25a6b65352bd1e1b8deace64d858f0e73f7dd5e59afcce965b9cc7d5920,5d7437f392242d6ccc95e7a52e0437a9c903406768da89fc50214542020d1fdf,f9c2227509349c92ac75e2e1a91b846ebd7fac9a1227d7c2aef9f8141591af24,5a05f9c8588490af160fcda6653c2733db95127c981d85a404fad37ada73733c,665aff43b4edfee0df4321fe70af229e67f52ded78d4103dea3b9cc7132ef8f4,0bbac9e6f45c06ad64a305c4442d08e4558673d45c18d20d10619fabc5925849,12242ac44a1aa6b3c19abea9c4516453fbeea60e10d8fcee14d7e00727967110,fd84e5b0ba15ac6844ada46e2edc388fc05cd55ac5f8b6da72ee004eaed85d2a,cd75c12b51ddd91c8c949b50871d62c30490c244d65759755493a14decb7d62c,eb598913bdd7e1e9fbb528dc4b0fae320465e285d0df0d99e70e591daf9dc471,0dc18c00c93d4682cde8e1d78bd46196c4e66566753392ba5d810a1365e60b86,ce51867067f6cfb448961171db05129f12ce6da5b4d1cd5d73694bffa872f33a,aaecc9649ef53b49c9d60f3cd2b2a2b6d41a913b053aad54219833db0eab181e,16302e3adcf7211467f04283f76f6099be917804c53c0106cfe94f937043d242,b57e03f9cf2be2a4edb6b8a3777ba9fe6551336088f762ba92488301406435b0,2236add3f63773a4ae2a3028bae7ebc8890425f4f1f36118c0137364eb7ac532
"2","5","22003","8","91002","0","1","20003","94002","0","1","20","150000","150","5","12","0","2"
"2","2","22003","8","91002","0","6","20003","94002","0","2","15","100000","145","9","12","0","2"
"2","5","22002","8","91002","0","10","20003","94002","0","3","11","80000","140","19","12","0","2"
"2","5","22002","8","91002","0","20","20003","94002","0","4","10","80000","130","29","12","0","2"
"2","4","22002","8","91002","0","30","20003","94002","0","5","9","70000","120","39","12","0","2"
"2","4","22002","8","91002","0","40","20003","94002","0","6","8","70000","110","49","12","0","2"
"2","3","22002","8","91002","0","50","20003","94002","0","7","7","60000","100","99","12","0","2"
"2","2","22002","8","91002","0","100","20003","94002","0","8","2","40000","80","499","12","0","2"
"2","1","22002","8","91002","0","500","20002","94002","0","9","7","20000","50","999","12","0","2"
"2","3","22001","8","91002","0","1000","20002","94002","0","10","4","16000","20","4999","12","0","2"
"2","2","22001","8","91002","0","5000","20002","94002","0","11","3","9000","15","9999","12","0","2"
"2","1","22001","8","91002","0","10000","20001","94002","0","12","8","4000","10","11999","12","0","2"
"2","1","22001","8","91002","0","12000","20001","94002","0","13","7","3000","5","13999","12","0","2"
"2","1","22001","8","91002","0","14000","20001","94002","0","14","6","2000","4","14999","12","0","2"
"2","1","22001","8","91002","0","15000","20001","94002","0","15","5","1800","3","30000","12","0","2"
