60912ac234430e7e4c71ddc93f15e679d399522821ac0fbbcbab08d6b5bd939b,97bd926d8a9d75f82f6a75fd8c3a3e44ea7a8144a97345070d6d7e0694e19cb6,533e0040d183e0243e7b24e061b376c1e1180c8c83fdf366c0db05b7468836bf,42abb87538be5c0e176f97ea145a861807ec4e523a09af6e96ea47534291d839,3077118330a4b72fb98395b1b8deeb085df20037fece85d31d4f7f91c1dd3a2d,3ae5a39167f3656fdbb2b5b969d80132c7bbfec76dbe21fd0f8e72980196b57a,07bc605e19da7149981f95019f36110c9043f3a3f2e364d366a580ae072dd4d2
"810100101","810100102","810100103","810010011","810100104","810100105","1"
"810100201","810100202","810100203","810010021","810100204","810100205","2"
"810100301","810100302","810100303","810010031","810100304","810100305","3"
"810100401","810100402","810100403","810010041","810100404","810100405","4"
"810100501","810100502","810100503","810010051","810100504","810100505","5"
"810100601","810100602","810100603","810010061","810100604","810100605","6"
"810100701","810100702","810100703","810010071","810100704","810100705","7"
"810100801","810100802","810100803","810010081","810100804","810100805","8"
"810100901","810100902","810100903","810010091","810100904","810100905","9"
"810101001","0","0","810010101","0","0","10"
"810101101","810101102","810101103","810010111","810101104","810101105","11"
"810101201","810101202","810101203","810010121","810101204","810101205","12"
"810101301","810101302","810101303","810010131","810101304","810101305","13"
"810101401","810101402","810101403","810010141","810101404","810101405","14"
"810101501","810101502","810101503","810010151","810101504","810101505","15"
"810101601","810101602","810101603","810010161","810101604","810101605","16"
"810101701","810101702","810101703","810010171","810101704","810101705","17"
"810101801","810101802","810101803","810010181","810101804","810101805","18"
"810101901","810101902","810101903","810010191","810101904","810101905","19"
"810102001","0","0","810010201","0","0","20"
"810102101","810102102","810102103","810010211","810102104","810102105","21"
"810102201","810102202","810102203","810010221","810102204","810102205","22"
"810102301","810102302","810102303","810010231","810102304","810102305","23"
"810102401","810102402","810102403","810010241","810102404","810102405","24"
"810102501","810102502","810102503","810010251","810102504","810102505","25"
"810102601","810102602","810102603","810010261","810102604","810102605","26"
"810102701","810102702","810102703","810010271","810102704","810102705","27"
"810102801","810102802","810102803","810010281","810102804","810102805","28"
"810102901","810102902","810102903","810010291","810102904","810102905","29"
"810103001","0","0","810010301","0","0","30"
"810103101","810103102","810103103","810010311","810103104","810103105","31"
"810103201","810103202","810103203","810010321","810103204","810103205","32"
"810103301","810103302","810103303","810010331","810103304","810103305","33"
"810103401","810103402","810103403","810010341","810103404","810103405","34"
"810103501","810103502","810103503","810010351","810103504","810103505","35"
"810103601","810103602","810103603","810010361","810103604","810103605","36"
"810103701","810103702","810103703","810010371","810103704","810103705","37"
"810103801","810103802","810103803","810010381","810103804","810103805","38"
"810103901","810103902","810103903","810010391","810103904","810103905","39"
"810104001","0","0","810010401","0","0","40"
"810104101","810104102","810104103","810010411","810104104","810104105","41"
"810104201","810104202","810104203","810010421","810104204","810104205","42"
"810104301","810104302","810104303","810010431","810104304","810104305","43"
"810104401","810104402","810104403","810010441","810104404","810104405","44"
"810104501","810104502","810104503","810010451","810104504","810104505","45"
"810104601","810104602","810104603","810010461","810104604","810104605","46"
"810104701","810104702","810104703","810010471","810104704","810104705","47"
"810104801","810104802","810104803","810010481","810104804","810104805","48"
"810104901","810104902","810104903","810010491","810104904","810104905","49"
"810105001","0","0","810010501","0","0","50"
"820100101","820100102","820100103","820010011","820100104","820100105","51"
"820100201","820100202","820100203","820010021","820100204","820100205","52"
"820100301","820100302","820100303","820010031","820100304","820100305","53"
"820100401","820100402","820100403","820010041","820100404","820100405","54"
"820100501","820100502","820100503","820010051","820100504","820100505","55"
"820100601","820100602","820100603","820010061","820100604","820100605","56"
"820100701","820100702","820100703","820010071","820100704","820100705","57"
"820100801","820100802","820100803","820010081","820100804","820100805","58"
"820100901","820100902","820100903","820010091","820100904","820100905","59"
"820101001","0","0","820010101","0","0","60"
"820101101","820101102","820101103","820010111","820101104","820101105","61"
"820101201","820101202","820101203","820010121","820101204","820101205","62"
"820101301","820101302","820101303","820010131","820101304","820101305","63"
"820101401","820101402","820101403","820010141","820101404","820101405","64"
"820101501","820101502","820101503","820010151","820101504","820101505","65"
"820101601","820101602","820101603","820010161","820101604","820101605","66"
"820101701","820101702","820101703","820010171","820101704","820101705","67"
"820101801","820101802","820101803","820010181","820101804","820101805","68"
"820101901","820101902","820101903","820010191","820101904","820101905","69"
"820102001","0","0","820010201","0","0","70"
"820102101","820102102","820102103","820010211","820102104","820102105","71"
"820102201","820102202","820102203","820010221","820102204","820102205","72"
"820102301","820102302","820102303","820010231","820102304","820102305","73"
"820102401","820102402","820102403","820010241","820102404","820102405","74"
"820102501","820102502","820102503","820010251","820102504","820102505","75"
"820102601","820102602","820102603","820010261","820102604","820102605","76"
"820102701","820102702","820102703","820010271","820102704","820102705","77"
"820102801","820102802","820102803","820010281","820102804","820102805","78"
"820102901","820102902","820102903","820010291","820102904","820102905","79"
"820103001","0","0","820010301","0","0","80"
"820103101","820103102","820103103","820010311","820103104","820103105","81"
"820103201","820103202","820103203","820010321","820103204","820103205","82"
"820103301","820103302","820103303","820010331","820103304","820103305","83"
"820103401","820103402","820103403","820010341","820103404","820103405","84"
"820103501","820103502","820103503","820010351","820103504","820103505","85"
"820103601","820103602","820103603","820010361","820103604","820103605","86"
"820103701","820103702","820103703","820010371","820103704","820103705","87"
"820103801","820103802","820103803","820010381","820103804","820103805","88"
"820103901","820103902","820103903","820010391","820103904","820103905","89"
"820104001","0","0","820010401","0","0","90"
"820104101","820104102","820104103","820010411","820104104","820104105","91"
