22d1e6d24dd6a734d541c9382a899a32577df2c766ca929139dbdf41695b6f4e,e331a0f35d41a644036a45c96675c4f1d892e4cda697ddeab2961147138bb3fa,38681811c5ce89bef0d99e78181c7430dba9d01e97b3e6228aa33b1dc9ff6b86,c368b80c72fa0c9d6fcaa5d69e6cef97ad75d77d2cd49d60c2705b393ca56ffb,6d621b304382d652dfe38bca1c561e4a9b73e5cc7a42afc8c2b97df46ab293d0,feb57d1fecd79cd8579f5d4af32d05ba9d544a5cc012dd8221936aa882b04123,4c91be2a55eb9a87be42f96abc9362a648558d4ebd8d1ff9b367381e57cf2372
"1101","2","11011","2","0","11012","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？"
"1102","2","11021","2","0","11022","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？"
"1103","2","11031","2","0","11032","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？"
"1104","2","11041","2","0","11042","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？"
"1105","4","11051","4","0","11052","發現了魔物們聚集的競技場！"
"1107","7","11073","7","11071","11072","發現不可思議的石板！要怎麼辦？"
"1108","8","11082","8","0","11081","在地下城迷路了！要往哪邊前進？"
"1109","4","11091","4","0","11092","發現了魔物們聚集的競技場！"
"1110","3","11101","3","11103","11102","剪刀、石頭……布！"
"1111","10","11111","10","0","11112","能聽見箱子裡有聲音傳來……"
"1112","11","11121","11","0","11122","活動會場出現魔物了！"
"1113","4","11131","4","0","11132","發現了魔物們聚集的競技場！"
"1117","4","11171","4","0","11172","發現了魔物們聚集的競技場！"
"1314","5","13141","5","0","0","發現釣魚景點！"
"1315","9","13151","9","0","0","是非常適合野餐的絕佳日子！"
"1316","6","13161","6","0","0","是拉霸機！要挑戰嗎？"
"2314","5","23141","5","0","0","Lucky！還可以再釣一次！"
"2315","9","23152","9","0","23151","菜做好了！不過，還有材料喔！"
"2316","6","23162","6","0","23161","再來一局！"
"3314","5","33141","5","0","0","再最後一次！"
"3315","9","33152","9","0","33151","完美！不過，還有材料喔！"
"3316","6","33162","6","0","33161","最後一次！"
