c368b80c72fa0c9d6fcaa5d69e6cef97ad75d77d2cd49d60c2705b393ca56ffb,4c91be2a55eb9a87be42f96abc9362a648558d4ebd8d1ff9b367381e57cf2372,feb57d1fecd79cd8579f5d4af32d05ba9d544a5cc012dd8221936aa882b04123,22d1e6d24dd6a734d541c9382a899a32577df2c766ca929139dbdf41695b6f4e,e331a0f35d41a644036a45c96675c4f1d892e4cda697ddeab2961147138bb3fa,38681811c5ce89bef0d99e78181c7430dba9d01e97b3e6228aa33b1dc9ff6b86,6d621b304382d652dfe38bca1c561e4a9b73e5cc7a42afc8c2b97df46ab293d0
"2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","11012","1101","2","11011","0"
"2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","11022","1102","2","11021","0"
"2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","11032","1103","2","11031","0"
"2","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","11042","1104","2","11041","0"
"4","發現了魔物們聚集的競技場！","11052","1105","4","11051","0"
"7","發現不可思議的石板！要怎麼辦？","11072","1107","7","11073","11071"
"8","在地下城迷路了！要往哪邊前進？","11081","1108","8","11082","0"
"4","發現了魔物們聚集的競技場！","11092","1109","4","11091","0"
"3","剪刀、石頭……布！","11102","1110","3","11101","11103"
"10","能聽見箱子裡有聲音傳來……","11112","1111","10","11111","0"
"11","活動會場出現魔物了！","11122","1112","11","11121","0"
"4","發現了魔物們聚集的競技場！","11132","1113","4","11131","0"
"4","發現了魔物們聚集的競技場！","11172","1117","4","11171","0"
"5","發現釣魚景點！","0","1314","5","13141","0"
"9","是非常適合野餐的絕佳日子！","0","1315","9","13151","0"
"6","是拉霸機！要挑戰嗎？","0","1316","6","13161","0"
"5","Lucky！還可以再釣一次！","0","2314","5","23141","0"
"9","菜做好了！不過，還有材料喔！","23151","2315","9","23152","0"
"6","再來一局！","23161","2316","6","23162","0"
"5","再最後一次！","0","3314","5","33141","0"
"9","完美！不過，還有材料喔！","33151","3315","9","33152","0"
"6","最後一次！","33161","3316","6","33162","0"
