b7142cf7644ee63d6517494afd2564623c9eea52129d2b4e4ac7cb31d2f8135c,dd3f7e1e42ea6eb915042f01986d0b4ede12428565c7c0484695eb2684620bde,c25042a6295278a3db0a36e1b8e78c7696106755800b19a93ad3921f3be2f418,6bb32bfebd01f206835f2ff734e7c3c6051be25723d56072ee90e0eaa15d7e9c,7354b01809ecfaf2eda705acec04b7a9694fdbf2bfd6caeaccd8b0fe204d3e2e
"519","2021/08/02 16:00:00","2021/08/20 15:59:59","27001","27003"
"550","2022/02/01 16:00:00","2022/02/22 15:59:59","27001","27004"
"571","2022/05/02 16:00:00","2022/05/23 15:59:59","27001","27005"
"572","2022/08/01 16:00:00","2022/08/20 15:59:59","27005","27006"
"575","2023/01/20 16:00:00","2023/02/10 15:59:59","27001","27007"
"609","2023/05/11 16:00:00","2023/05/26 15:59:59","27001","27008"
"616","2023/08/01 16:00:00","2023/08/20 15:59:59","27005","27009"
"626","2023/09/01 16:00:00","2023/09/26 15:59:59","27009","27010"
"632","2024/02/07 16:00:00","2024/02/25 15:59:59","27001","27011"
"641","2024/05/01 16:00:00","2024/05/22 15:59:59","27012","27013"
"649","2024/08/15 16:00:00","2024/09/03 15:59:59","27005","27014"
"656","2024/10/01 00:00:00","2024/10/31 23:59:59","27012","27015"
"664","2025/02/01 00:00:00","2025/02/27 23:59:59","27012","27016"
"674","2025/05/01 00:00:00","2025/05/25 23:59:59","27012","27018"
"698","2025/08/01 00:00:00","2025/08/19 23:59:59","27018","27019"
"697","2025/08/01 00:00:00","2025/08/19 23:59:59","27012","27020"
"719","2025/10/01 00:00:00","2025/10/31 23:59:59","27012","27021"
"737","2026/02/01 00:00:00","2026/02/27 23:59:59","27012","27024"
