b666b4dd2e8b2443a8dffbcabdaf71ec1c873cbe5b02eaeffbf7046b6e1e34a8,3dcb622170c1179c961c39e8283dfd038f5c201ef2b61489f7533a58a3edbbc2,d8acea6b64afe8f498711b24ef5dbb66f9976c3bc3a9e7e8ed0502d027abf0cd,24814a3b841e3c283e83fdbe93a078b9a387ef55d60c63938caaa29062ac74ae,1faa82d34caa130b5f9cb50fa72072bfc597fcf8247961e3273135c26f1fa936,ab771ec0d94907dbac63e20ff2645fb5f96bbd396e12ffb2423993edd80ec7e6,13959d04c754f22917781ba8b400b0380a1aa1fd474ed9b0fa507a982eb98f83,9f112a7e06c775dfd2bd166c981d69ee3d7477088b64997cb2d394240664cafc
"53001","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","未鑑定的平凡寶物","1","200","100","未鑑定的\n平凡寶物","1"
"53002","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","未鑑定的貴重寶物","1","400","200","未鑑定的\n貴重寶物","2"
"53003","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。","未鑑定的頂級寶物","1","800","400","未鑑定的\n頂級寶物","3"
"53004","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","平凡寶石","0","200","100","平凡寶石","1"
"53005","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","貴重寶石","0","400","200","貴重寶石","2"
"53006","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","頂級寶石","0","800","400","頂級寶石","3"
"53007","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","平凡金屬塊","0","200","100","平凡金屬塊","1"
"53008","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","貴重金屬塊","0","400","200","貴重金屬塊","2"
"53009","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","頂級金屬塊","0","800","400","頂級金屬塊","3"
"53010","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","平凡卷軸","0","200","100","平凡卷軸","1"
"53011","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","貴重卷軸","0","400","200","貴重卷軸","2"
"53012","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","頂級卷軸","0","800","400","頂級卷軸","3"
"53013","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","平凡皇冠","0","200","100","平凡皇冠","1"
"53014","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","貴重皇冠","0","400","200","貴重皇冠","2"
"53015","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","頂級皇冠","0","800","400","頂級皇冠","3"
"53016","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","平凡符文","0","200","100","平凡符文","1"
"53017","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","貴重符文","0","400","200","貴重符文","2"
"53018","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","頂級符文","0","800","400","頂級符文","3"
"53019","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","平凡王冠","0","200","100","平凡王冠","1"
"53020","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","貴重王冠","0","400","200","貴重王冠","2"
"53021","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","頂級王冠","0","800","400","頂級王冠","3"
"53022","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","平凡古遺物","0","200","100","平凡古遺物","1"
"53023","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","貴重古遺物","0","400","200","貴重古遺物","2"
"53024","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","頂級古遺物","0","800","400","頂級古遺物","3"
