ab771ec0d94907dbac63e20ff2645fb5f96bbd396e12ffb2423993edd80ec7e6,d8acea6b64afe8f498711b24ef5dbb66f9976c3bc3a9e7e8ed0502d027abf0cd,9f112a7e06c775dfd2bd166c981d69ee3d7477088b64997cb2d394240664cafc,24814a3b841e3c283e83fdbe93a078b9a387ef55d60c63938caaa29062ac74ae,3dcb622170c1179c961c39e8283dfd038f5c201ef2b61489f7533a58a3edbbc2,b666b4dd2e8b2443a8dffbcabdaf71ec1c873cbe5b02eaeffbf7046b6e1e34a8,13959d04c754f22917781ba8b400b0380a1aa1fd474ed9b0fa507a982eb98f83,1faa82d34caa130b5f9cb50fa72072bfc597fcf8247961e3273135c26f1fa936
"100","未鑑定的平凡寶物","1","1","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","53001","未鑑定的\n平凡寶物","200"
"200","未鑑定的貴重寶物","2","1","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。","53002","未鑑定的\n貴重寶物","400"
"400","未鑑定的頂級寶物","3","1","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。","53003","未鑑定的\n頂級寶物","800"
"100","平凡寶石","1","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53004","平凡寶石","200"
"200","貴重寶石","2","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53005","貴重寶石","400"
"400","頂級寶石","3","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53006","頂級寶石","800"
"100","平凡金屬塊","1","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53007","平凡金屬塊","200"
"200","貴重金屬塊","2","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53008","貴重金屬塊","400"
"400","頂級金屬塊","3","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53009","頂級金屬塊","800"
"100","平凡卷軸","1","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53010","平凡卷軸","200"
"200","貴重卷軸","2","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53011","貴重卷軸","400"
"400","頂級卷軸","3","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53012","頂級卷軸","800"
"100","平凡皇冠","1","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53013","平凡皇冠","200"
"200","貴重皇冠","2","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53014","貴重皇冠","400"
"400","頂級皇冠","3","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53015","頂級皇冠","800"
"100","平凡符文","1","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53016","平凡符文","200"
"200","貴重符文","2","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53017","貴重符文","400"
"400","頂級符文","3","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53018","頂級符文","800"
"100","平凡王冠","1","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53019","平凡王冠","200"
"200","貴重王冠","2","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53020","貴重王冠","400"
"400","頂級王冠","3","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53021","頂級王冠","800"
"100","平凡古遺物","1","0","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。","53022","平凡古遺物","200"
"200","貴重古遺物","2","0","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。","53023","貴重古遺物","400"
"400","頂級古遺物","3","0","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。","53024","頂級古遺物","800"
