76035a51b5b753849c3d85c20c32936d9f0a08c40c542abbfa7788d3d5270f3e,1ac37022e447f146c546a598c9b3639b981e5def72050aa7f002b367bcb60ef6,3f6075d7077f819205cc91d3c16f68ea290e3fcf560a48d9452c1de7aa2c7a44,2e700dec5de92cd69dc43b669838a7ad31c7d8d05fbcca41167b2a80d960ebd8,1210509bf8ffcb0b40933b8d11220c9aa7a62120ade2a25f01be669dc3af7944,7eb46c9e1d16006e40f1391f5fd8a6924630c5f1e5901cac809539e0b0d23d7d,c4fc897fa5576aeeccf8a5f4d06c135244e7c7ba5d0f7e4c227deb71019013e5,8fd955196f4d9cf46607e13f53909c4dcd5172cad4aa5bb1fec37b01f049beb7,5d5fe6f82a405dc049d0d5ef32ee564879394fb232c74dcf97022e5db8c1bad0,66c7138f96d646d497d5a55ad61d9edf184a72945344de416590f823dab41c5a,e217e121172b21dff309bf5dc68f2232ce09bc19c7fcfae91fa440c84ed8a6d3
"0","10011105","1","10011","0","1","pt","0","1001","2","0"
"0","10015103","2","10015","0","1","m","0","1002","2","1"
"5021700","10021108","3","10021","0","1","pt","0","1003","2","0"
"5027700","5027007","4","10027","0","1","pt","0","1004","3","0"
"5040700","10040105","5","10040","0","1","pt","0","1005","2","0"
"0","5046006","6","10046","5046006","1","pt","1","1006","1","0"
"0","5072006","7","10072","5072006","1","pt","3","1007","3","0"
"5080700","5080007","8","10080","5080000","0","pt","3","1008","3","0"
"9004201","0","9","0","0","0","pt","0","1009","0","0"
"5096700","5096007","10","10096","5096007","1","pt","3","1010","1","0"
"0","10126107","11","10126","5126000","1","pt","3","1012","2","0"
"5142700","5142007","12","10142","5142000","1","pt","1","1013","3","0"
"5156700","5156007","13","10156","5156000","1","pt","1","1014","3","0"
